#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:143011-144369|- -            453 58706at91347         -            371  5.2e-164  543.5   1.9   1   1  1.5e-165  1.4e-162  538.8   1.9    12   371    25   443     1   443 0.90 NZ_ABEW01000003.1_127 # 143011 # 144369 # -1 # ID=61_127;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABEW01000003.1:140616-141932|- -            439 58706at91347         -            371   2.7e-15   54.2   0.5   1   2   1.2e-10   1.1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NZ_ABEW01000003.1_125 # 140616 # 141932 # -1 # ID=61_125;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000003.1:140616-141932|- -            439 58706at91347         -            371   2.7e-15   54.2   0.5   2   2   6.9e-09   6.5e-06   23.3   0.1   215   293   262   343   254   351 0.83 NZ_ABEW01000003.1_125 # 140616 # 141932 # -1 # ID=61_125;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000003.1:144366-145853|- -            496 58706at91347         -            371   2.6e-07   27.9   1.1   1   2   9.8e-06    0.0092   12.9   0.7    14   192    25   243    21   258 0.64 NZ_ABEW01000003.1_128 # 144366 # 145853 # -1 # ID=61_128;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEW01000003.1:144366-145853|- -            496 58706at91347         -            371   2.6e-07   27.9   1.1   2   2     9e-05     0.085    9.7   0.0   213   258   299   344   294   348 0.93 NZ_ABEW01000003.1_128 # 144366 # 145853 # -1 # ID=61_128;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEW01000003.1:136714-138189|- -            492 58706at91347         -            371   5.2e-06   23.6   0.1   1   2   0.00036      0.34    7.8   0.0    79   166   121   203    69   224 0.72 NZ_ABEW01000003.1_122 # 136714 # 138189 # -1 # ID=61_122;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEW01000003.1:136714-138189|- -            492 58706at91347         -            371   5.2e-06   23.6   0.1   2   2   6.8e-06    0.0064   13.4   0.0   212   256   283   327   274   331 0.90 NZ_ABEW01000003.1_122 # 136714 # 138189 # -1 # ID=61_122;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEW01000003.1:471796-473169|- -            458 58706at91347         -            371     0.002   15.1   1.0   1   2    0.0011         1    6.2   0.1    79   104   105   130    92   214 0.70 NZ_ABEW01000003.1_426 # 471796 # 473169 # -1 # ID=61_426;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABEW01000003.1:471796-473169|- -            458 58706at91347         -            371     0.002   15.1   1.0   2   2    0.0012       1.2    6.0   0.1   213   257   271   315   267   318 0.87 NZ_ABEW01000003.1_426 # 471796 # 473169 # -1 # ID=61_426;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.589
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:14 2026
# [ok]
