#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:644773-646260|+   -            496 30417at91347         -            419  4.2e-193  639.8   0.0   1   1  1.6e-195  1.1e-192  638.4   0.0     1   418     3   492     3   493 0.90 NZ_ABAM02000001.1_569 # 644773 # 646260 # 1 # ID=2_569;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAM02000001.1:646257-647615|+   -            453 30417at91347         -            419   1.8e-11   41.5   0.0   1   1   8.5e-14   6.2e-11   39.7   0.0    12   298    24   336    21   350 0.74 NZ_ABAM02000001.1_570 # 646257 # 647615 # 1 # ID=2_570;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAM02000001.1:648694-650010|+   -            439 30417at91347         -            419     2e-11   41.3   4.6   1   1   5.9e-13   4.3e-10   36.9   4.6    81   284   106   306    97   355 0.75 NZ_ABAM02000001.1_572 # 648694 # 650010 # 1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABAM02000001.1:652437-653912|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   1   3   0.00055       0.4    7.4   0.0    82   100   121   139    81   150 0.69 NZ_ABAM02000001.1_575 # 652437 # 653912 # 1 # ID=2_575;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAM02000001.1:652437-653912|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   2   3   3.8e-05     0.028   11.2   0.0   159   210   185   241   179   250 0.79 NZ_ABAM02000001.1_575 # 652437 # 653912 # 1 # ID=2_575;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAM02000001.1:652437-653912|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   3   3      0.17   1.2e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NZ_ABAM02000001.1_575 # 652437 # 653912 # 1 # ID=2_575;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAM02000001.1:2936476-2937744|- -            423 30417at91347         -            419   0.00055   16.8   0.0   1   2     0.019        14    2.3   0.0    82   100    51    69    32    83 0.75 NZ_ABAM02000001.1_2731 # 2936476 # 2937744 # -1 # ID=2_2731;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:2936476-2937744|- -            423 30417at91347         -            419   0.00055   16.8   0.0   2   2   4.4e-05     0.032   11.0   0.0   274   366   285   375   117   415 0.66 NZ_ABAM02000001.1_2731 # 2936476 # 2937744 # -1 # ID=2_2731;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:302165-303544|+   -            460 30417at91347         -            419    0.0023   14.7   0.1   1   2    0.0074       5.3    3.7   0.1    82   104   105   127   100   152 0.77 NZ_ABAM02000001.1_268 # 302165 # 303544 # 1 # ID=2_268;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAM02000001.1:302165-303544|+   -            460 30417at91347         -            419    0.0023   14.7   0.1   2   2   0.00019      0.14    8.9   0.0   230   311   267   348   180   359 0.81 NZ_ABAM02000001.1_268 # 302165 # 303544 # 1 # ID=2_268;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:47 2026
# [ok]
