#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:152812-154170|- -            453 58706at91347         -            371  6.4e-164  543.2   1.9   1   1  1.4e-165  1.3e-162  538.9   1.9    13   371    26   443     1   443 0.89 NZ_ABFH02000001.1_136 # 152812 # 154170 # -1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABFH02000001.1:150417-151733|- -            439 58706at91347         -            371   2.6e-15   54.2   0.5   1   2   1.2e-10   1.1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NZ_ABFH02000001.1_134 # 150417 # 151733 # -1 # ID=5_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABFH02000001.1:150417-151733|- -            439 58706at91347         -            371   2.6e-15   54.2   0.5   2   2   6.9e-09   6.3e-06   23.3   0.1   215   293   262   343   254   351 0.83 NZ_ABFH02000001.1_134 # 150417 # 151733 # -1 # ID=5_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABFH02000001.1:154167-155654|- -            496 58706at91347         -            371     3e-07   27.6   1.1   1   2   9.9e-06    0.0091   12.9   0.7    14   192    25   243    21   257 0.64 NZ_ABFH02000001.1_137 # 154167 # 155654 # -1 # ID=5_137;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFH02000001.1:154167-155654|- -            496 58706at91347         -            371     3e-07   27.6   1.1   2   2   0.00011       0.1    9.5   0.0   213   258   299   344   294   348 0.93 NZ_ABFH02000001.1_137 # 154167 # 155654 # -1 # ID=5_137;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFH02000001.1:146515-147990|- -            492 58706at91347         -            371   7.8e-06   23.0   0.1   1   2   0.00036      0.33    7.8   0.0    79   166   121   203    69   224 0.72 NZ_ABFH02000001.1_131 # 146515 # 147990 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABFH02000001.1:146515-147990|- -            492 58706at91347         -            371   7.8e-06   23.0   0.1   2   2     1e-05    0.0096   12.8   0.0   212   256   283   327   275   331 0.90 NZ_ABFH02000001.1_131 # 146515 # 147990 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABFH02000001.1:485044-486423|- -            460 58706at91347         -            371     0.002   15.0   1.0   1   2    0.0011         1    6.2   0.1    79   104   105   130    92   214 0.70 NZ_ABFH02000001.1_440 # 485044 # 486423 # -1 # ID=5_440;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABFH02000001.1:485044-486423|- -            460 58706at91347         -            371     0.002   15.0   1.0   2   2    0.0012       1.1    6.0   0.1   213   257   271   315   267   318 0.87 NZ_ABFH02000001.1_440 # 485044 # 486423 # -1 # ID=5_440;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:07 2026
# [ok]
