#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000003.1:116663-117811|+ -            383 58562at91347         -            328    1e-175  581.3   0.1   1   1  2.3e-177  1.4e-174  577.6   0.1     1   328     1   374     1   374 0.93 NZ_ABEI01000003.1_109 # 116663 # 117811 # 1 # ID=51_109;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEI01000012.1:17545-18108|-   -            188 58562at91347         -            328   6.6e-15   52.8   0.0   1   1   1.2e-17   7.2e-15   52.6   0.0   186   324    39   184    13   187 0.85 NZ_ABEI01000012.1_23 # 17545 # 18108 # -1 # ID=42_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABEI01000009.1:103141-104718|- -            526 58562at91347         -            328   1.3e-07   28.9   0.0   1   2   6.5e-10   4.1e-07   27.2   0.0   152   240     7    99     2   111 0.75 NZ_ABEI01000009.1_105 # 103141 # 104718 # -1 # ID=45_105;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEI01000009.1:103141-104718|- -            526 58562at91347         -            328   1.3e-07   28.9   0.0   2   2      0.41   2.5e+02   -1.7   0.0   296   325   170   198   161   201 0.74 NZ_ABEI01000009.1_105 # 103141 # 104718 # -1 # ID=45_105;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEI01000002.1:330398-331993|+ -            532 58562at91347         -            328   2.2e-07   28.0   0.1   1   1   7.8e-10   4.9e-07   26.9   0.1   181   319    36   182    19   188 0.72 NZ_ABEI01000002.1_318 # 330398 # 331993 # 1 # ID=52_318;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
NZ_ABEI01000005.1:128879-130516|- -            546 58562at91347         -            328   4.5e-05   20.5   0.0   1   2   0.00027      0.17    8.7   0.0   205   235   357   387   331   403 0.74 NZ_ABEI01000005.1_130 # 128879 # 130516 # -1 # ID=49_130;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.522
NZ_ABEI01000005.1:128879-130516|- -            546 58562at91347         -            328   4.5e-05   20.5   0.0   2   2   0.00016     0.098    9.5   0.0   278   326   485   534   461   536 0.87 NZ_ABEI01000005.1_130 # 128879 # 130516 # -1 # ID=49_130;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.522
NZ_ABEI01000001.1:64835-65425|+   -            197 58562at91347         -            328    0.0015   15.5   0.1   1   2   9.2e-06    0.0058   13.5   0.0   154   234     2    84     1    93 0.71 NZ_ABEI01000001.1_69 # 64835 # 65425 # 1 # ID=53_69;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.569
NZ_ABEI01000001.1:64835-65425|+   -            197 58562at91347         -            328    0.0015   15.5   0.1   2   2      0.15        96   -0.3   0.0   298   325   169   194   164   196 0.66 NZ_ABEI01000001.1_69 # 64835 # 65425 # 1 # ID=53_69;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.569
NZ_ABEI01000009.1:17478-18197|+   -            240 58562at91347         -            328     0.049   10.5   0.0   1   1   0.00011     0.067   10.0   0.0   213   243    77   107    50   125 0.82 NZ_ABEI01000009.1_19 # 17478 # 18197 # 1 # ID=45_19;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58562at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:43 2026
# [ok]
