#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000004.1:199309-199740|+ -            144 86762at91347         -            108   3.8e-37  124.8   2.2   1   1   2.7e-37   1.9e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABEH02000004.1_188 # 199309 # 199740 # 1 # ID=16_188;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.498
NZ_ABEH02000006.1:24023-24550|-   -            176 86762at91347         -            108   9.3e-06   23.8   0.0   1   2   9.8e-05     0.069   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABEH02000006.1_24 # 24023 # 24550 # -1 # ID=14_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NZ_ABEH02000006.1:24023-24550|-   -            176 86762at91347         -            108   9.3e-06   23.8   0.0   2   2   0.00019      0.13   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABEH02000006.1_24 # 24023 # 24550 # -1 # ID=14_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NZ_ABEH02000004.1:396072-396398|+ -            109 86762at91347         -            108   1.3e-05   23.3   0.0   1   2   7.6e-07   0.00054   18.1   0.0    28    70     3    45     1    64 0.88 NZ_ABEH02000004.1_358 # 396072 # 396398 # 1 # ID=16_358;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000004.1:396072-396398|+ -            109 86762at91347         -            108   1.3e-05   23.3   0.0   2   2     0.029        20    3.4   0.0    79    99    78    98    69   102 0.89 NZ_ABEH02000004.1_358 # 396072 # 396398 # 1 # ID=16_358;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000010.1:81969-83021|+   -            351 86762at91347         -            108    0.0029   15.8   0.0   1   2   2.6e-05     0.018   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABEH02000010.1_82 # 81969 # 83021 # 1 # ID=10_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEH02000010.1:81969-83021|+   -            351 86762at91347         -            108    0.0029   15.8   0.0   2   2      0.63   4.4e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABEH02000010.1_82 # 81969 # 83021 # 1 # ID=10_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEH02000002.1:438277-438591|- -            105 86762at91347         -            108    0.0038   15.4   0.0   1   1   7.6e-06    0.0053   14.9   0.0    49    72    24    47    17    69 0.85 NZ_ABEH02000002.1_424 # 438277 # 438591 # -1 # ID=18_424;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.429
NZ_ABEH02000006.1:241865-242707|- -            281 86762at91347         -            108     0.012   13.8   0.1   1   4       1.7   1.2e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABEH02000006.1_231 # 241865 # 242707 # -1 # ID=14_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEH02000006.1:241865-242707|- -            281 86762at91347         -            108     0.012   13.8   0.1   2   4   0.00031      0.22    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABEH02000006.1_231 # 241865 # 242707 # -1 # ID=14_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEH02000006.1:241865-242707|- -            281 86762at91347         -            108     0.012   13.8   0.1   3   4      0.42     3e+02   -0.3   0.0    44    58   167   181   151   206 0.62 NZ_ABEH02000006.1_231 # 241865 # 242707 # -1 # ID=14_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEH02000006.1:241865-242707|- -            281 86762at91347         -            108     0.012   13.8   0.1   4   4       2.3   1.6e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABEH02000006.1_231 # 241865 # 242707 # -1 # ID=14_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:29 2026
# [ok]
