#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:433430-436285|+ -            952 854at91347           -            818         0 1434.8   0.0   1   1         0         0 1434.1   0.0     1   814     1   932     1   935 0.91 NZ_ABEW01000003.1_389 # 433430 # 436285 # 1 # ID=61_389;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.569
NZ_ABEW01000005.1:455138-457720|- -            861 854at91347           -            818     2e-39  133.4   1.3   1   5   4.6e-24   5.4e-21   72.4   0.1     1   179     1   169     1   178 0.82 NZ_ABEW01000005.1_452 # 455138 # 457720 # -1 # ID=59_452;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.560
NZ_ABEW01000005.1:455138-457720|- -            861 854at91347           -            818     2e-39  133.4   1.3   2   5   0.00072      0.85    5.6   0.1   152   224   196   266   179   303 0.74 NZ_ABEW01000005.1_452 # 455138 # 457720 # -1 # ID=59_452;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.560
NZ_ABEW01000005.1:455138-457720|- -            861 854at91347           -            818     2e-39  133.4   1.3   3   5   1.9e-08   2.2e-05   20.8   0.0   231   284   306   359   299   374 0.88 NZ_ABEW01000005.1_452 # 455138 # 457720 # -1 # ID=59_452;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.560
NZ_ABEW01000005.1:455138-457720|- -            861 854at91347           -            818     2e-39  133.4   1.3   4   5   0.00035      0.41    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABEW01000005.1_452 # 455138 # 457720 # -1 # ID=59_452;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.560
NZ_ABEW01000005.1:455138-457720|- -            861 854at91347           -            818     2e-39  133.4   1.3   5   5   8.6e-08    0.0001   18.6   0.0   483   700   548   776   479   809 0.64 NZ_ABEW01000005.1_452 # 455138 # 457720 # -1 # ID=59_452;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.560
NZ_ABEW01000003.1:232736-235570|- -            945 854at91347           -            818     4e-38  129.1   0.0   1   4     4e-15   4.7e-12   42.8   0.0    25   187    45   206    32   284 0.90 NZ_ABEW01000003.1_204 # 232736 # 235570 # -1 # ID=61_204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEW01000003.1:232736-235570|- -            945 854at91347           -            818     4e-38  129.1   0.0   2   4   1.7e-14     2e-11   40.8   0.0   236   434   308   510   304   514 0.77 NZ_ABEW01000003.1_204 # 232736 # 235570 # -1 # ID=61_204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEW01000003.1:232736-235570|- -            945 854at91347           -            818     4e-38  129.1   0.0   3   4   3.7e-10   4.4e-07   26.4   0.0   421   529   523   623   513   669 0.79 NZ_ABEW01000003.1_204 # 232736 # 235570 # -1 # ID=61_204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEW01000003.1:232736-235570|- -            945 854at91347           -            818     4e-38  129.1   0.0   4   4   2.4e-06    0.0028   13.8   0.1   610   698   679   778   622   782 0.82 NZ_ABEW01000003.1_204 # 232736 # 235570 # -1 # ID=61_204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEW01000006.1:270708-272741|- -            678 854at91347           -            818   0.00045   16.4   0.2   1   3   3.8e-07   0.00045   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABEW01000006.1_247 # 270708 # 272741 # -1 # ID=58_247;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
NZ_ABEW01000006.1:270708-272741|- -            678 854at91347           -            818   0.00045   16.4   0.2   2   3     0.094   1.1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NZ_ABEW01000006.1_247 # 270708 # 272741 # -1 # ID=58_247;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
