Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
group_3761,,hypothetical protein,13,13,1.0,9,1,,,,114,114,114.0,0_refound_19,1_refound_49,2_refound_75,3_refound_110,4_refound_151,5_refound_192,6_refound_242,7_refound_289,8_refound_323,9_refound_371,10_refound_404,11_refound_449,ONMMKP_03741
group_3758,,hypothetical protein,13,13,1.0,6,2,,,,282,282,282.0,0_refound_16,1_refound_42,2_refound_67,3_refound_100,4_refound_141,5_refound_181,6_refound_231,7_refound_284,PAPNPA_02228,9_refound_364,10_refound_397,11_refound_443,12_refound_478
group_3698,,Cytochrome c-type biogenesis protein,13,13,1.0,1,6991,,,,1044,1044,1044.0,GEGEGB_00664,LNHIMF_02382,BEJGEH_03868,HFCAGB_04064,AJBGEP_02416,ODDLKH_02751,OEKLIE_02419,ALJMDI_02237,PAPNPA_04374,BENMGJ_02614,IKCLMC_01753,PKJKAM_03548,ONMMKP_04599
eutM~~~eutN,eutM;eutN,ethanolamine utilization microcompartment protein EutM;ethanolamine utilization microcompartment protein EutN,13,24,1.8461538461538463,1,6990,,,,288,690,305.52,GEGEGB_00431,LNHIMF_02601,BEJGEH_02492;BEJGEH_02493,HFCAGB_02739;HFCAGB_02738,AJBGEP_02640;AJBGEP_02639,ODDLKH_02975;ODDLKH_02974,OEKLIE_03107;OEKLIE_03108,ALJMDI_01695;ALJMDI_01696,PAPNPA_02061;PAPNPA_02062,BENMGJ_01712;BENMGJ_01713,IKCLMC_01316;IKCLMC_01317,PKJKAM_02802;PKJKAM_02803,ONMMKP_04378;ONMMKP_04377
gatY,gatY,tagatose bisphosphate family class II aldolase,13,13,1.0,1,6962,,,,855,855,855.0,GEGEGB_03343,LNHIMF_03306,BEJGEH_03280,HFCAGB_03484,AJBGEP_03434,ODDLKH_03692,OEKLIE_04339,ALJMDI_03031,PAPNPA_02373,BENMGJ_01974,IKCLMC_03598,PKJKAM_01776,ONMMKP_03583
group_3652,,Arylsulfatase,13,13,1.0,1,6936,,,,1494,1494,1494.0,GEGEGB_00040,LNHIMF_00037,BEJGEH_00038,HFCAGB_00038,AJBGEP_00037,ODDLKH_00513,OEKLIE_04623,ALJMDI_04059,PAPNPA_03527,BENMGJ_00691,IKCLMC_03172,PKJKAM_02068,ONMMKP_02146
group_3631,,anaerobic sulfatase maturase,13,13,1.0,1,6913,,,,1191,1230,1195.3846153846155,GEGEGB_00041,LNHIMF_00038,BEJGEH_00039,HFCAGB_00039,AJBGEP_00038,ODDLKH_00514,OEKLIE_04624,ALJMDI_04060,PAPNPA_03528,BENMGJ_00690,IKCLMC_03171,PKJKAM_02067,ONMMKP_02145
group_3618,,IS1 family transposase;Cytoplasmic protein,13,13,1.0,1,6897,,,,984,1257,1235.076923076923,GEGEGB_00042,LNHIMF_00039,BEJGEH_00040,HFCAGB_00040,AJBGEP_00039,ODDLKH_00515,OEKLIE_04625,ALJMDI_04061,PAPNPA_03529,BENMGJ_00689,IKCLMC_03170,PKJKAM_02066,ONMMKP_02144
ratB,;ratB,Outer membrane protein;Putative outer membrane protein;adhesion domain-containing protein;Immunoglobulin-like domain BIg-containing protein;putative outer membrane protein;DUF823 DUF824 domains-containing protein,13,21,1.6153846153846154,1,6895,,,,90,7311,3159.4285714285716,GEGEGB_00377;GEGEGB_00375;GEGEGB_00374;GEGEGB_00376,LNHIMF_02652;LNHIMF_02651,BEJGEH_02545,HFCAGB_02791,AJBGEP_02690;AJBGEP_02689,ODDLKH_03022,OEKLIE_03157;OEKLIE_03158,ALJMDI_01641,PAPNPA_02129,BENMGJ_01760,IKCLMC_01267,PKJKAM_02752;PKJKAM_02751,ONMMKP_04326;ONMMKP_04327
group_3613,;ratA,RatA-like protein;DUF823 DUF824 domains-containing protein;Outer membrane protein;Exported protein (RatA),13,14,1.0769230769230769,1,6891,,,,1692,6393,5229.0,GEGEGB_00373,LNHIMF_02653,BEJGEH_02546,HFCAGB_02792;HFCAGB_02793,AJBGEP_02691,ODDLKH_03023,OEKLIE_03159,ALJMDI_01640,PAPNPA_02130,BENMGJ_01761,IKCLMC_01266,PKJKAM_02750,ONMMKP_04325
sinI,;sinI,Outer membrane protein;SinI protein,13,13,1.0,1,6882,,,,960,972,963.6923076923077,GEGEGB_00372,LNHIMF_02654,BEJGEH_02547,HFCAGB_02794,AJBGEP_02692,ODDLKH_03024,OEKLIE_03160,ALJMDI_01639,PAPNPA_02131,BENMGJ_01762,IKCLMC_01265,PKJKAM_02749,ONMMKP_04324
thiF,thiF,thiazole biosynthesis adenylyltransferase ThiF;Thiazole biosynthesis adenylyltransferase ThiF,13,13,1.0,1,6870,,,,759,759,759.0,GEGEGB_03655,LNHIMF_04208,BEJGEH_04221,HFCAGB_04419,AJBGEP_04374,ODDLKH_00020,OEKLIE_00377,ALJMDI_00079,PAPNPA_00103,BENMGJ_00168,IKCLMC_00241,PKJKAM_00215,ONMMKP_02627
group_3590,,YdgH/BhsA/McbA-like domain-containing protein;DUF1471 domain-containing protein,13,13,1.0,1,6864,,,,276,276,276.0,GEGEGB_04684,LNHIMF_04486,BEJGEH_04466,HFCAGB_04624,AJBGEP_04600,ODDLKH_00260,OEKLIE_00369,ALJMDI_03837,PAPNPA_02920,BENMGJ_00138,IKCLMC_03422,PKJKAM_01131,ONMMKP_02400
group_3588,,alpha-glucosidase,13,13,1.0,1,6862,,,,2037,2037,2037.0,GEGEGB_03798,LNHIMF_04071,BEJGEH_04077,HFCAGB_04270,AJBGEP_04229,ODDLKH_04477,OEKLIE_03183,ALJMDI_00930,PAPNPA_01267,BENMGJ_01030,IKCLMC_00662,PKJKAM_01467,ONMMKP_02769
thiG,thiG,thiazole synthase,13,13,1.0,1,6854,,,,771,771,771.0,GEGEGB_03656,LNHIMF_04206,BEJGEH_04219,HFCAGB_04417,AJBGEP_04372,ODDLKH_00018,OEKLIE_00375,ALJMDI_00081,PAPNPA_00104,BENMGJ_00166,IKCLMC_00243,PKJKAM_00217,ONMMKP_02628
sinH,sinH,intimin-like inverse autotransporter SinH,13,14,1.0769230769230769,1,6852,,,,252,2193,2032.0714285714287,GEGEGB_00370;GEGEGB_00371,LNHIMF_02655,BEJGEH_02548,HFCAGB_02795,AJBGEP_02693,ODDLKH_03025,OEKLIE_03161,ALJMDI_01638,PAPNPA_02132,BENMGJ_01763,IKCLMC_01264,PKJKAM_02748,ONMMKP_04323
thiH,thiH,2-iminoacetate synthase ThiH,13,13,1.0,1,6846,,,,1134,1134,1134.0,GEGEGB_03657,LNHIMF_04205,BEJGEH_04218,HFCAGB_04416,AJBGEP_04371,ODDLKH_00017,OEKLIE_00374,ALJMDI_00082,PAPNPA_00105,BENMGJ_00165,IKCLMC_00244,PKJKAM_00218,ONMMKP_02629
group_3578,,Lipoprotein;DKNYY family protein;putative exported protein,13,23,1.7692307692307692,1,6841,,,,93,2013,448.5652173913044,GEGEGB_03536,LNHIMF_03995,BEJGEH_03999;BEJGEH_03998,HFCAGB_04191;HFCAGB_04192,AJBGEP_04150;AJBGEP_04151,ODDLKH_04398;ODDLKH_04399,OEKLIE_01311;OEKLIE_01312,ALJMDI_00852,PAPNPA_00524;PAPNPA_00525,BENMGJ_00576;BENMGJ_00575,IKCLMC_00496;IKCLMC_00495,PKJKAM_01540;PKJKAM_01541,ONMMKP_02843;ONMMKP_02842
group_3577,,Integral membrane protein,13,13,1.0,1,6840,,,,522,654,542.3076923076923,GEGEGB_02194,LNHIMF_00939,BEJGEH_00808,HFCAGB_00888,AJBGEP_00835,ODDLKH_01301,OEKLIE_02809,ALJMDI_01150,PAPNPA_03288,BENMGJ_04475,IKCLMC_01402,PKJKAM_01087,ONMMKP_01306
