#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:3816443-3816874|- -            144 86762at91347         -            108     4e-37  124.8   2.2   1   1   2.7e-37   2.1e-34  116.1   2.2     1   108     1   143     1   143 0.89 NC_011149.1_3563 # 3816443 # 3816874 # -1 # ID=1_3563;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.502
NC_011149.1:2854811-2855338|+ -            176 86762at91347         -            108   9.9e-06   23.8   0.0   1   2   9.8e-05     0.074   11.3   0.0    32    65     6    38     1    42 0.80 NC_011149.1_2653 # 2854811 # 2855338 # 1 # ID=1_2653;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.562
NC_011149.1:2854811-2855338|+ -            176 86762at91347         -            108   9.9e-06   23.8   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NC_011149.1_2653 # 2854811 # 2855338 # 1 # ID=1_2653;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.562
NC_011149.1:3605820-3606146|- -            109 86762at91347         -            108   1.1e-05   23.6   0.0   1   2   5.7e-07   0.00043   18.5   0.0    28    71     3    46     1    71 0.83 NC_011149.1_3383 # 3605820 # 3606146 # -1 # ID=1_3383;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_011149.1:3605820-3606146|- -            109 86762at91347         -            108   1.1e-05   23.6   0.0   2   2     0.026        20    3.5   0.0    79    99    78    98    69   104 0.89 NC_011149.1_3383 # 3605820 # 3606146 # -1 # ID=1_3383;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_011149.1:1422346-1422660|+ -            105 86762at91347         -            108    0.0041   15.4   0.0   1   1   7.6e-06    0.0057   14.9   0.0    49    72    24    47    17    69 0.85 NC_011149.1_1316 # 1422346 # 1422660 # 1 # ID=1_1316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.435
NC_011149.1:1969318-1970370|- -            351 86762at91347         -            108    0.0044   15.3   0.1   1   2   3.6e-05     0.027   12.7   0.0    37    69   141   173   132   204 0.85 NC_011149.1_1851 # 1969318 # 1970370 # -1 # ID=1_1851;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.509
NC_011149.1:1969318-1970370|- -            351 86762at91347         -            108    0.0044   15.3   0.1   2   2      0.61   4.6e+02   -0.9   0.0    79    98   213   232   205   236 0.86 NC_011149.1_1851 # 1969318 # 1970370 # -1 # ID=1_1851;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.509
NC_011149.1:2633325-2634167|+ -            281 86762at91347         -            108     0.013   13.7   0.1   1   4       1.8   1.4e+03   -2.4   0.0    56    67    41    52    37    57 0.81 NC_011149.1_2446 # 2633325 # 2634167 # 1 # ID=1_2446;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NC_011149.1:2633325-2634167|+ -            281 86762at91347         -            108     0.013   13.7   0.1   2   4   0.00031      0.23    9.7   0.0    79   102   108   131    99   137 0.88 NC_011149.1_2446 # 2633325 # 2634167 # 1 # ID=1_2446;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NC_011149.1:2633325-2634167|+ -            281 86762at91347         -            108     0.013   13.7   0.1   3   4      0.41   3.1e+02   -0.3   0.0    44    58   167   181   150   206 0.62 NC_011149.1_2446 # 2633325 # 2634167 # 1 # ID=1_2446;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NC_011149.1:2633325-2634167|+ -            281 86762at91347         -            108     0.013   13.7   0.1   4   4       2.3   1.7e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NC_011149.1_2446 # 2633325 # 2634167 # 1 # ID=1_2446;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:23:28 2026
# [ok]
