#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:145054-146541|+   -            496 30417at91347         -            419  4.3e-193  639.8   0.0   1   1  1.5e-195  1.2e-192  638.4   0.0     1   418     3   492     3   493 0.90 NC_011149.1_124 # 145054 # 146541 # 1 # ID=1_124;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011149.1:148975-150291|+   -            439 30417at91347         -            419   1.9e-11   41.4   4.3   1   1   5.2e-13   3.9e-10   37.1   4.3    81   284   106   306    97   353 0.75 NC_011149.1_127 # 148975 # 150291 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NC_011149.1:146538-147896|+   -            453 30417at91347         -            419   2.7e-11   40.9   0.0   1   1   1.3e-13     1e-10   39.0   0.0    12   298    24   336    21   350 0.74 NC_011149.1_125 # 146538 # 147896 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.566
NC_011149.1:152718-154193|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   1   3   0.00055      0.41    7.4   0.0    82   100   121   139    81   150 0.69 NC_011149.1_130 # 152718 # 154193 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NC_011149.1:152718-154193|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   2   3   3.8e-05     0.029   11.2   0.0   159   210   185   241   179   250 0.79 NC_011149.1_130 # 152718 # 154193 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NC_011149.1:152718-154193|+   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   3   3      0.17   1.2e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NC_011149.1_130 # 152718 # 154193 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NC_011149.1:2439033-2440301|- -            423 30417at91347         -            419   0.00027   17.9   0.0   1   2     0.019        14    2.3   0.0    82   100    51    69    32    83 0.75 NC_011149.1_2283 # 2439033 # 2440301 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:2439033-2440301|- -            423 30417at91347         -            419   0.00027   17.9   0.0   2   2   1.6e-05     0.012   12.4   0.0   134   395   135   406   117   415 0.56 NC_011149.1_2283 # 2439033 # 2440301 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:4589003-4590382|+ -            460 30417at91347         -            419    0.0024   14.7   0.1   1   2    0.0074       5.5    3.7   0.1    82   104   105   127   100   152 0.77 NC_011149.1_4255 # 4589003 # 4590382 # 1 # ID=1_4255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:4589003-4590382|+ -            460 30417at91347         -            419    0.0024   14.7   0.1   2   2   0.00019      0.15    8.9   0.0   230   311   267   348   180   359 0.81 NC_011149.1_4255 # 4589003 # 4590382 # 1 # ID=1_4255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:23:26 2026
# [ok]
