#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000004.1:11267-13066|+   -            600 11342at91347         -            517  6.5e-278  920.5   0.0   1   1  1.5e-280  7.6e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABFG01000004.1_13 # 11267 # 13066 # 1 # ID=47_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABFG01000008.1:136757-138580|- -            608 11342at91347         -            517   4.3e-40  135.9   0.1   1   2   2.4e-41   1.2e-38  131.1   0.1     2   204     3   233     2   259 0.84 NZ_ABFG01000008.1_125 # 136757 # 138580 # -1 # ID=43_125;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFG01000008.1:136757-138580|- -            608 11342at91347         -            517   4.3e-40  135.9   0.1   2   2     0.023        11    2.5   0.0   260   372   327   431   314   472 0.68 NZ_ABFG01000008.1_125 # 136757 # 138580 # -1 # ID=43_125;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFG01000002.1:448269-450383|+ -            705 11342at91347         -            517   4.4e-27   92.9   0.0   1   4   3.9e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 11342at91347         -            517   4.4e-27   92.9   0.0   2   4      0.35   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 11342at91347         -            517   4.4e-27   92.9   0.0   3   4   6.1e-06    0.0031   14.3   0.0   267   327   434   491   380   502 0.82 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 11342at91347         -            517   4.4e-27   92.9   0.0   4   4     0.021        10    2.6   0.0   351   410   626   685   604   699 0.81 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000006.1:197768-199357|- -            530 11342at91347         -            517   2.9e-24   83.6   0.0   1   2   3.6e-24   1.8e-21   74.4   0.0     4   144    13   164    10   184 0.85 NZ_ABFG01000006.1_173 # 197768 # 199357 # -1 # ID=45_173;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABFG01000006.1:197768-199357|- -            530 11342at91347         -            517   2.9e-24   83.6   0.0   2   2   0.00092      0.46    7.1   0.0   292   325   436   469   365   491 0.70 NZ_ABFG01000006.1_173 # 197768 # 199357 # -1 # ID=45_173;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABFG01000007.1:115700-118378|+ -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   2.8e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NZ_ABFG01000007.1_108 # 115700 # 118378 # 1 # ID=44_108;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000002.1:450455-451639|+ -            395 11342at91347         -            517   8.7e-13   45.8   0.0   1   1   2.4e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NZ_ABFG01000002.1_399 # 450455 # 451639 # 1 # ID=49_399;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABFG01000005.1:149566-151005|+ -            480 11342at91347         -            517     4e-11   40.3   0.1   1   1   1.6e-13   7.7e-11   39.3   0.1    38   138    79   183    25   189 0.76 NZ_ABFG01000005.1_126 # 149566 # 151005 # 1 # ID=46_126;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABFG01000002.1:182385-184235|+ -            617 11342at91347         -            517   1.4e-07   28.6   0.0   1   1   5.6e-10   2.8e-07   27.6   0.0    11   165     7   159     2   183 0.73 NZ_ABFG01000002.1_169 # 182385 # 184235 # 1 # ID=49_169;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.569
NZ_ABFG01000004.1:88227-89699|+   -            491 11342at91347         -            517   0.00023   18.0   0.0   1   1     8e-07    0.0004   17.2   0.0    79   167   273   368   204   377 0.80 NZ_ABFG01000004.1_80 # 88227 # 89699 # 1 # ID=47_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:28 2026
# [ok]
