persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GEGEGB_03987	0.0	1.077	True
GEGEGB_03990	0.0	1.0	True
GEGEGB_03991	0.0	1.0	True
GEGEGB_03992	0.0	1.0	True
GEGEGB_03994	0.0	1.0	True
GEGEGB_03995	0.0	1.0	True
GEGEGB_03996	0.0	1.0	True
GEGEGB_04001	0.0	1.0	True
GEGEGB_04002	0.0	1.0	True
GEGEGB_04003	0.0	1.0	True
GEGEGB_04006	0.0	1.0	True
GEGEGB_04008	0.0	1.0	True
GEGEGB_04009	0.0	1.0	True
GEGEGB_04010	0.0	1.0	True
GEGEGB_04011	0.0	1.0	True
GEGEGB_04012	0.0	1.0	True
GEGEGB_04023	0.0	1.0	True
GEGEGB_04025	0.0	1.0	True
GEGEGB_04026	0.0	1.0	True
GEGEGB_04027	0.0	1.0	True
GEGEGB_04028	0.0	1.0	True
GEGEGB_04031	0.0	1.0	True
GEGEGB_04032	0.0	1.0	True
GEGEGB_04033	0.0	1.0	True
GEGEGB_04035	0.0	1.0	True
GEGEGB_04036	0.0	1.0	True
GEGEGB_04037	0.0	1.0	True
GEGEGB_04038	0.0	1.0	True
GEGEGB_04039	0.0	1.0	True
GEGEGB_04043	0.0	1.0	True
GEGEGB_04044	0.0	1.0	True
GEGEGB_04045	0.0	1.0	True
LNHIMF_00730	0.0	1.0	True
LNHIMF_00731	0.0	1.0	True
LNHIMF_00737	0.0	1.0	True
LNHIMF_00739	0.0	1.0	True
LNHIMF_00743	0.0	1.0	True
LNHIMF_00745	0.0	1.077	True
LNHIMF_00746	0.0	1.0	True
LNHIMF_00748	0.0	1.0	True
LNHIMF_00749	0.0	1.0	True
LNHIMF_00750	0.0	1.0	True
LNHIMF_00753	0.0	1.0	True
LNHIMF_00755	0.0	1.077	True
LNHIMF_00756	0.0	1.0	True
LNHIMF_00759	0.0	1.0	True
LNHIMF_00761	0.0	1.077	True
LNHIMF_00762	0.0	1.0	True
LNHIMF_00765	0.0	1.0	True
LNHIMF_00766	0.0	1.0	True
LNHIMF_00768	0.0	1.0	True
LNHIMF_00773	0.0	1.0	True
LNHIMF_00782	0.0	1.077	True
LNHIMF_00785	0.0	1.077	True
LNHIMF_00789	0.0	1.0	True
LNHIMF_00790	0.0	1.0	True
LNHIMF_00793	0.0	1.0	True
LNHIMF_00796	0.0	1.0	True
LNHIMF_00797	0.0	1.154	True
LNHIMF_00804	0.0	1.0	True
LNHIMF_00805	0.0	1.0	True
LNHIMF_00823	0.0	1.0	True
LNHIMF_00825	0.0	1.0	True
LNHIMF_00832	0.0	1.0	True
LNHIMF_00835	0.0	1.0	True
LNHIMF_00837	0.0	1.0	True
LNHIMF_00716	0.0	1.0	True
LNHIMF_00719	0.0	1.077	True
LNHIMF_00720	0.0	1.0	True
LNHIMF_00724	0.0	1.0	True
LNHIMF_00726	0.0	1.0	True
LNHIMF_00728	0.0	1.0	True
BEJGEH_00936	0.0	1.0	True
BEJGEH_00959	0.0	1.0	True
BEJGEH_00979	0.0	1.0	True
BEJGEH_00985	0.0	1.0	True
BEJGEH_00991	0.0	1.0	True
BEJGEH_00810	0.0	1.0	True
BEJGEH_00823	0.0	1.077	True
BEJGEH_00869	0.0	1.0	True
BEJGEH_00878	0.0	1.0	True
BEJGEH_00020	0.0	1.0	True
BEJGEH_00022	0.0	1.0	True
HFCAGB_01727	0.0	1.0	True
ALJMDI_00783	0.0	1.0	True
ALJMDI_00957	0.0	1.0	True
ALJMDI_01283	0.0	1.0	True
ALJMDI_01593	0.0	1.0	True
ALJMDI_01641	0.0	1.615	True
ALJMDI_01699	0.0	1.0	True
ALJMDI_02045	0.0	1.0	True
ALJMDI_02659	0.0	1.0	True
ALJMDI_03455	0.0	1.0	True
ALJMDI_03500	0.0	1.0	True
PAPNPA_00575	0.0	1.0	True
PAPNPA_00762	0.077	1.462	False
PAPNPA_01001	0.0	1.154	True
PAPNPA_01180	0.0	1.0	True
IKCLMC_02888	0.0	1.0	True
GEGEGB_04676	0.0	1.0	True
GEGEGB_04677	0.0	1.0	True
GEGEGB_04685	0.0	1.0	True
GEGEGB_04686	0.0	1.0	True
GEGEGB_04687	0.0	1.0	True
GEGEGB_04688	0.0	1.0	True
GEGEGB_04691	0.0	1.0	True
GEGEGB_04698	0.0	1.0	True
GEGEGB_04700	0.0	1.0	True
GEGEGB_04701	0.0	1.0	True
GEGEGB_04702	0.0	1.0	True
GEGEGB_04706	0.0	1.0	True
GEGEGB_04708	0.0	1.0	True
GEGEGB_04709	0.0	1.0	True
GEGEGB_04711	0.0	1.0	True
GEGEGB_04714	0.0	1.0	True
GEGEGB_04717	0.0	1.0	True
GEGEGB_04718	0.0	1.0	True
GEGEGB_04719	0.0	1.0	True
GEGEGB_04720	0.0	1.0	True
GEGEGB_04721	0.0	1.0	True
GEGEGB_04722	0.0	1.0	True
GEGEGB_04723	0.0	1.0	True
GEGEGB_04724	0.0	1.0	True
GEGEGB_04725	0.0	1.0	True
GEGEGB_04726	0.0	1.0	True
GEGEGB_04729	0.0	1.0	True
GEGEGB_04730	0.0	1.0	True
GEGEGB_04731	0.0	1.0	True
GEGEGB_04737	0.0	1.0	True
GEGEGB_04738	0.0	1.0	True
GEGEGB_04740	0.0	1.0	True
GEGEGB_04741	0.0	1.0	True
GEGEGB_04742	0.0	1.0	True
GEGEGB_04743	0.0	1.0	True
GEGEGB_04745	0.0	1.0	True
GEGEGB_04746	0.0	1.0	True
GEGEGB_04748	0.0	1.0	True
GEGEGB_04749	0.0	1.0	True
GEGEGB_04751	0.0	1.0	True
GEGEGB_04752	0.0	1.0	True
GEGEGB_04754	0.0	1.0	True
GEGEGB_04757	0.0	1.0	True
GEGEGB_04761	0.0	1.0	True
GEGEGB_04763	0.0	1.0	True
GEGEGB_04361	0.0	1.0	True
GEGEGB_04362	0.0	1.0	True
GEGEGB_04364	0.0	1.0	True
GEGEGB_04365	0.0	1.0	True
GEGEGB_04366	0.0	1.0	True
GEGEGB_04368	0.0	1.0	True
GEGEGB_04369	0.0	1.0	True
GEGEGB_04370	0.0	1.0	True
GEGEGB_04371	0.0	1.0	True
GEGEGB_04372	0.0	1.0	True
GEGEGB_04374	0.0	1.0	True
GEGEGB_04376	0.0	1.0	True
GEGEGB_04378	0.0	1.0	True
GEGEGB_04379	0.0	1.0	True
GEGEGB_04381	0.0	1.0	True
GEGEGB_04382	0.0	1.0	True
GEGEGB_04383	0.0	1.0	True
GEGEGB_04385	0.0	1.0	True
GEGEGB_04386	0.0	1.0	True
GEGEGB_04388	0.0	1.0	True
GEGEGB_04389	0.0	1.0	True
GEGEGB_04391	0.0	1.0	True
GEGEGB_04392	0.0	1.0	True
GEGEGB_04396	0.0	1.0	True
GEGEGB_04397	0.0	1.0	True
GEGEGB_04398	0.0	1.0	True
GEGEGB_04405	0.0	1.0	True
GEGEGB_04407	0.0	1.0	True
GEGEGB_04408	0.0	1.0	True
GEGEGB_04411	0.0	1.0	True
GEGEGB_04413	0.0	1.0	True
GEGEGB_04414	0.0	1.0	True
GEGEGB_04417	0.0	1.0	True
GEGEGB_04420	0.0	1.0	True
GEGEGB_04422	0.0	1.0	True
GEGEGB_04424	0.0	1.0	True
GEGEGB_04428	0.0	1.0	True
GEGEGB_04429	0.0	1.0	True
GEGEGB_04430	0.0	1.0	True
GEGEGB_04431	0.0	1.0	True
GEGEGB_04434	0.0	1.0	True
GEGEGB_04435	0.0	1.0	True
GEGEGB_04437	0.0	1.0	True
GEGEGB_04438	0.0	1.0	True
GEGEGB_04440	0.0	1.0	True
GEGEGB_04441	0.0	1.0	True
GEGEGB_04446	0.0	1.0	True
GEGEGB_04456	0.0	1.0	True
GEGEGB_04459	0.0	1.0	True
GEGEGB_04460	0.0	1.0	True
GEGEGB_03498	0.0	1.0	True
GEGEGB_03499	0.0	1.0	True
GEGEGB_03500	0.0	1.0	True
GEGEGB_03502	0.0	1.0	True
GEGEGB_03504	0.0	1.0	True
GEGEGB_03505	0.0	1.0	True
GEGEGB_03506	0.0	1.0	True
GEGEGB_03507	0.0	1.0	True
GEGEGB_03508	0.0	1.0	True
GEGEGB_03510	0.0	1.0	True
GEGEGB_03511	0.0	1.0	True
GEGEGB_03512	0.0	1.0	True
GEGEGB_03513	0.0	1.0	True
GEGEGB_03514	0.0	1.0	True
GEGEGB_03517	0.0	1.0	True
GEGEGB_03518	0.0	1.0	True
GEGEGB_03521	0.0	1.0	True
GEGEGB_03522	0.0	1.0	True
GEGEGB_03523	0.0	1.0	True
GEGEGB_03524	0.0	1.0	True
GEGEGB_03525	0.0	1.0	True
GEGEGB_03529	0.0	1.0	True
GEGEGB_03531	0.0	1.0	True
GEGEGB_03532	0.0	1.0	True
GEGEGB_03533	0.0	1.0	True
GEGEGB_03534	0.0	1.0	True
GEGEGB_03535	0.0	1.0	True
GEGEGB_03538	0.0	1.0	True
GEGEGB_03542	0.0	1.0	True
GEGEGB_03543	0.0	1.0	True
GEGEGB_03545	0.0	1.0	True
GEGEGB_03557	0.0	1.0	True
GEGEGB_03558	0.0	1.0	True
GEGEGB_03562	0.0	1.0	True
GEGEGB_03565	0.0	1.0	True
GEGEGB_03566	0.0	1.0	True
GEGEGB_03567	0.0	1.0	True
GEGEGB_03568	0.0	1.0	True
GEGEGB_03569	0.0	1.0	True
GEGEGB_03570	0.0	1.0	True
GEGEGB_03575	0.0	1.0	True
GEGEGB_03576	0.0	1.0	True
GEGEGB_03577	0.0	1.0	True
GEGEGB_03582	0.0	1.0	True
GEGEGB_03583	0.0	1.0	True
GEGEGB_03584	0.0	1.0	True
GEGEGB_02855	0.0	1.0	True
GEGEGB_02856	0.0	1.0	True
GEGEGB_02858	0.0	1.0	True
GEGEGB_02861	0.0	1.077	True
GEGEGB_02863	0.0	1.0	True
GEGEGB_02866	0.0	1.0	True
GEGEGB_02867	0.0	1.0	True
GEGEGB_02873	0.0	1.0	True
GEGEGB_02874	0.0	1.0	True
GEGEGB_02876	0.0	1.0	True
GEGEGB_02879	0.0	1.0	True
GEGEGB_02880	0.0	1.0	True
GEGEGB_02884	0.0	1.0	True
GEGEGB_02885	0.0	1.0	True
GEGEGB_02886	0.0	1.0	True
GEGEGB_02887	0.0	1.0	True
GEGEGB_02891	0.0	1.0	True
GEGEGB_02894	0.0	1.0	True
GEGEGB_02896	0.0	1.0	True
GEGEGB_02897	0.0	1.0	True
GEGEGB_02898	0.0	1.0	True
GEGEGB_02900	0.0	1.0	True
GEGEGB_02901	0.0	1.0	True
GEGEGB_02902	0.0	1.0	True
GEGEGB_02903	0.0	1.0	True
GEGEGB_02904	0.0	1.0	True
GEGEGB_02905	0.0	1.0	True
GEGEGB_02906	0.0	1.0	True
GEGEGB_02908	0.0	1.0	True
GEGEGB_02909	0.0	1.0	True
GEGEGB_02911	0.0	1.0	True
GEGEGB_02912	0.0	1.0	True
GEGEGB_02917	0.0	1.0	True
GEGEGB_02920	0.0	1.0	True
GEGEGB_02927	0.0	1.0	True
GEGEGB_02928	0.0	1.0	True
GEGEGB_02932	0.0	1.0	True
GEGEGB_02933	0.0	1.0	True
GEGEGB_02934	0.0	1.0	True
GEGEGB_02936	0.0	1.0	True
GEGEGB_02940	0.0	1.0	True
GEGEGB_02941	0.0	1.0	True
GEGEGB_02942	0.0	1.0	True
GEGEGB_02943	0.0	1.0	True
GEGEGB_02944	0.0	1.0	True
GEGEGB_02946	0.0	1.0	True
GEGEGB_02947	0.0	1.0	True
GEGEGB_02953	0.0	1.0	True
GEGEGB_02955	0.0	1.0	True
GEGEGB_02956	0.0	1.0	True
GEGEGB_02957	0.0	1.0	True
GEGEGB_02960	0.0	1.0	True
GEGEGB_02964	0.0	1.0	True
GEGEGB_02967	0.0	1.0	True
GEGEGB_02970	0.0	1.0	True
GEGEGB_02971	0.0	1.0	True
GEGEGB_02973	0.0	1.0	True
GEGEGB_02974	0.0	1.0	True
GEGEGB_02975	0.0	1.0	True
GEGEGB_02976	0.0	1.0	True
GEGEGB_02977	0.0	1.0	True
GEGEGB_02979	0.0	1.0	True
GEGEGB_02980	0.0	1.0	True
GEGEGB_02981	0.0	1.0	True
GEGEGB_02990	0.0	1.0	True
GEGEGB_02994	0.0	1.0	True
GEGEGB_02996	0.0	1.0	True
GEGEGB_02997	0.0	1.0	True
GEGEGB_02998	0.0	1.0	True
GEGEGB_03010	0.0	1.0	True
GEGEGB_03011	0.0	1.0	True
GEGEGB_03014	0.0	1.0	True
GEGEGB_03020	0.0	1.0	True
GEGEGB_03022	0.0	1.0	True
GEGEGB_03023	0.0	1.0	True
GEGEGB_03026	0.0	1.0	True
GEGEGB_03027	0.0	1.077	True
GEGEGB_03028	0.0	1.0	True
GEGEGB_03029	0.0	1.0	True
GEGEGB_03033	0.0	1.0	True
GEGEGB_03034	0.0	1.0	True
GEGEGB_03035	0.0	1.0	True
GEGEGB_03036	0.0	1.0	True
GEGEGB_03037	0.0	1.0	True
GEGEGB_03040	0.0	1.0	True
GEGEGB_03041	0.0	1.0	True
GEGEGB_03042	0.0	1.0	True
GEGEGB_03043	0.0	1.0	True
GEGEGB_03044	0.0	1.077	True
GEGEGB_03045	0.0	1.0	True
GEGEGB_03049	0.0	1.0	True
GEGEGB_03051	0.0	1.0	True
GEGEGB_03052	0.0	1.0	True
GEGEGB_03053	0.0	1.0	True
GEGEGB_03055	0.0	1.0	True
GEGEGB_03057	0.0	1.0	True
GEGEGB_03061	0.0	1.0	True
GEGEGB_03062	0.0	1.0	True
GEGEGB_03063	0.0	1.0	True
GEGEGB_03064	0.0	1.0	True
GEGEGB_03065	0.0	1.0	True
BEJGEH_00257	0.0	1.231	True
GEGEGB_01744	0.0	1.0	True
GEGEGB_01746	0.0	1.0	True
GEGEGB_01747	0.0	1.0	True
GEGEGB_01748	0.0	1.0	True
GEGEGB_01749	0.0	1.0	True
GEGEGB_01751	0.0	1.0	True
GEGEGB_01757	0.0	1.0	True
GEGEGB_01758	0.154	1.154	False
GEGEGB_01759	0.0	1.0	True
GEGEGB_01760	0.0	1.0	True
GEGEGB_01761	0.0	1.0	True
GEGEGB_01762	0.0	1.0	True
GEGEGB_01765	0.0	1.0	True
GEGEGB_01771	0.0	1.0	True
GEGEGB_01772	0.0	1.0	True
GEGEGB_01776	0.077	1.077	False
GEGEGB_01777	0.0	1.0	True
GEGEGB_01781	0.0	1.0	True
GEGEGB_01783	0.0	1.0	True
GEGEGB_01784	0.0	1.0	True
GEGEGB_01785	0.0	1.0	True
GEGEGB_01789	0.0	1.0	True
GEGEGB_01794	0.0	1.0	True
GEGEGB_01796	0.0	1.0	True
GEGEGB_01797	0.0	1.0	True
GEGEGB_01798	0.0	1.0	True
GEGEGB_01799	0.0	1.0	True
GEGEGB_01800	0.0	1.0	True
GEGEGB_01801	0.0	1.0	True
GEGEGB_01802	0.0	1.0	True
GEGEGB_01805	0.0	1.0	True
GEGEGB_01807	0.0	1.0	True
GEGEGB_01809	0.0	1.0	True
GEGEGB_01810	0.0	1.0	True
GEGEGB_01811	0.0	1.0	True
GEGEGB_01812	0.0	1.0	True
GEGEGB_01814	0.0	1.0	True
GEGEGB_01815	0.0	1.0	True
GEGEGB_01818	0.0	1.0	True
GEGEGB_01819	0.0	1.0	True
GEGEGB_01820	0.0	1.0	True
GEGEGB_01821	0.0	1.0	True
GEGEGB_01823	0.0	1.0	True
GEGEGB_01825	0.0	1.0	True
GEGEGB_01826	0.0	1.0	True
GEGEGB_01827	0.0	1.0	True
GEGEGB_01829	0.0	1.0	True
GEGEGB_01830	0.0	1.0	True
GEGEGB_01831	0.0	1.0	True
GEGEGB_01839	0.0	1.0	True
GEGEGB_01840	0.0	1.0	True
GEGEGB_01841	0.0	1.0	True
GEGEGB_01842	0.0	1.0	True
GEGEGB_01843	0.0	1.0	True
GEGEGB_01845	0.0	1.0	True
GEGEGB_01846	0.0	1.0	True
GEGEGB_01847	0.0	1.0	True
GEGEGB_01849	0.0	1.0	True
GEGEGB_01851	0.0	1.0	True
GEGEGB_01854	0.0	1.0	True
GEGEGB_01857	0.0	1.0	True
GEGEGB_01863	0.0	1.0	True
