#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000003.1:185554-186912|+ -            453 58706at91347         -            371  4.7e-164  543.6   2.1   1   1  1.1e-165  9.2e-163  539.3   2.1    12   371    25   443     1   443 0.89 NZ_ABEI01000003.1_165 # 185554 # 186912 # 1 # ID=51_165;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_ABEI01000003.1:187991-189307|+ -            439 58706at91347         -            371   2.5e-15   54.2   0.5   1   2   1.2e-10     1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NZ_ABEI01000003.1_167 # 187991 # 189307 # 1 # ID=51_167;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:187991-189307|+ -            439 58706at91347         -            371   2.5e-15   54.2   0.5   2   2   6.9e-09     6e-06   23.3   0.1   215   293   262   343   254   351 0.83 NZ_ABEI01000003.1_167 # 187991 # 189307 # 1 # ID=51_167;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:184070-185557|+ -            496 58706at91347         -            371   2.8e-07   27.7   1.7   1   2   8.2e-06    0.0072   13.1   1.0    14   193    25   244    20   272 0.67 NZ_ABEI01000003.1_164 # 184070 # 185557 # 1 # ID=51_164;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:184070-185557|+ -            496 58706at91347         -            371   2.8e-07   27.7   1.7   2   2     9e-05     0.079    9.7   0.0   213   258   299   344   294   348 0.93 NZ_ABEI01000003.1_164 # 184070 # 185557 # 1 # ID=51_164;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:191734-193209|+ -            492 58706at91347         -            371   7.4e-06   23.0   0.1   1   2   0.00036      0.31    7.8   0.0    79   166   121   203    69   224 0.72 NZ_ABEI01000003.1_170 # 191734 # 193209 # 1 # ID=51_170;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NZ_ABEI01000003.1:191734-193209|+ -            492 58706at91347         -            371   7.4e-06   23.0   0.1   2   2     1e-05    0.0092   12.8   0.0   212   256   283   327   275   331 0.90 NZ_ABEI01000003.1_170 # 191734 # 193209 # 1 # ID=51_170;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NZ_ABEI01000013.1:25041-26414|+   -            458 58706at91347         -            371    0.0018   15.1   1.0   1   2    0.0011      0.95    6.2   0.1    79   104   105   130    92   214 0.70 NZ_ABEI01000013.1_23 # 25041 # 26414 # 1 # ID=41_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABEI01000013.1:25041-26414|+   -            458 58706at91347         -            371    0.0018   15.1   1.0   2   2    0.0012       1.1    6.0   0.1   213   257   271   315   267   318 0.87 NZ_ABEI01000013.1_23 # 25041 # 26414 # 1 # ID=41_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:43 2026
# [ok]
