#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:3614065-3614886|- -            274 72088at91347         -            221     5e-98  324.8   0.2   1   1     5e-98   4.7e-95  315.1   0.2     1   221     4   268     4   268 0.88 NC_011205.1_3466 # 3614065 # 3614886 # -1 # ID=1_3466;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.499
NC_011205.1:1916658-1917524|+ -            289 72088at91347         -            221   3.2e-24   83.5   0.5   1   2   3.6e-19   3.4e-16   57.3   0.2     4   135    12   158     9   175 0.76 NC_011205.1_1849 # 1916658 # 1917524 # 1 # ID=1_1849;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.483
NC_011205.1:1916658-1917524|+ -            289 72088at91347         -            221   3.2e-24   83.5   0.5   2   2   5.6e-09   5.3e-06   23.9   0.0   125   210   176   274   171   285 0.73 NC_011205.1_1849 # 1916658 # 1917524 # 1 # ID=1_1849;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.483
NC_011205.1:4094772-4095590|- -            273 72088at91347         -            221   6.8e-10   36.6   0.0   1   2   3.3e-11   3.1e-08   31.2   0.0    40   122    59   141    27   162 0.91 NC_011205.1_3921 # 4094772 # 4095590 # -1 # ID=1_3921;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NC_011205.1:4094772-4095590|- -            273 72088at91347         -            221   6.8e-10   36.6   0.0   2   2     0.011        10    3.3   0.0   144   212   179   259   173   264 0.64 NC_011205.1_3921 # 4094772 # 4095590 # -1 # ID=1_3921;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NC_011205.1:3620570-3621946|+ -            459 72088at91347         -            221   0.00032   18.1   0.1   1   2      0.46   4.3e+02   -2.0   0.1   105   146     2    45     1    49 0.69 NC_011205.1_3474 # 3620570 # 3621946 # 1 # ID=1_3474;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.513
NC_011205.1:3620570-3621946|+ -            459 72088at91347         -            221   0.00032   18.1   0.1   2   2   1.1e-06    0.0011   16.4   0.0    92   143   221   272   206   285 0.95 NC_011205.1_3474 # 3620570 # 3621946 # 1 # ID=1_3474;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.513
NC_011205.1:1492863-1494119|+ -            419 72088at91347         -            221    0.0064   13.8   0.3   1   2     2e-05     0.019   12.3   0.1   103   142   182   223   171   231 0.84 NC_011205.1_1438 # 1492863 # 1494119 # 1 # ID=1_1438;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
NC_011205.1:1492863-1494119|+ -            419 72088at91347         -            221    0.0064   13.8   0.3   2   2      0.62   5.8e+02   -2.4   0.0   195   207   324   336   295   365 0.67 NC_011205.1_1438 # 1492863 # 1494119 # 1 # ID=1_1438;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/72088at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/72088at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/72088at91347.hmm reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:28 2026
# [ok]
