#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:4420581-4421984|+ -            468 52476at91347         -            371  4.1e-171  566.8   0.0   1   1  9.3e-171  5.1e-168  556.6   0.0     1   371    18   467    18   467 0.88 NZ_ABAM02000001.1_4081 # 4420581 # 4421984 # 1 # ID=2_4081;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.590
NZ_ABAM02000001.1:3109216-3110688|- -            491 52476at91347         -            371     3e-36  123.0   0.2   1   2   2.8e-18   1.5e-15   54.9   0.0   187   273     5    92     2    98 0.94 NZ_ABAM02000001.1_2877 # 3109216 # 3110688 # -1 # ID=2_2877;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABAM02000001.1:3109216-3110688|- -            491 52476at91347         -            371     3e-36  123.0   0.2   2   2   1.4e-21   7.4e-19   65.8   0.2   185   273   203   295   199   300 0.94 NZ_ABAM02000001.1_2877 # 3109216 # 3110688 # -1 # ID=2_2877;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABAM02000001.1:3181716-3182621|- -            302 52476at91347         -            371   2.5e-12   44.3   0.2   1   1     7e-15   3.8e-12   43.7   0.2   187   306    11   137     8   173 0.81 NZ_ABAM02000001.1_2939 # 3181716 # 3182621 # -1 # ID=2_2939;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABAM02000001.1:250449-251729|+   -            427 52476at91347         -            371   8.1e-06   22.9   0.3   1   2     6e-08   3.3e-05   20.9   0.1   176   281   189   295   172   305 0.79 NZ_ABAM02000001.1_215 # 250449 # 251729 # 1 # ID=2_215;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAM02000001.1:250449-251729|+   -            427 52476at91347         -            371   8.1e-06   22.9   0.3   2   2     0.038        21    1.8   0.1   256   289   291   326   289   358 0.78 NZ_ABAM02000001.1_215 # 250449 # 251729 # 1 # ID=2_215;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAM02000001.1:4577023-4577655|- -            211 52476at91347         -            371   0.00013   18.9   0.0   1   2   6.3e-07   0.00034   17.5   0.0   184   219    26    62     3    77 0.77 NZ_ABAM02000001.1_4216 # 4577023 # 4577655 # -1 # ID=2_4216;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABAM02000001.1:4577023-4577655|- -            211 52476at91347         -            371   0.00013   18.9   0.0   2   2      0.47   2.5e+02   -1.8   0.0   284   306   173   194   145   199 0.75 NZ_ABAM02000001.1_4216 # 4577023 # 4577655 # -1 # ID=2_4216;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABAM02000001.1:239132-240184|-   -            351 52476at91347         -            371    0.0061   13.4   0.1   1   1   2.4e-05     0.013   12.3   0.1   188   214   211   237   168   247 0.88 NZ_ABAM02000001.1_205 # 239132 # 240184 # -1 # ID=2_205;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABAM02000001.1:2341736-2342827|+ -            364 52476at91347         -            371    0.0062   13.4   0.2   1   1   2.4e-05     0.013   12.3   0.2   184   207     2    25     1   139 0.82 NZ_ABAM02000001.1_2167 # 2341736 # 2342827 # 1 # ID=2_2167;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABAM02000001.1:4036810-4039128|+ -            773 52476at91347         -            371     0.038   10.8   0.0   1   1    0.0001     0.056   10.3   0.0   186   241     5    59     1   101 0.75 NZ_ABAM02000001.1_3748 # 4036810 # 4039128 # 1 # ID=2_3748;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.564
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm
# Target file:     reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/52476at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:48 2026
# [ok]
