#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000003.1:444573-445976|+ -            468 52476at91347         -            371  4.1e-171  566.8   0.0   1   1    1e-170  5.2e-168  556.6   0.0     1   371    18   467    18   467 0.88 NZ_ABEL01000003.1_394 # 444573 # 445976 # 1 # ID=46_394;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABEL01000007.1:117974-119446|- -            491 52476at91347         -            371   7.2e-36  121.8   0.2   1   2   7.5e-18   3.7e-15   53.6   0.0   187   273     5    92     2    98 0.94 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000007.1:117974-119446|- -            491 52476at91347         -            371   7.2e-36  121.8   0.2   2   2   1.5e-21   7.5e-19   65.8   0.2   185   273   203   295   199   300 0.94 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000026.1:22995-23273|+   -             93 52476at91347         -            371   1.6e-09   35.1   0.1   1   1   3.5e-12   1.7e-09   35.0   0.1   187   261    11    87     7    93 0.79 NZ_ABEL01000026.1_23 # 22995 # 23273 # 1 # ID=23_23;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.513
NZ_ABEL01000020.1:3348-4628|-     -            427 52476at91347         -            371   8.3e-06   22.9   0.3   1   2   6.8e-08   3.3e-05   20.9   0.1   176   281   189   295   172   305 0.79 NZ_ABEL01000020.1_5 # 3348 # 4628 # -1 # ID=29_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABEL01000020.1:3348-4628|-     -            427 52476at91347         -            371   8.3e-06   22.9   0.3   2   2     0.043        21    1.8   0.1   256   289   291   326   289   358 0.78 NZ_ABEL01000020.1_5 # 3348 # 4628 # -1 # ID=29_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABEL01000012.1:129454-130086|+ -            211 52476at91347         -            371   0.00014   18.9   0.0   1   2     7e-07   0.00035   17.5   0.0   184   219    26    62     3    77 0.77 NZ_ABEL01000012.1_124 # 129454 # 130086 # 1 # ID=37_124;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NZ_ABEL01000012.1:129454-130086|+ -            211 52476at91347         -            371   0.00014   18.9   0.0   2   2      0.53   2.6e+02   -1.8   0.0   284   306   173   194   145   199 0.75 NZ_ABEL01000012.1_124 # 129454 # 130086 # 1 # ID=37_124;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NZ_ABEL01000020.1:14432-15484|+   -            351 52476at91347         -            371    0.0063   13.4   0.1   1   1   2.8e-05     0.014   12.3   0.1   188   214   211   237   168   247 0.88 NZ_ABEL01000020.1_15 # 14432 # 15484 # 1 # ID=29_15;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEL01000002.1:468379-469470|+ -            364 52476at91347         -            371    0.0063   13.4   0.2   1   1   2.7e-05     0.013   12.3   0.2   184   207     2    25     1   139 0.82 NZ_ABEL01000002.1_448 # 468379 # 469470 # 1 # ID=47_448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABEL01000001.1:732949-734715|- -            589 52476at91347         -            371     0.027   11.3   0.0   1   1   0.00011     0.055   10.3   0.0   180   206   372   398   357   402 0.90 NZ_ABEL01000001.1_709 # 732949 # 734715 # -1 # ID=48_709;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.566
