#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000004.1:192548-192979|+ -            144 86762at91347         -            108   4.2e-37  124.8   2.2   1   1   2.7e-37   2.2e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABEW01000004.1_178 # 192548 # 192979 # 1 # ID=60_178;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.500
NZ_ABEW01000002.1:614994-615521|- -            176 86762at91347         -            108     1e-05   23.8   0.0   1   2   9.8e-05     0.077   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABEW01000002.1_586 # 614994 # 615521 # -1 # ID=62_586;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.568
NZ_ABEW01000002.1:614994-615521|- -            176 86762at91347         -            108     1e-05   23.8   0.0   2   2   0.00019      0.15   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABEW01000002.1_586 # 614994 # 615521 # -1 # ID=62_586;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.568
NZ_ABEW01000004.1:401887-402213|+ -            109 86762at91347         -            108   1.5e-05   23.3   0.0   1   2   7.6e-07    0.0006   18.1   0.0    28    70     3    45     1    64 0.88 NZ_ABEW01000004.1_356 # 401887 # 402213 # 1 # ID=60_356;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEW01000004.1:401887-402213|+ -            109 86762at91347         -            108   1.5e-05   23.3   0.0   2   2     0.029        23    3.4   0.0    79    99    78    98    69   102 0.89 NZ_ABEW01000004.1_356 # 401887 # 402213 # 1 # ID=60_356;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEW01000010.1:18921-19973|+   -            351 86762at91347         -            108    0.0033   15.8   0.1   1   2   2.6e-05      0.02   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABEW01000010.1_22 # 18921 # 19973 # 1 # ID=54_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABEW01000010.1:18921-19973|+   -            351 86762at91347         -            108    0.0033   15.8   0.1   2   2      0.63     5e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABEW01000010.1_22 # 18921 # 19973 # 1 # ID=54_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABEW01000001.1:314909-315223|+ -            105 86762at91347         -            108    0.0043   15.4   0.0   1   1   7.6e-06     0.006   14.9   0.0    49    72    24    47    17    69 0.85 NZ_ABEW01000001.1_318 # 314909 # 315223 # 1 # ID=63_318;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.429
NZ_ABEW01000008.1:84160-85002|-   -            281 86762at91347         -            108     0.014   13.8   0.1   1   4       1.7   1.3e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABEW01000008.1_80 # 84160 # 85002 # -1 # ID=56_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABEW01000008.1:84160-85002|-   -            281 86762at91347         -            108     0.014   13.8   0.1   2   4   0.00031      0.24    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABEW01000008.1_80 # 84160 # 85002 # -1 # ID=56_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABEW01000008.1:84160-85002|-   -            281 86762at91347         -            108     0.014   13.8   0.1   3   4      0.41   3.2e+02   -0.3   0.0    44    58   167   181   150   206 0.62 NZ_ABEW01000008.1_80 # 84160 # 85002 # -1 # ID=56_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABEW01000008.1:84160-85002|-   -            281 86762at91347         -            108     0.014   13.8   0.1   4   4       2.3   1.8e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABEW01000008.1_80 # 84160 # 85002 # -1 # ID=56_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:15 2026
# [ok]
