#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:950570-951538|-   -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_011149.1_869 # 950570 # 951538 # -1 # ID=1_869;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.548
NC_011149.1:646546-648111|+   -            522 58708at91347         -            281     3e-55  185.4   0.6   1   1   2.4e-57   1.1e-54  183.6   0.6     4   278   214   515   211   518 0.85 NC_011149.1_586 # 646546 # 648111 # 1 # ID=1_586;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:3685861-3687213|+ -            451 58708at91347         -            281   1.1e-07   29.4   2.3   1   2      0.89     4e+02   -2.0   0.2     2    42     4    44     3    49 0.82 NC_011149.1_3455 # 3685861 # 3687213 # 1 # ID=1_3455;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.555
NC_011149.1:3685861-3687213|+ -            451 58708at91347         -            281   1.1e-07   29.4   2.3   2   2   4.9e-10   2.2e-07   28.4   0.1    69   254   106   306    73   319 0.71 NC_011149.1_3455 # 3685861 # 3687213 # 1 # ID=1_3455;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.555
NC_011149.1:184309-185733|+   -            475 58708at91347         -            281   1.2e-07   29.2   3.3   1   2     5e-06    0.0022   15.2   0.1     2    36     6    40     5    53 0.86 NC_011149.1_157 # 184309 # 185733 # 1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011149.1:184309-185733|+   -            475 58708at91347         -            281   1.2e-07   29.2   3.3   2   2   1.5e-05    0.0066   13.7   0.7   137   254   178   316   173   325 0.64 NC_011149.1_157 # 184309 # 185733 # 1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011149.1:3416204-3417622|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   1   3    0.0019      0.86    6.7   0.0     3    40   147   185   145   190 0.81 NC_011149.1_3193 # 3416204 # 3417622 # 1 # ID=1_3193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.565
NC_011149.1:3416204-3417622|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   2   3     0.099        45    1.1   0.0   134   149   287   302   281   324 0.72 NC_011149.1_3193 # 3416204 # 3417622 # 1 # ID=1_3193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.565
NC_011149.1:3416204-3417622|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   3   3   0.00095      0.43    7.7   0.0   205   278   393   470   380   472 0.70 NC_011149.1_3193 # 3416204 # 3417622 # 1 # ID=1_3193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.565
NC_011149.1:1966587-1967705|+ -            373 58708at91347         -            281    0.0022   15.3   0.1   1   1   8.3e-06    0.0038   14.5   0.1     3    31     3    31     1    44 0.86 NC_011149.1_1847 # 1966587 # 1967705 # 1 # ID=1_1847;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NC_011149.1:3309185-3311203|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   1   3       3.2   1.4e+03   -3.8   0.0    17    56    41    84    37   104 0.54 NC_011149.1_3087 # 3309185 # 3311203 # 1 # ID=1_3087;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
