#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	339288	339425	-	AJBGEP_00310	5.9	8.2		SO:0001217, UniParc:UPI0005D79AF1, UniRef:UniRef100_A0A8D5IF77, UniRef:UniRef50_A0A8D5IF77, UniRef:UniRef90_A0A8D5IF77
contig_1	341030	341188	+	AJBGEP_00315	6.0	9.2		SO:0001217, UniParc:UPI00017A8B92, UniRef:UniRef100_A0A8D4YI65, UniRef:UniRef50_A0A379NPS0, UniRef:UniRef90_A0A379VW97
contig_1	570227	570331	+	AJBGEP_00531	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_1	615283	615441	+	AJBGEP_00579	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_1	808472	808597	+	AJBGEP_00764	4.6	9.0		SO:0001217, UniParc:UPI00016A216E, UniRef:UniRef100_A0A455RYG7, UniRef:UniRef50_A0A0N1QZN9, UniRef:UniRef90_A0A0N1QZN9
contig_1	1232358	1232582	+	AJBGEP_01188	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A724S397, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_1	1302108	1302326	+	AJBGEP_01274	7.9	6.9		RefSeq:WP_000690097.1, SO:0001217, UniParc:UPI00016C013A, UniRef:UniRef100_A0A3Y1DC41, UniRef:UniRef50_A0A5U3I4D7, UniRef:UniRef90_A0A5U3I4D7
contig_1	1304083	1304181	+	AJBGEP_01278	3.9	8.3		
contig_1	1312760	1312939	+	AJBGEP_01288	6.9	5.4		
contig_1	1321447	1322052	-	AJBGEP_01300	22.8	11.8		SO:0001217, UniParc:UPI0001BD0EB3, UniRef:UniRef100_A0A455S1S3, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_1	1337639	1337842	-	AJBGEP_01315	7.9	9.2		RefSeq:WP_000787622.1, SO:0001217, UniParc:UPI00016A06A0, UniRef:UniRef100_A0A719CTS5, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A4Z8YTD0
contig_1	1398234	1398449	+	AJBGEP_01385	8.5	8.5		SO:0001217, UniParc:UPI000169EDA3, UniRef:UniRef100_A0A3U8IRP6, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_1	1421467	1421595	-	AJBGEP_01410	5.1	6.7		SO:0001217, UniParc:UPI0001604056, UniRef:UniRef100_A0A8D5DVH7, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_1	1625009	1625161	-	AJBGEP_01623	5.9	9.7		SO:0001217, UniParc:UPI000169E9A2, UniRef:UniRef100_A0A455SD02, UniRef:UniRef50_B5F5Z7, UniRef:UniRef90_A0A6C8GNM8
contig_1	1639903	1640112	-	AJBGEP_01640	7.5	8.8		SO:0001217, UniParc:UPI00017C102B, UniRef:UniRef100_A0A8D4ZJ46, UniRef:UniRef50_A0A5Y3XFJ2, UniRef:UniRef90_A0A5U9UAM4
contig_1	1738404	1738499	-	AJBGEP_01725	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
