#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:284293-287148|- -            952 854at91347           -            818         0 1434.6   0.0   1   1         0         0 1433.8   0.0     1   814     1   932     1   935 0.91 NZ_ABEH02000001.1_250 # 284293 # 287148 # -1 # ID=19_250;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.567
NZ_ABEH02000009.1:178838-181420|- -            861 854at91347           -            818   3.4e-39  132.4   0.8   1   5   4.7e-24   4.9e-21   72.4   0.1     1   179     1   169     1   177 0.82 NZ_ABEH02000009.1_175 # 178838 # 181420 # -1 # ID=11_175;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NZ_ABEH02000009.1:178838-181420|- -            861 854at91347           -            818   3.4e-39  132.4   0.8   2   5   0.00078      0.82    5.5   0.1   153   224   197   266   184   303 0.73 NZ_ABEH02000009.1_175 # 178838 # 181420 # -1 # ID=11_175;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NZ_ABEH02000009.1:178838-181420|- -            861 854at91347           -            818   3.4e-39  132.4   0.8   3   5     2e-08   2.1e-05   20.7   0.0   231   284   306   359   287   374 0.87 NZ_ABEH02000009.1_175 # 178838 # 181420 # -1 # ID=11_175;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NZ_ABEH02000009.1:178838-181420|- -            861 854at91347           -            818   3.4e-39  132.4   0.8   4   5   0.00035      0.37    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABEH02000009.1_175 # 178838 # 181420 # -1 # ID=11_175;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NZ_ABEH02000009.1:178838-181420|- -            861 854at91347           -            818   3.4e-39  132.4   0.8   5   5   1.7e-07   0.00018   17.6   0.0   483   700   548   776   479   808 0.63 NZ_ABEH02000009.1_175 # 178838 # 181420 # -1 # ID=11_175;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NZ_ABEH02000001.1:447215-450049|+ -            945 854at91347           -            818   1.4e-38  130.4   0.0   1   4     4e-15   4.2e-12   42.8   0.0    25   187    45   206    32   283 0.91 NZ_ABEH02000001.1_407 # 447215 # 450049 # 1 # ID=19_407;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000001.1:447215-450049|+ -            945 854at91347           -            818   1.4e-38  130.4   0.0   2   4   6.4e-15   6.7e-12   42.2   0.0   236   434   308   510   304   514 0.78 NZ_ABEH02000001.1_407 # 447215 # 450049 # 1 # ID=19_407;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000001.1:447215-450049|+ -            945 854at91347           -            818   1.4e-38  130.4   0.0   3   4   3.6e-10   3.8e-07   26.4   0.1   419   529   521   623   507   661 0.79 NZ_ABEH02000001.1_407 # 447215 # 450049 # 1 # ID=19_407;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000001.1:447215-450049|+ -            945 854at91347           -            818   1.4e-38  130.4   0.0   4   4   2.3e-06    0.0024   13.9   0.1   610   698   679   778   621   782 0.80 NZ_ABEH02000001.1_407 # 447215 # 450049 # 1 # ID=19_407;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000005.1:177808-179841|+ -            678 854at91347           -            818    0.0004   16.4   0.2   1   3   3.8e-07    0.0004   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABEH02000005.1_166 # 177808 # 179841 # 1 # ID=15_166;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
NZ_ABEH02000005.1:177808-179841|+ -            678 854at91347           -            818    0.0004   16.4   0.2   2   3     0.095     1e+02   -1.4   0.2   373   412   214   264   210   329 0.56 NZ_ABEH02000005.1_166 # 177808 # 179841 # 1 # ID=15_166;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
NZ_ABEH02000005.1:177808-179841|+ -            678 854at91347           -            818    0.0004   16.4   0.2   3   3      0.11   1.1e+02   -1.6   0.0   498   520   322   343   313   358 0.79 NZ_ABEH02000005.1_166 # 177808 # 179841 # 1 # ID=15_166;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
