# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	tRNA	240	315	+	BENMGJ_00001	85.1	-	-	-	-	-
contig_4	cds	265	1023	-	BENMGJ_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CPU3
contig_5	cds	58	300	+	BENMGJ_00003	162.0	8.3e-51	1.0	1.0	0.975	UniRef:UniRef90_A0A379SAH6
contig_5	cds	306	1169	-	BENMGJ_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZKW8
contig_6	cds	899	1534	-	BENMGJ_00005	-	-	-	-	-	-
contig_7	cds	159	635	+	BENMGJ_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O68926
contig_7	cds	632	1099	-	BENMGJ_00007	325.0	1.0e-116	1.0	1.0	0.994	BlastRules:WP_000495848
contig_7	cds	1479	1790	+	BENMGJ_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A8AQM1
contig_8	cds	190	1218	+	BENMGJ_00009	-	-	-	-	-	-
contig_8	cds	1084	1617	-	BENMGJ_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CPE5
contig_8	cds	1632	2015	-	BENMGJ_00011	177.0	4.9e-55	1.0	0.876	0.992	UniRef:UniRef90_G5LVV3
contig_9	cds	153	536	+	BENMGJ_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2D3
contig_9	cds	538	1083	+	BENMGJ_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AA02
contig_9	cds	1241	1669	+	BENMGJ_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7J7
contig_9	cds	1673	2377	+	BENMGJ_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2A3
contig_10	cds	218	1246	+	BENMGJ_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37417
contig_10	cds	1243	2205	+	BENMGJ_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5V7P8V5
contig_10	cds	2240	3166	-	BENMGJ_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q9L9K3
contig_10	tRNA	3592	3667	+	BENMGJ_00019	81.3	-	-	-	-	-
contig_11	cds	183	4211	-	BENMGJ_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A9MHF1
contig_12	cds	180	914	-	BENMGJ_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2C9
contig_12	cds	927	1856	-	BENMGJ_00022	593.0	2.2e-217	1.0	1.0	1.0	BlastRules:WP_000191343
contig_12	cds	1872	2825	-	BENMGJ_00023	591.0	2.4e-216	1.0	1.0	0.950	BlastRules:WP_000288132
contig_12	cds	2905	3954	-	BENMGJ_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B4TFG7
contig_12	cds	4118	4291	-	BENMGJ_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7N4
contig_12	cds	4343	4864	-	BENMGJ_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1T2
contig_13	cds	62	592	+	BENMGJ_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C6Z924
contig_13	cds	592	1248	+	BENMGJ_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5U4JQ35
contig_13	cds	1291	2037	+	BENMGJ_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C6ZKF5
contig_13	cds	2073	2246	+	BENMGJ_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7D8EPP3
contig_13	cds	2243	2722	+	BENMGJ_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8XG35
contig_13	cds	2719	4650	+	BENMGJ_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3R1DA18
contig_13	cds	4647	5204	+	BENMGJ_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A630QEF3
contig_14	cds	757	1083	+	BENMGJ_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A719E7H5
contig_14	cds	1279	2733	+	BENMGJ_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZNS0
contig_14	cds	3254	3427	-	BENMGJ_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8F8VV63
contig_14	cds	3637	5367	-	BENMGJ_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z7YFN8
