#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000001.3:122170-123318|+ -            383 58562at91347         -            328  1.1e-175  581.3   0.2   1   1  1.9e-177  1.4e-174  577.6   0.2     1   328     1   374     1   374 0.93 NZ_ABAO01000001.3_111 # 122170 # 123318 # 1 # ID=113_111;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABAO01000042.1:17490-18053|-   -            188 58562at91347         -            328   8.2e-15   52.6   0.0   1   1   1.2e-17     9e-15   52.4   0.0   186   323    39   183    13   187 0.84 NZ_ABAO01000042.1_22 # 17490 # 18053 # -1 # ID=72_22;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABAO01000009.1:90363-91940|-   -            526 58562at91347         -            328   1.3e-07   28.8   0.0   1   2   5.6e-10   4.4e-07   27.2   0.0   152   240     7    99     2   111 0.75 NZ_ABAO01000009.1_89 # 90363 # 91940 # -1 # ID=105_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABAO01000009.1:90363-91940|-   -            526 58562at91347         -            328   1.3e-07   28.8   0.0   2   2      0.35   2.7e+02   -1.7   0.0   296   325   170   198   161   201 0.74 NZ_ABAO01000009.1_89 # 90363 # 91940 # -1 # ID=105_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABAO01000044.1:2850-4445|+     -            532 58562at91347         -            328   2.4e-07   28.0   0.1   1   1   6.7e-10   5.3e-07   26.9   0.1   181   319    36   182    19   188 0.72 NZ_ABAO01000044.1_4 # 2850 # 4445 # 1 # ID=70_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573
NZ_ABAO01000025.1:821-2458|-      -            546 58562at91347         -            328   4.8e-05   20.5   0.0   1   2   0.00023      0.18    8.7   0.0   205   235   357   387   331   403 0.74 NZ_ABAO01000025.1_2 # 821 # 2458 # -1 # ID=89_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.524
NZ_ABAO01000025.1:821-2458|-      -            546 58562at91347         -            328   4.8e-05   20.5   0.0   2   2   0.00013       0.1    9.5   0.0   278   326   485   534   461   536 0.87 NZ_ABAO01000025.1_2 # 821 # 2458 # -1 # ID=89_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.524
NZ_ABAO01000005.1:57847-58437|+   -            197 58562at91347         -            328    0.0016   15.5   0.1   1   2   7.9e-06    0.0062   13.5   0.0   154   234     2    84     1    93 0.71 NZ_ABAO01000005.1_61 # 57847 # 58437 # 1 # ID=109_61;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
NZ_ABAO01000005.1:57847-58437|+   -            197 58562at91347         -            328    0.0016   15.5   0.1   2   2      0.13     1e+02   -0.3   0.0   298   325   169   194   164   196 0.66 NZ_ABAO01000005.1_61 # 57847 # 58437 # 1 # ID=109_61;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58562at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58562at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58562at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:37 2026
# [ok]
