#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000001.3:193690-195006|+ -            439 38133at91347         -            376    6e-180  596.2   0.0   1   1  1.5e-182  8.9e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABAO01000001.3_170 # 193690 # 195006 # 1 # ID=113_170;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABAO01000001.3:191253-192611|+ -            453 38133at91347         -            376   1.7e-13   48.4   0.4   1   2   6.2e-09   3.7e-06   24.3   0.0    90   197   100   223    84   237 0.76 NZ_ABAO01000001.3_168 # 191253 # 192611 # 1 # ID=113_168;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAO01000001.3:191253-192611|+ -            453 38133at91347         -            376   1.7e-13   48.4   0.4   2   2   2.6e-08   1.5e-05   22.3   0.1   196   292   249   350   235   366 0.76 NZ_ABAO01000001.3_168 # 191253 # 192611 # 1 # ID=113_168;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAO01000001.3:197433-198908|+ -            492 38133at91347         -            376     3e-12   44.3   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    52   181    73   215    18   238 0.72 NZ_ABAO01000001.3_173 # 197433 # 198908 # 1 # ID=113_173;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAO01000001.3:197433-198908|+ -            492 38133at91347         -            376     3e-12   44.3   0.0   2   2   1.5e-05    0.0089   13.1   0.0   224   264   290   330   260   337 0.91 NZ_ABAO01000001.3_173 # 197433 # 198908 # 1 # ID=113_173;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAO01000001.3:189769-191256|+ -            496 38133at91347         -            376   5.5e-10   36.9   1.7   1   3   8.5e-07    0.0005   17.3   0.2    88   130   107   149   102   153 0.92 NZ_ABAO01000001.3_167 # 189769 # 191256 # 1 # ID=113_167;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAO01000001.3:189769-191256|+ -            496 38133at91347         -            376   5.5e-10   36.9   1.7   2   3   4.9e-07   0.00029   18.1   0.0   138   198   182   246   157   262 0.83 NZ_ABAO01000001.3_167 # 189769 # 191256 # 1 # ID=113_167;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAO01000001.3:189769-191256|+ -            496 38133at91347         -            376   5.5e-10   36.9   1.7   3   3      0.79   4.6e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NZ_ABAO01000001.3_167 # 189769 # 191256 # 1 # ID=113_167;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAO01000006.1:25141-26520|+   -            460 38133at91347         -            376   0.00012   19.2   0.0   1   2     0.018        11    3.0   0.0    91   120   104   133    95   192 0.83 NZ_ABAO01000006.1_23 # 25141 # 26520 # 1 # ID=108_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAO01000006.1:25141-26520|+   -            460 38133at91347         -            376   0.00012   19.2   0.0   2   2     1e-05    0.0061   13.7   0.0   212   288   265   346   247   356 0.86 NZ_ABAO01000006.1_23 # 25141 # 26520 # 1 # ID=108_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAO01000041.1:27654-29072|+   -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05      0.02   12.0   0.0     5    38   145   178   142   186 0.91 NZ_ABAO01000041.1_30 # 27654 # 29072 # 1 # ID=73_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NZ_ABAO01000041.1:27654-29072|+   -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.6    5.0   0.0     4    32   285   313   282   332 0.82 NZ_ABAO01000041.1_30 # 27654 # 29072 # 1 # ID=73_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NZ_ABAO01000009.1:57173-59134|-   -            654 38133at91347         -            376    0.0029   14.7   0.0   1   2   4.6e-05     0.027   11.6   0.0     5    38   326   359   322   367 0.91 NZ_ABAO01000009.1_61 # 57173 # 59134 # -1 # ID=105_61;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000009.1:57173-59134|-   -            654 38133at91347         -            376    0.0029   14.7   0.0   2   2     0.088        52    0.8   0.0     5    31   467   493   463   512 0.81 NZ_ABAO01000009.1_61 # 57173 # 59134 # -1 # ID=105_61;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000020.1:20269-21537|-   -            423 38133at91347         -            376     0.017   12.2   0.0   1   3   0.00086       0.5    7.4   0.0    91   121    50    80    23    85 0.81 NZ_ABAO01000020.1_21 # 20269 # 21537 # -1 # ID=94_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000020.1:20269-21537|-   -            423 38133at91347         -            376     0.017   12.2   0.0   2   3     0.037        22    2.0   0.0   133   171   140   179   131   208 0.81 NZ_ABAO01000020.1_21 # 20269 # 21537 # -1 # ID=94_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000020.1:20269-21537|-   -            423 38133at91347         -            376     0.017   12.2   0.0   3   3       1.9   1.1e+03   -3.6   0.0   227   265   257   293   252   296 0.59 NZ_ABAO01000020.1_21 # 20269 # 21537 # -1 # ID=94_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/38133at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/38133at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/38133at91347.hmm reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:12 2026
# [ok]
