gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
PKJKAM_00001	contig_1	249	617	+	PKJKAM_00001	1	cloud	0	0	0
PKJKAM_00002	contig_2	256	774	+	PKJKAM_00002	1	cloud	0	0	0
PKJKAM_00004	contig_4	29	424	+	LNHIMF_01224	1	persistent	4	0	0
PKJKAM_00005	contig_4	496	720	-	LNHIMF_01223	1	persistent	2	0	0
PKJKAM_00009	contig_7	460	855	-	PKJKAM_00009	1	cloud	0	0	0
PKJKAM_00015	contig_11	526	879	+	BEJGEH_01963	1	shell	0	2	0
PKJKAM_00016	contig_11	813	1214	-	LNHIMF_00819	4	shell	12	3	3
PKJKAM_00017	contig_12	343	780	-	LNHIMF_04228	2	persistent	3	0	0
PKJKAM_00018	contig_13	916	1089	-	GEGEGB_01830	1	persistent	2	0	0
PKJKAM_00021	contig_16	159	629	+	LNHIMF_01155	2	persistent	3	0	0
PKJKAM_00022	contig_16	876	1220	-	LNHIMF_01135	2	persistent	3	0	0
PKJKAM_00023	contig_16	1222	1485	-	BEJGEH_01005	2	persistent	2	0	0
PKJKAM_00025	contig_18	255	779	-	GEGEGB_03161	2	persistent	2	1	1
PKJKAM_00026	contig_18	1198	1452	+	IKCLMC_04303	2	cloud	2	0	1
PKJKAM_00027	contig_19	131	676	-	GEGEGB_03668	1	persistent	1	1	0
PKJKAM_00028	contig_19	678	1061	-	GEGEGB_03669	1	shell	1	1	0
PKJKAM_00029	contig_19	1291	2022	-	GEGEGB_03670	2	shell	2	2	0
PKJKAM_00030	contig_20	62	814	-	PKJKAM_00030	1	cloud	0	0	1
PKJKAM_00032	contig_20	1048	1686	+	GEGEGB_04614	2	cloud	0	0	3
PKJKAM_00033	contig_20	1713	1934	+	GEGEGB_04614	2	cloud	0	0	3
PKJKAM_00034	contig_20	2515	2943	-	GEGEGB_04617	1	cloud	2	0	3
PKJKAM_00035	contig_21	149	583	-	PKJKAM_00035	1	cloud	0	1	0
PKJKAM_00036	contig_21	951	1271	+	GEGEGB_02026	1	shell	0	1	10
PKJKAM_00037	contig_21	1362	2339	+	GEGEGB_02025	1	shell	0	2	0
PKJKAM_00038	contig_21	2342	3091	+	GEGEGB_02024	1	shell	0	2	0
PKJKAM_00040	contig_22	705	1412	-	GEGEGB_03190	1	persistent	1	1	4
PKJKAM_00041	contig_22	1837	3972	+	LNHIMF_03159	1	persistent	2	0	2
PKJKAM_00042	contig_22	4034	4300	-	GEGEGB_03187	1	persistent	3	0	1
PKJKAM_00043	contig_23	662	1108	-	PKJKAM_00043	2	cloud	0	0	3
PKJKAM_00044	contig_23	1280	3139	+	PKJKAM_00044	1	cloud	0	0	2
