#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000021.1:3-308|+         -            102 34836at91347         -            291   3.4e-55  185.3   4.8   1   1   9.2e-58   3.7e-55  185.1   4.8   200   291     1    96     1    96 0.98 NZ_ABFG01000021.1_1 # 3 # 308 # 1 # ID=30_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NZ_ABFG01000012.1:3-332|-         -            110 34836at91347         -            291   2.5e-25   87.2   1.2   1   2   1.4e-12   5.8e-10   36.8   0.0     1    37     1    38     1    49 0.89 NZ_ABFG01000012.1_1 # 3 # 332 # -1 # ID=39_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.500
NZ_ABFG01000012.1:3-332|-         -            110 34836at91347         -            291   2.5e-25   87.2   1.2   2   2   1.5e-16   6.1e-14   49.9   0.2    34    77    54   102    49   110 0.88 NZ_ABFG01000012.1_1 # 3 # 332 # -1 # ID=39_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.500
NZ_ABFG01000021.1:873-1661|+      -            263 34836at91347         -            291   4.9e-13   46.9  11.6   1   1   1.9e-15   7.6e-13   46.3  11.6    81   254     9   181     4   192 0.90 NZ_ABFG01000021.1_3 # 873 # 1661 # 1 # ID=30_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABFG01000008.1:281815-283185|+ -            457 34836at91347         -            291   4.7e-07   27.2  10.8   1   1   6.2e-09   2.5e-06   24.9  10.8    77   214   271   427   264   434 0.70 NZ_ABFG01000008.1_251 # 281815 # 283185 # 1 # ID=43_251;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABFG01000001.1:631853-632833|- -            327 34836at91347         -            291   2.6e-05   21.5   6.2   1   2   3.3e-05     0.013   12.6   0.2    74   132    68   127    61   166 0.83 NZ_ABFG01000001.1_615 # 631853 # 632833 # -1 # ID=50_615;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000001.1:631853-632833|- -            327 34836at91347         -            291   2.6e-05   21.5   6.2   2   2   0.00013     0.054   10.6   2.0   181   250   231   295   159   311 0.64 NZ_ABFG01000001.1_615 # 631853 # 632833 # -1 # ID=50_615;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000001.1:124085-124573|+ -            163 34836at91347         -            291   3.7e-05   21.0  11.8   1   2   7.9e-07   0.00032   17.9   3.2    57   137    47   141    22   144 0.71 NZ_ABFG01000001.1_110 # 124085 # 124573 # 1 # ID=50_110;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFG01000001.1:124085-124573|+ -            163 34836at91347         -            291   3.7e-05   21.0  11.8   2   2   7.4e-06     0.003   14.8   1.4   180   234    88   143    86   159 0.78 NZ_ABFG01000001.1_110 # 124085 # 124573 # 1 # ID=50_110;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFG01000001.1:154366-154980|+ -            205 34836at91347         -            291   7.1e-05   20.1   1.9   1   2    0.0055       2.3    5.3   0.0    21   139    11   123     4   136 0.59 NZ_ABFG01000001.1_138 # 154366 # 154980 # 1 # ID=50_138;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.332
NZ_ABFG01000001.1:154366-154980|+ -            205 34836at91347         -            291   7.1e-05   20.1   1.9   2   2   2.4e-05    0.0097   13.1   0.9   218   267   150   199   145   204 0.76 NZ_ABFG01000001.1_138 # 154366 # 154980 # 1 # ID=50_138;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.332
