#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000024.1:30441-31484|-   -            348 29906at91347         -            311  1.1e-196  650.0   5.7   1   1  1.8e-199  1.4e-196  649.7   5.7     1   311     1   337     1   337 0.97 NZ_ABEL01000024.1_30 # 30441 # 31484 # -1 # ID=25_30;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.562
NZ_ABEL01000007.1:144720-146570|- -            617 29906at91347         -            311   1.1e-12   45.6   1.7   1   2   9.5e-13     7e-10   36.5   0.2   105   217   151   266    20   276 0.87 NZ_ABEL01000007.1_118 # 144720 # 146570 # -1 # ID=42_118;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEL01000007.1:144720-146570|- -            617 29906at91347         -            311   1.1e-12   45.6   1.7   2   2    0.0018       1.3    6.0   0.1   202   270   502   570   491   577 0.83 NZ_ABEL01000007.1_118 # 144720 # 146570 # -1 # ID=42_118;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEL01000001.1:467387-469066|- -            560 29906at91347         -            311   1.1e-10   39.1   0.0   1   2     0.069        51    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABEL01000001.1_461 # 467387 # 469066 # -1 # ID=48_461;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEL01000001.1:467387-469066|- -            560 29906at91347         -            311   1.1e-10   39.1   0.0   2   2   1.9e-12   1.4e-09   35.5   0.0   101   177   112   188   104   222 0.83 NZ_ABEL01000001.1_461 # 467387 # 469066 # -1 # ID=48_461;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEL01000014.1:32641-34557|-   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.2e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABEL01000014.1_32 # 32641 # 34557 # -1 # ID=35_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEL01000014.1:32641-34557|-   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.2e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABEL01000014.1_32 # 32641 # 34557 # -1 # ID=35_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEL01000004.1:118159-119511|+ -            451 29906at91347         -            311   2.1e-05   21.7   0.0   1   2   8.4e-08   6.2e-05   20.2   0.0   122   172   176   226   119   261 0.82 NZ_ABEL01000004.1_112 # 118159 # 119511 # 1 # ID=45_112;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEL01000004.1:118159-119511|+ -            451 29906at91347         -            311   2.1e-05   21.7   0.0   2   2      0.46   3.4e+02   -1.9   0.0   242   261   377   396   362   440 0.67 NZ_ABEL01000004.1_112 # 118159 # 119511 # 1 # ID=45_112;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEL01000007.1:39618-40457|-   -            280 29906at91347         -            311   0.00023   18.3   0.0   1   1   4.8e-07   0.00035   17.7   0.0   126   190   114   173    58   183 0.71 NZ_ABEL01000007.1_43 # 39618 # 40457 # -1 # ID=42_43;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.611
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171315.1_ASM17131v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/data/00-reads/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:57 2026
# [ok]
