#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:140579-141937|+   -            453 58706at91347         -            371  5.1e-164  543.5   1.9   1   1  1.5e-165  1.4e-162  538.8   1.9    12   371    25   443     1   443 0.90 NC_011205.1_121 # 140579 # 141937 # 1 # ID=1_121;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_011205.1:143016-144332|+   -            439 58706at91347         -            371   2.7e-15   54.2   0.5   1   2   1.2e-10   1.1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:143016-144332|+   -            439 58706at91347         -            371   2.7e-15   54.2   0.5   2   2   6.9e-09   6.4e-06   23.3   0.1   215   293   262   343   254   351 0.83 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:139095-140582|+   -            496 58706at91347         -            371   2.6e-07   27.9   1.1   1   2   9.8e-06    0.0092   12.9   0.7    14   192    25   243    21   258 0.64 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:139095-140582|+   -            496 58706at91347         -            371   2.6e-07   27.9   1.1   2   2     9e-05     0.084    9.7   0.0   213   258   299   344   294   348 0.93 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:146759-148234|+   -            492 58706at91347         -            371   5.2e-06   23.6   0.0   1   2   0.00036      0.33    7.8   0.0    79   166   121   203    69   224 0.72 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:146759-148234|+   -            492 58706at91347         -            371   5.2e-06   23.6   0.0   2   2   7.1e-06    0.0066   13.4   0.0   212   256   283   327   275   331 0.90 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:4672048-4673421|+ -            458 58706at91347         -            371    0.0022   14.9   1.1   1   2    0.0012       1.1    6.1   0.1    79   104   105   130    92   214 0.70 NC_011205.1_4418 # 4672048 # 4673421 # 1 # ID=1_4418;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
NC_011205.1:4672048-4673421|+ -            458 58706at91347         -            371    0.0022   14.9   1.1   2   2    0.0012       1.2    6.0   0.1   213   257   271   315   267   318 0.87 NC_011205.1_4418 # 4672048 # 4673421 # 1 # ID=1_4418;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:18 2026
# [ok]
