#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:3968867-3970270|+ -            468 52476at91347         -            371  4.2e-171  566.8   0.0   1   1  9.3e-171  5.3e-168  556.6   0.0     1   371    18   467    18   467 0.88 NC_011149.1_3705 # 3968867 # 3970270 # 1 # ID=1_3705;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.588
NC_011149.1:2611872-2613344|- -            491 52476at91347         -            371   3.1e-36  123.0   0.2   1   2   2.8e-18   1.6e-15   54.9   0.0   187   273     5    92     2    98 0.94 NC_011149.1_2432 # 2611872 # 2613344 # -1 # ID=1_2432;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:2611872-2613344|- -            491 52476at91347         -            371   3.1e-36  123.0   0.2   2   2   1.4e-21   7.6e-19   65.8   0.2   185   273   203   295   199   300 0.94 NC_011149.1_2432 # 2611872 # 2613344 # -1 # ID=1_2432;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:2685679-2686584|- -            302 52476at91347         -            371   2.3e-12   44.5   0.1   1   1     6e-15   3.4e-12   43.9   0.1   187   308    11   139     8   174 0.81 NC_011149.1_2496 # 2685679 # 2686584 # -1 # ID=1_2496;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
NC_011149.1:4537621-4538901|+ -            427 52476at91347         -            371   8.4e-06   22.9   0.3   1   2     6e-08   3.4e-05   20.9   0.1   176   281   189   295   172   305 0.79 NC_011149.1_4201 # 4537621 # 4538901 # 1 # ID=1_4201;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NC_011149.1:4537621-4538901|+ -            427 52476at91347         -            371   8.4e-06   22.9   0.3   2   2     0.038        21    1.8   0.1   256   289   291   326   289   358 0.78 NC_011149.1_4201 # 4537621 # 4538901 # 1 # ID=1_4201;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NC_011149.1:4128812-4129444|- -            211 52476at91347         -            371   0.00014   18.9   0.0   1   2   6.3e-07   0.00035   17.5   0.0   184   219    26    62     3    77 0.77 NC_011149.1_3846 # 4128812 # 4129444 # -1 # ID=1_3846;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:4128812-4129444|- -            211 52476at91347         -            371   0.00014   18.9   0.0   2   2      0.47   2.6e+02   -1.8   0.0   284   306   173   194   145   199 0.75 NC_011149.1_3846 # 4128812 # 4129444 # -1 # ID=1_3846;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:4526420-4527472|- -            351 52476at91347         -            371    0.0064   13.4   0.1   1   1   2.4e-05     0.014   12.3   0.1   188   214   211   237   168   247 0.88 NC_011149.1_4191 # 4526420 # 4527472 # -1 # ID=1_4191;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.533
NC_011149.1:1319915-1321006|- -            364 52476at91347         -            371    0.0064   13.4   0.2   1   1   2.4e-05     0.013   12.3   0.2   184   207     2    25     1   139 0.82 NC_011149.1_1221 # 1319915 # 1321006 # -1 # ID=1_1221;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.530
NC_011149.1:3581986-3584304|+ -            773 52476at91347         -            371      0.04   10.8   0.0   1   1    0.0001     0.058   10.3   0.0   186   241     5    59     1   101 0.75 NC_011149.1_3366 # 3581986 # 3584304 # 1 # ID=1_3366;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.564
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm
# Target file:     reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/52476at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:23:27 2026
# [ok]
