#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000006.1:10904-12391|-   -            496 30417at91347         -            419  4.3e-193  639.8   0.0   1   1  1.6e-195  1.2e-192  638.4   0.0     1   418     3   492     3   493 0.90 NZ_ABFG01000006.1_11 # 10904 # 12391 # -1 # ID=45_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABFG01000006.1:7154-8470|-     -            439 30417at91347         -            419   1.9e-11   41.4   4.3   1   1   5.2e-13   3.9e-10   37.1   4.3    81   284   106   306    97   353 0.75 NZ_ABFG01000006.1_8 # 7154 # 8470 # -1 # ID=45_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABFG01000006.1:9549-10907|-    -            453 30417at91347         -            419   2.1e-11   41.2   0.0   1   1     1e-13   7.8e-11   39.4   0.0    12   298    24   336    21   350 0.74 NZ_ABFG01000006.1_10 # 9549 # 10907 # -1 # ID=45_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABFG01000006.1:3252-4727|-     -            492 30417at91347         -            419   1.2e-05   22.3   0.0   1   3   0.00055      0.41    7.4   0.0    82   100   121   139    81   150 0.69 NZ_ABFG01000006.1_5 # 3252 # 4727 # -1 # ID=45_5;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
NZ_ABFG01000006.1:3252-4727|-     -            492 30417at91347         -            419   1.2e-05   22.3   0.0   2   3   3.8e-05     0.029   11.2   0.0   159   210   185   241   179   250 0.79 NZ_ABFG01000006.1_5 # 3252 # 4727 # -1 # ID=45_5;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
NZ_ABFG01000006.1:3252-4727|-     -            492 30417at91347         -            419   1.2e-05   22.3   0.0   3   3      0.17   1.2e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NZ_ABFG01000006.1_5 # 3252 # 4727 # -1 # ID=45_5;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
NZ_ABFG01000004.1:256672-257940|+ -            423 30417at91347         -            419   0.00057   16.8   0.0   1   2     0.019        14    2.3   0.0    82   100    51    69    32    83 0.75 NZ_ABFG01000004.1_228 # 256672 # 257940 # 1 # ID=47_228;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABFG01000004.1:256672-257940|+ -            423 30417at91347         -            419   0.00057   16.8   0.0   2   2   4.4e-05     0.033   11.0   0.0   274   366   285   375   117   415 0.66 NZ_ABFG01000004.1_228 # 256672 # 257940 # 1 # ID=47_228;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABFG01000006.1:341398-342777|- -            460 30417at91347         -            419    0.0014   15.5   0.1   1   3    0.0074       5.5    3.7   0.1    82   104   105   127   100   152 0.77 NZ_ABFG01000006.1_304 # 341398 # 342777 # -1 # ID=45_304;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFG01000006.1:341398-342777|- -            460 30417at91347         -            419    0.0014   15.5   0.1   2   3       1.1   8.5e+02   -3.6   0.0   165   186   182   203   172   226 0.78 NZ_ABFG01000006.1_304 # 341398 # 342777 # -1 # ID=45_304;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFG01000006.1:341398-342777|- -            460 30417at91347         -            419    0.0014   15.5   0.1   3   3   0.00013     0.099    9.4   0.0   227   311   264   348   236   363 0.78 NZ_ABFG01000006.1_304 # 341398 # 342777 # -1 # ID=45_304;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.590
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/30417at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:35 2026
# [ok]
