"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"GEGEGB_03980","cloud","Transposase","1","1","1.0","NA","NA","","","","335","335","335.0","GEGEGB_03980","","","","","","","","","","","",""
"GEGEGB_03982","cloud","DUF4942 domain-containing protein","2","2","1.0","NA","NA","","","","233","332","282.5","GEGEGB_03982","","","","","","","ALJMDI_02304","","","","",""
"GEGEGB_03984","cloud","TIGR02646 family protein","1","1","1.0","NA","NA","","","","596","596","596.0","GEGEGB_03984","","","","","","","","","","","",""
"GEGEGB_03987","persistent","glycoside-pentoside-hexuronide family transporter","13","14","1.08","NA","NA","","","","407","1382","1278.29","GEGEGB_03987","LNHIMF_03801","BEJGEH_03796","HFCAGB_04000" "HFCAGB_03999","AJBGEP_03947","ODDLKH_04205","OEKLIE_02596","ALJMDI_02309","PAPNPA_00997","BENMGJ_03114","IKCLMC_02633","PKJKAM_03611","ONMMKP_03087"
"GEGEGB_03990","persistent","xanthine/proton symporter XanP","13","13","1.0","NA","NA","","","","1391","1391","1391.0","GEGEGB_03990","LNHIMF_03798","BEJGEH_03793","HFCAGB_03996","AJBGEP_03944","ODDLKH_04202","OEKLIE_02593","ALJMDI_02312","PAPNPA_00994","BENMGJ_03111","IKCLMC_02636","PKJKAM_03614","ONMMKP_03090"
"GEGEGB_03991","persistent","sodium/glutamate symporter","13","13","1.0","NA","NA","","","","1205","1205","1205.0","GEGEGB_03991","LNHIMF_03797","BEJGEH_03792","HFCAGB_03995","AJBGEP_03943","ODDLKH_04201","OEKLIE_02592","ALJMDI_02313","PAPNPA_00993","BENMGJ_03110","IKCLMC_02637","PKJKAM_03615","ONMMKP_03091"
"GEGEGB_03992","persistent","ATP-dependent DNA helicase RecG","13","13","1.0","NA","NA","","","","2081","2081","2081.0","GEGEGB_03992","LNHIMF_03796","BEJGEH_03790","HFCAGB_03994","AJBGEP_03941","ODDLKH_04199","OEKLIE_02590","ALJMDI_02314","PAPNPA_00991","BENMGJ_03108","IKCLMC_02638","PKJKAM_03616","ONMMKP_03092"
"GEGEGB_03994","persistent","bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase","13","13","1.0","NA","NA","","","","1964","2111","2099.69","GEGEGB_03994","LNHIMF_03794","BEJGEH_03788","HFCAGB_03992","AJBGEP_03939","ODDLKH_04197","OEKLIE_02588","ALJMDI_02316","PAPNPA_00989","BENMGJ_03106","IKCLMC_02640","PKJKAM_03618","ONMMKP_03094"
"GEGEGB_03995","persistent","guanylate kinase","13","13","1.0","NA","NA","","","","275","275","275.0","GEGEGB_03995","LNHIMF_03793","BEJGEH_03787","HFCAGB_03991","AJBGEP_03938","ODDLKH_04196","OEKLIE_00166","ALJMDI_02317","PAPNPA_00988","BENMGJ_03105","IKCLMC_02641","PKJKAM_03619","ONMMKP_03095"
"GEGEGB_03996","persistent","guanylate kinase","13","13","1.0","NA","NA","","","","623","623","623.0","GEGEGB_03996","LNHIMF_03792","BEJGEH_03786","HFCAGB_03990","AJBGEP_03937","ODDLKH_04195","OEKLIE_00165","ALJMDI_02318","PAPNPA_00987","BENMGJ_03104","IKCLMC_02642","PKJKAM_03620","ONMMKP_03096"
"GEGEGB_04001","persistent","HTH lysR-type domain-containing protein","13","13","1.0","NA","NA","","","","902","902","902.0","GEGEGB_04001","LNHIMF_03788","BEJGEH_03782","HFCAGB_03986","AJBGEP_03933","ODDLKH_04191","OEKLIE_00161","ALJMDI_02322","PAPNPA_00983","BENMGJ_03100","IKCLMC_02646","PKJKAM_03624","ONMMKP_03100"
"GEGEGB_04002","persistent","putative endoribonuclease YicC","13","13","1.0","NA","NA","","","","863","863","863.0","GEGEGB_04002","LNHIMF_03777","BEJGEH_03781","HFCAGB_03985","AJBGEP_03932","ODDLKH_04190","OEKLIE_00160","ALJMDI_02323","PAPNPA_00982","BENMGJ_03099","IKCLMC_02647","PKJKAM_03625","ONMMKP_03101"
"GEGEGB_04003","persistent","ribonuclease PH","13","13","1.0","NA","NA","","","","716","716","716.0","GEGEGB_04003","LNHIMF_03776","BEJGEH_03780","HFCAGB_03984","AJBGEP_03931","ODDLKH_04189","OEKLIE_00159","ALJMDI_02324","PAPNPA_00981","BENMGJ_03098","IKCLMC_02648","PKJKAM_03626","ONMMKP_03102"
"GEGEGB_04006","persistent","dUTP diphosphatase","13","13","1.0","NA","NA","","","","458","458","458.0","GEGEGB_04006","LNHIMF_03773","BEJGEH_03777","HFCAGB_03981","AJBGEP_03928","ODDLKH_04186","OEKLIE_00156","ALJMDI_02327","PAPNPA_00978","BENMGJ_03095","IKCLMC_02651","PKJKAM_03629","ONMMKP_03105"
"GEGEGB_04008","persistent","DNA repair protein RadC","13","13","1.0","NA","NA","","","","353","665","641.0","GEGEGB_04008","LNHIMF_03771","BEJGEH_03775","HFCAGB_03979","AJBGEP_03926","ODDLKH_04184","OEKLIE_00977","ALJMDI_02329","PAPNPA_00976","BENMGJ_03093","IKCLMC_02653","PKJKAM_03631","ONMMKP_03107"
"GEGEGB_04009","persistent","50S ribosomal protein L28","12","12","1.0","NA","NA","","","","236","236","236.0","GEGEGB_04009","LNHIMF_03770","BEJGEH_03774","HFCAGB_03978","AJBGEP_03925","ODDLKH_04183","OEKLIE_00976","ALJMDI_02330","","BENMGJ_03092","IKCLMC_02654","PKJKAM_03632","ONMMKP_03108"
"GEGEGB_04010","persistent","50S ribosomal protein L33","13","13","1.0","NA","NA","","","","167","167","167.0","GEGEGB_04010","LNHIMF_03769","BEJGEH_03773","HFCAGB_03977","AJBGEP_03924","ODDLKH_04182","OEKLIE_00975","ALJMDI_02331","PAPNPA_01811","BENMGJ_03091","IKCLMC_02655","PKJKAM_03633","ONMMKP_03109"
"GEGEGB_04011","persistent","bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase","13","13","1.0","NA","NA","","","","809","809","809.0","GEGEGB_04011","LNHIMF_03768","BEJGEH_03772","HFCAGB_03976","AJBGEP_03923","ODDLKH_04181","OEKLIE_00974","ALJMDI_02332","PAPNPA_01810","BENMGJ_03090","IKCLMC_02656","PKJKAM_03634","ONMMKP_03110"
"GEGEGB_04012","persistent","pantetheine-phosphate adenylyltransferase","13","13","1.0","NA","NA","","","","479","479","479.0","GEGEGB_04012","LNHIMF_03767","BEJGEH_03771","HFCAGB_03975","AJBGEP_03922","ODDLKH_04180","OEKLIE_00973","ALJMDI_02333","PAPNPA_01809","BENMGJ_03089","IKCLMC_02657","PKJKAM_03635","ONMMKP_03111"
"GEGEGB_04017","cloud","Glycosyltransferase family 1 protein","1","1","1.0","NA","NA","","","","383","383","383.0","GEGEGB_04017","","","","","","","","","","","",""
"GEGEGB_04023","persistent","Lipopolysaccharide 1%2C2-N-acetylglucosaminetransferase","13","13","1.0","NA","NA","","","","1145","1145","1145.0","GEGEGB_04023","LNHIMF_03756","BEJGEH_03760","HFCAGB_03963","AJBGEP_03911","ODDLKH_04169","OEKLIE_00962","ALJMDI_02344","PAPNPA_01799","BENMGJ_03078","IKCLMC_02668","PKJKAM_03646","ONMMKP_03122"
"GEGEGB_04025","persistent","lipopolysaccharide heptosyltransferase RfaC","13","13","1.0","NA","NA","","","","953","953","953.0","GEGEGB_04025","LNHIMF_03754","BEJGEH_03758","HFCAGB_03961","AJBGEP_03909","ODDLKH_04167","OEKLIE_00960","ALJMDI_02346","PAPNPA_01797","BENMGJ_03076","IKCLMC_02670","PKJKAM_03648","ONMMKP_03124"
"GEGEGB_04026","persistent","ADP-heptose--LPS heptosyltransferase RfaF","13","13","1.0","NA","NA","","","","1046","1046","1046.0","GEGEGB_04026","LNHIMF_03753","BEJGEH_03757","HFCAGB_03960","AJBGEP_03908","ODDLKH_04166","OEKLIE_00959","ALJMDI_02347","PAPNPA_01796","BENMGJ_03075","IKCLMC_02671","PKJKAM_03649","ONMMKP_03125"
"GEGEGB_04027","persistent","ADP-glyceromanno-heptose 6-epimerase","13","13","1.0","NA","NA","","","","932","932","932.0","GEGEGB_04027","LNHIMF_03752","BEJGEH_03756","HFCAGB_03959","AJBGEP_03907","ODDLKH_04165","OEKLIE_00958","ALJMDI_02348","PAPNPA_01795","BENMGJ_03074","IKCLMC_02672","PKJKAM_03650","ONMMKP_03126"
"GEGEGB_04028","persistent","glycine C-acetyltransferase","13","13","1.0","NA","NA","","","","971","1196","1178.69","GEGEGB_04028","LNHIMF_03751","BEJGEH_03755","HFCAGB_03958","AJBGEP_03906","ODDLKH_04164","OEKLIE_00957","ALJMDI_02349","PAPNPA_01794","BENMGJ_03073","IKCLMC_02673","PKJKAM_03651","ONMMKP_03127"
"GEGEGB_04031","persistent","glycosyltransferase","13","13","1.0","NA","NA","","","","1034","1034","1034.0","GEGEGB_04031","LNHIMF_03748","BEJGEH_03752","HFCAGB_03955","AJBGEP_03903","ODDLKH_04161","OEKLIE_00954","ALJMDI_02352","PAPNPA_01791","BENMGJ_03070","IKCLMC_02676","PKJKAM_03654","ONMMKP_03130"
"GEGEGB_04032","persistent","Divergent polysaccharide deacetylase family protein","13","13","1.0","NA","NA","","","","962","962","962.0","GEGEGB_04032","LNHIMF_03747","BEJGEH_03751","HFCAGB_03954","AJBGEP_03902","ODDLKH_04160","OEKLIE_00953","ALJMDI_02353","PAPNPA_01790","BENMGJ_03069","IKCLMC_02677","PKJKAM_03655","ONMMKP_03131"
"GEGEGB_04033","persistent","murein hydrolase activator EnvC","13","13","1.0","NA","NA","","","","1283","1283","1283.0","GEGEGB_04033","LNHIMF_03746","BEJGEH_03750","HFCAGB_03953","AJBGEP_03901","ODDLKH_04159","OEKLIE_00952","ALJMDI_02354","PAPNPA_01789","BENMGJ_03068","IKCLMC_02678","PKJKAM_03656","ONMMKP_03132"
"GEGEGB_04035","persistent","Rhodanese domain-containing protein","13","13","1.0","NA","NA","","","","431","431","431.0","GEGEGB_04035","LNHIMF_03744","BEJGEH_03748","HFCAGB_03951","AJBGEP_03899","ODDLKH_04157","OEKLIE_00950","ALJMDI_02356","PAPNPA_01787","BENMGJ_03066","IKCLMC_02680","PKJKAM_03658","ONMMKP_03134"
"GEGEGB_04036","persistent","glutaredoxin 3","13","13","1.0","NA","NA","","","","251","251","251.0","GEGEGB_04036","LNHIMF_03743","BEJGEH_03747","HFCAGB_03950","AJBGEP_03898","ODDLKH_04156","OEKLIE_00949","ALJMDI_02357","PAPNPA_01786","BENMGJ_03065","IKCLMC_02681","PKJKAM_03659","ONMMKP_03135"
"GEGEGB_04037","persistent","protein-export chaperone SecB","13","13","1.0","NA","NA","","","","467","467","467.0","GEGEGB_04037","LNHIMF_03742","BEJGEH_03746","HFCAGB_03949","AJBGEP_03897","ODDLKH_04155","OEKLIE_00948","ALJMDI_02358","PAPNPA_01785","BENMGJ_03064","IKCLMC_02682","PKJKAM_03660","ONMMKP_03136"
"GEGEGB_04038","persistent","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase","13","13","1.0","NA","NA","","","","1019","1019","1019.0","GEGEGB_04038","LNHIMF_03741","BEJGEH_03745","HFCAGB_03948","AJBGEP_03896","ODDLKH_04154","OEKLIE_00947","ALJMDI_02359","PAPNPA_01784","BENMGJ_03063","IKCLMC_02683","PKJKAM_03661","ONMMKP_03137"
"GEGEGB_04039","persistent","serine O-acetyltransferase","13","13","1.0","NA","NA","","","","821","821","821.0","GEGEGB_04039","LNHIMF_03740","BEJGEH_03744","HFCAGB_03947","AJBGEP_03895","ODDLKH_04153","OEKLIE_00946","ALJMDI_02360","PAPNPA_01783","BENMGJ_03062","IKCLMC_02684","PKJKAM_03662","ONMMKP_03138"
"GEGEGB_04043","persistent","HTH lacI-type domain-containing protein","11","11","1.0","NA","NA","","","","1004","1004","1004.0","GEGEGB_04043","","BEJGEH_03741","HFCAGB_03944","AJBGEP_03892","ODDLKH_04150","OEKLIE_00943","","PAPNPA_01780","BENMGJ_03059","IKCLMC_02687","PKJKAM_03665","ONMMKP_03141"
"GEGEGB_04044","persistent","tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL","13","13","1.0","NA","NA","","","","473","473","473.0","GEGEGB_04044","LNHIMF_03739","BEJGEH_03740","HFCAGB_03943","AJBGEP_03891","ODDLKH_04149","OEKLIE_00942","ALJMDI_02361","PAPNPA_01779","BENMGJ_03058","IKCLMC_02688","PKJKAM_03666","ONMMKP_03142"
"GEGEGB_04045","persistent","FMN-dependent L-lactate dehydrogenase LldD","13","13","1.0","NA","NA","","","","1190","1190","1190.0","GEGEGB_04045","LNHIMF_03738","BEJGEH_03739","HFCAGB_03942","AJBGEP_03890","ODDLKH_04148","OEKLIE_00941","ALJMDI_02362","PAPNPA_01778","BENMGJ_03057","IKCLMC_02689","PKJKAM_03667","ONMMKP_03143"
"LNHIMF_00730","persistent","MbtH-like domain-containing protein","13","13","1.0","NA","NA","","","","218","218","218.0","GEGEGB_02405","LNHIMF_00730","BEJGEH_00595","HFCAGB_00675","AJBGEP_00610","ODDLKH_01077","OEKLIE_04209","ALJMDI_00688","PAPNPA_02614","BENMGJ_04252","IKCLMC_02408","PKJKAM_03097","ONMMKP_01569"
"LNHIMF_00731","persistent","enterobactin non-ribosomal peptide synthetase EntF","13","13","1.0","NA","NA","","","","3884","3884","3884.0","GEGEGB_02404","LNHIMF_00731","BEJGEH_00596","HFCAGB_00676","AJBGEP_00611","ODDLKH_01078","OEKLIE_04210","ALJMDI_00689","PAPNPA_02615","BENMGJ_04253","IKCLMC_02409","PKJKAM_03096","ONMMKP_01568"
