#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000002.1:22160-23203|+   -            348 29906at91347         -            311  2.7e-197  652.1   5.9   1   1  4.1e-200  3.2e-197  651.9   5.9     1   311     1   337     1   337 0.97 NZ_ABEW01000002.1_19 # 22160 # 23203 # 1 # ID=62_19;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.562
NZ_ABEW01000008.1:77934-79784|+   -            617 29906at91347         -            311   3.4e-13   47.5   1.7   1   2   4.7e-13   3.7e-10   37.5   0.3   105   218   151   267    20   337 0.88 NZ_ABEW01000008.1_72 # 77934 # 79784 # 1 # ID=56_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEW01000008.1:77934-79784|+   -            617 29906at91347         -            311   3.4e-13   47.5   1.7   2   2   0.00079      0.62    7.2   0.1   198   270   498   570   489   577 0.85 NZ_ABEW01000008.1_72 # 77934 # 79784 # 1 # ID=56_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEW01000005.1:468537-470216|- -            560 29906at91347         -            311   1.2e-10   39.1   0.0   1   2     0.069        54    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABEW01000005.1_463 # 468537 # 470216 # -1 # ID=59_463;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527
NZ_ABEW01000005.1:468537-470216|- -            560 29906at91347         -            311   1.2e-10   39.1   0.0   2   2   1.9e-12   1.5e-09   35.5   0.0   101   177   112   188   104   222 0.83 NZ_ABEW01000005.1_463 # 468537 # 470216 # -1 # ID=59_463;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527
NZ_ABEW01000003.1:275918-277834|- -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.3e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABEW01000003.1_238 # 275918 # 277834 # -1 # ID=61_238;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEW01000003.1:275918-277834|- -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.7e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABEW01000003.1_238 # 275918 # 277834 # -1 # ID=61_238;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEW01000006.1:314827-316179|- -            451 29906at91347         -            311   2.3e-05   21.7   0.0   1   2   8.4e-08   6.6e-05   20.2   0.0   122   172   176   226   119   261 0.82 NZ_ABEW01000006.1_284 # 314827 # 316179 # -1 # ID=58_284;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
NZ_ABEW01000006.1:314827-316179|- -            451 29906at91347         -            311   2.3e-05   21.7   0.0   2   2      0.46   3.6e+02   -1.9   0.0   242   261   377   396   362   440 0.67 NZ_ABEW01000006.1_284 # 314827 # 316179 # -1 # ID=58_284;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
NZ_ABEW01000008.1:187107-187946|+ -            280 29906at91347         -            311   0.00024   18.4   0.0   1   1     5e-07   0.00039   17.7   0.0   126   190   114   173    59   185 0.72 NZ_ABEW01000008.1_149 # 187107 # 187946 # 1 # ID=56_149;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:26:47 2026
# [ok]
