Assembly	GCF_000007545.1_ASM754v1_genomic	GCF_000020745.1_ASM2074v1_genomic	GCF_000020885.1_ASM2088v1_genomic	GCF_000020925.1_ASM2092v1_genomic	GCF_000022165.1_ASM2216v1_genomic	GCF_000170215.1_ASM17021v1_genomic	GCF_000170255.1_ASM17025v1_genomic	GCF_000171255.1_ASM17125v1_genomic	GCF_000171275.1_ASM17127v1_genomic	GCF_000171315.1_ASM17131v1_genomic	GCF_000171415.1_ASM17141v1_genomic	GCF_000171515.1_ASM17151v1_genomic	GCF_000171535.2_ASM17153v2_genomic
# contigs (>= 0 bp)	1	3	2	2	2	2	113	19	53	48	63	50	5
# contigs (>= 1000 bp)	1	3	2	2	2	2	94	19	52	46	35	46	5
# contigs (>= 5000 bp)	1	2	2	2	2	2	73	16	39	36	24	28	3
# contigs (>= 10000 bp)	1	2	2	2	2	1	67	16	37	34	23	25	2
# contigs (>= 25000 bp)	1	2	2	2	2	1	50	13	31	25	20	20	2
# contigs (>= 50000 bp)	1	2	1	2	2	1	34	12	24	17	15	17	2
Total length (>= 0 bp)	4791961	4823887	4836638	4917459	4964097	4726474	4895918	4546142	4696566	4728232	4948011	4793325	4876885
Total length (>= 1000 bp)	4791961	4823887	4836638	4917459	4964097	4726474	4879937	4546142	4696262	4727026	4926459	4789791	4876885
Total length (>= 5000 bp)	4791961	4819302	4836638	4917459	4964097	4726474	4824660	4541399	4671915	4702043	4910543	4758237	4870009
Total length (>= 10000 bp)	4791961	4819302	4836638	4917459	4964097	4719855	4777685	4541399	4659068	4687069	4901456	4740722	4864129
Total length (>= 25000 bp)	4791961	4819302	4836638	4917459	4964097	4719855	4483418	4491950	4566169	4527252	4848985	4644902	4864129
Total length (>= 50000 bp)	4791961	4819302	4798660	4917459	4964097	4719855	3881728	4462248	4297158	4220950	4698417	4537619	4864129
# contigs	1	3	2	2	2	2	112	19	52	48	63	50	5
Largest contig	4791961	4709075	4798660	4842908	4870265	4719855	335352	846299	449075	765595	741259	776389	3027433
Total length	4791961	4823887	4836638	4917459	4964097	4726474	4895525	4546142	4696262	4728232	4948011	4793325	4876885
GC (%)	52.05	52.21	52.00	52.13	52.21	52.26	52.27	52.24	52.16	52.12	52.10	52.27	52.07
N50	4791961	4709075	4798660	4842908	4870265	4719855	103713	471765	233156	308442	484233	370713	3027433
N90	4791961	4709075	4798660	4842908	4870265	4719855	29559	204763	53712	49961	89958	92588	1836696
auN	4791961.0	4599518.7	4761278.4	4770617.5	4779980.2	4713254.5	129894.7	472771.9	223923.2	369660.9	450795.3	379247.4	2571079.9
L50	1	1	1	1	1	1	14	4	8	5	5	5	1
L90	1	1	1	1	1	1	48	10	23	18	12	14	2
# N's per 100 kbp	0.23	0.00	0.00	0.00	0.00	0.00	0.63	1.32	0.00	0.00	0.00	0.00	0.06
