#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:4269562-4269993|- -            144 86762at91347         -            108   3.9e-37  124.8   2.2   1   1   2.7e-37     2e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABAM02000001.1_3942 # 4269562 # 4269993 # -1 # ID=2_3942;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.502
NZ_ABAM02000001.1:3322099-3322626|+ -            176 86762at91347         -            108   9.6e-06   23.8   0.0   1   2   9.8e-05     0.071   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABAM02000001.1_3053 # 3322099 # 3322626 # 1 # ID=2_3053;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.562
NZ_ABAM02000001.1:3322099-3322626|+ -            176 86762at91347         -            108   9.6e-06   23.8   0.0   2   2   0.00019      0.13   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABAM02000001.1_3053 # 3322099 # 3322626 # 1 # ID=2_3053;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.562
NZ_ABAM02000001.1:4060656-4060982|- -            109 86762at91347         -            108   1.4e-05   23.3   0.0   1   2   7.6e-07   0.00055   18.1   0.0    28    70     3    45     1    64 0.88 NZ_ABAM02000001.1_3766 # 4060656 # 4060982 # -1 # ID=2_3766;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABAM02000001.1:4060656-4060982|- -            109 86762at91347         -            108   1.4e-05   23.3   0.0   2   2     0.029        21    3.4   0.0    79    99    78    98    69   102 0.89 NZ_ABAM02000001.1_3766 # 4060656 # 4060982 # -1 # ID=2_3766;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABAM02000001.1:1652985-1654037|+ -            351 86762at91347         -            108     0.003   15.8   0.0   1   2   2.6e-05     0.019   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABAM02000001.1_1482 # 1652985 # 1654037 # 1 # ID=2_1482;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABAM02000001.1:1652985-1654037|+ -            351 86762at91347         -            108     0.003   15.8   0.0   2   2      0.63   4.6e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABAM02000001.1_1482 # 1652985 # 1654037 # 1 # ID=2_1482;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABAM02000001.1:2240390-2240704|- -            105 86762at91347         -            108     0.004   15.4   0.0   1   1   7.6e-06    0.0055   14.9   0.0    49    72    24    47    17    69 0.85 NZ_ABAM02000001.1_2071 # 2240390 # 2240704 # -1 # ID=2_2071;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.435
NZ_ABAM02000001.1:3130665-3131507|+ -            281 86762at91347         -            108     0.014   13.6   0.1   1   4       1.7   1.2e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABAM02000001.1_2891 # 3130665 # 3131507 # 1 # ID=2_2891;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABAM02000001.1:3130665-3131507|+ -            281 86762at91347         -            108     0.014   13.6   0.1   2   4   0.00031      0.22    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABAM02000001.1_2891 # 3130665 # 3131507 # 1 # ID=2_2891;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABAM02000001.1:3130665-3131507|+ -            281 86762at91347         -            108     0.014   13.6   0.1   3   4      0.49   3.6e+02   -0.6   0.0    44    58   167   181   151   205 0.65 NZ_ABAM02000001.1_2891 # 3130665 # 3131507 # 1 # ID=2_2891;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABAM02000001.1:3130665-3131507|+ -            281 86762at91347         -            108     0.014   13.6   0.1   4   4       2.3   1.6e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABAM02000001.1_2891 # 3130665 # 3131507 # 1 # ID=2_2891;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:59 2026
# [ok]
