#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000008.1:93970-95328|-   -            453 58706at91347         -            371  6.4e-164  543.1   2.0   1   1  1.4e-165  1.3e-162  538.9   2.0    12   371    25   443     1   443 0.89 NZ_ABEL01000008.1_84 # 93970 # 95328 # -1 # ID=41_84;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.567
NZ_ABEL01000008.1:91575-92891|-   -            439 58706at91347         -            371   2.5e-15   54.2   0.5   1   2   1.2e-10     1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NZ_ABEL01000008.1_82 # 91575 # 92891 # -1 # ID=41_82;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581
NZ_ABEL01000008.1:91575-92891|-   -            439 58706at91347         -            371   2.5e-15   54.2   0.5   2   2   6.9e-09   6.1e-06   23.3   0.1   215   293   262   343   254   351 0.83 NZ_ABEL01000008.1_82 # 91575 # 92891 # -1 # ID=41_82;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581
NZ_ABEL01000008.1:95325-96812|-   -            496 58706at91347         -            371     3e-07   27.6   1.1   1   2   9.8e-06    0.0087   12.9   0.7    14   192    25   243    21   258 0.64 NZ_ABEL01000008.1_85 # 95325 # 96812 # -1 # ID=41_85;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEL01000008.1:95325-96812|-   -            496 58706at91347         -            371     3e-07   27.6   1.1   2   2   0.00011     0.096    9.5   0.0   213   258   299   344   294   348 0.93 NZ_ABEL01000008.1_85 # 95325 # 96812 # -1 # ID=41_85;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEL01000008.1:87673-89148|-   -            492 58706at91347         -            371   7.5e-06   23.0   0.1   1   2   0.00036      0.32    7.8   0.0    79   166   121   203    69   224 0.72 NZ_ABEL01000008.1_79 # 87673 # 89148 # -1 # ID=41_79;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEL01000008.1:87673-89148|-   -            492 58706at91347         -            371   7.5e-06   23.0   0.1   2   2     1e-05    0.0093   12.8   0.0   212   256   283   327   275   331 0.90 NZ_ABEL01000008.1_79 # 87673 # 89148 # -1 # ID=41_79;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEL01000011.1:129944-131317|- -            458 58706at91347         -            371    0.0019   15.1   1.0   1   2    0.0011      0.96    6.2   0.1    79   104   105   130    92   214 0.70 NZ_ABEL01000011.1_115 # 129944 # 131317 # -1 # ID=38_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABEL01000011.1:129944-131317|- -            458 58706at91347         -            371    0.0019   15.1   1.0   2   2    0.0012       1.1    6.0   0.1   213   257   271   315   267   318 0.87 NZ_ABEL01000011.1_115 # 129944 # 131317 # -1 # ID=38_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58706at91347.hmm reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:26:23 2026
# [ok]
