#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:648694-650010|+   -            439 38133at91347         -            376  5.6e-180  596.2   0.0   1   1  1.5e-182  8.2e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABAM02000001.1_572 # 648694 # 650010 # 1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABAM02000001.1:646257-647615|+   -            453 38133at91347         -            376   1.6e-13   48.4   0.4   1   2   6.2e-09   3.4e-06   24.3   0.0    90   197   100   223    84   237 0.76 NZ_ABAM02000001.1_570 # 646257 # 647615 # 1 # ID=2_570;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAM02000001.1:646257-647615|+   -            453 38133at91347         -            376   1.6e-13   48.4   0.4   2   2   2.6e-08   1.4e-05   22.3   0.1   196   292   249   350   235   366 0.76 NZ_ABAM02000001.1_570 # 646257 # 647615 # 1 # ID=2_570;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAM02000001.1:652437-653912|+   -            492 38133at91347         -            376   2.8e-12   44.3   0.0   1   2   2.4e-10   1.3e-07   28.9   0.0    52   181    73   215    18   238 0.72 NZ_ABAM02000001.1_575 # 652437 # 653912 # 1 # ID=2_575;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAM02000001.1:652437-653912|+   -            492 38133at91347         -            376   2.8e-12   44.3   0.0   2   2   1.5e-05    0.0083   13.1   0.0   224   264   290   330   260   337 0.91 NZ_ABAM02000001.1_575 # 652437 # 653912 # 1 # ID=2_575;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAM02000001.1:644773-646260|+   -            496 38133at91347         -            376   5.1e-10   36.9   1.7   1   3   8.5e-07   0.00046   17.3   0.2    88   130   107   149   102   153 0.92 NZ_ABAM02000001.1_569 # 644773 # 646260 # 1 # ID=2_569;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAM02000001.1:644773-646260|+   -            496 38133at91347         -            376   5.1e-10   36.9   1.7   2   3   4.9e-07   0.00026   18.1   0.0   138   198   182   246   157   262 0.83 NZ_ABAM02000001.1_569 # 644773 # 646260 # 1 # ID=2_569;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAM02000001.1:644773-646260|+   -            496 38133at91347         -            376   5.1e-10   36.9   1.7   3   3      0.79   4.3e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NZ_ABAM02000001.1_569 # 644773 # 646260 # 1 # ID=2_569;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAM02000001.1:302165-303544|+   -            460 38133at91347         -            376   0.00012   19.2   0.0   1   2     0.018        10    3.0   0.0    91   120   104   133    95   192 0.83 NZ_ABAM02000001.1_268 # 302165 # 303544 # 1 # ID=2_268;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAM02000001.1:302165-303544|+   -            460 38133at91347         -            376   0.00012   19.2   0.0   2   2     1e-05    0.0057   13.7   0.0   212   288   265   346   247   356 0.86 NZ_ABAM02000001.1_268 # 302165 # 303544 # 1 # ID=2_268;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAM02000001.1:3872343-3873761|+ -            473 38133at91347         -            376   0.00012   19.2   0.0   1   2   3.4e-05     0.019   12.0   0.0     5    38   145   178   142   186 0.91 NZ_ABAM02000001.1_3577 # 3872343 # 3873761 # 1 # ID=2_3577;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
