#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000007.1:221277-222245|- -            323 58708at91347         -            281  1.7e-151  501.0   0.2   1   1  2.2e-153  9.1e-151  498.7   0.2     1   280     5   316     5   317 0.93 NZ_ABEH02000007.1_209 # 221277 # 222245 # -1 # ID=13_209;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.548
NZ_ABEH02000009.1:140976-142541|+ -            522 58708at91347         -            281   2.8e-55  185.4   0.6   1   1   2.4e-57     1e-54  183.6   0.6     4   278   214   515   211   518 0.85 NZ_ABEH02000009.1_135 # 140976 # 142541 # 1 # ID=11_135;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEH02000001.1:576336-577760|+ -            475 58708at91347         -            281   1.2e-07   29.2   3.3   1   2     5e-06    0.0021   15.2   0.1     2    36     6    40     5    53 0.86 NZ_ABEH02000001.1_515 # 576336 # 577760 # 1 # ID=19_515;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000001.1:576336-577760|+ -            475 58708at91347         -            281   1.2e-07   29.2   3.3   2   2   1.5e-05    0.0062   13.7   0.7   137   254   178   316   173   325 0.64 NZ_ABEH02000001.1_515 # 576336 # 577760 # 1 # ID=19_515;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000004.1:320978-322330|- -            451 58708at91347         -            281   1.3e-07   29.0   2.0   1   2      0.89   3.8e+02   -2.0   0.2     2    42     4    44     3    49 0.82 NZ_ABEH02000004.1_291 # 320978 # 322330 # -1 # ID=16_291;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEH02000004.1:320978-322330|- -            451 58708at91347         -            281   1.3e-07   29.0   2.0   2   2     8e-10   3.4e-07   27.7   0.1    70   254   107   306    80   319 0.71 NZ_ABEH02000004.1_291 # 320978 # 322330 # -1 # ID=16_291;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEH02000012.1:71606-73024|-   -            473 58708at91347         -            281   0.00012   19.3   0.2   1   3    0.0019      0.81    6.7   0.0     3    40   147   185   145   190 0.81 NZ_ABEH02000012.1_63 # 71606 # 73024 # -1 # ID=8_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.568
NZ_ABEH02000012.1:71606-73024|-   -            473 58708at91347         -            281   0.00012   19.3   0.2   2   3     0.099        42    1.1   0.0   134   149   287   302   281   324 0.72 NZ_ABEH02000012.1_63 # 71606 # 73024 # -1 # ID=8_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.568
NZ_ABEH02000012.1:71606-73024|-   -            473 58708at91347         -            281   0.00012   19.3   0.2   3   3   0.00095       0.4    7.7   0.0   205   278   393   470   380   472 0.70 NZ_ABEH02000012.1_63 # 71606 # 73024 # -1 # ID=8_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.568
NZ_ABEH02000010.1:84634-85752|-   -            373 58708at91347         -            281     0.002   15.3   0.1   1   1   8.3e-06    0.0035   14.5   0.1     3    31     3    31     1    44 0.86 NZ_ABEH02000010.1_86 # 84634 # 85752 # -1 # ID=10_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEH02000003.1:406880-408898|+ -            673 58708at91347         -            281    0.0024   15.0   0.5   1   3       3.2   1.3e+03   -3.8   0.0    17    56    41    84    37   104 0.54 NZ_ABEH02000003.1_381 # 406880 # 408898 # 1 # ID=17_381;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
