#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:577174-578322|+   -            383 58562at91347         -            328  9.9e-176  581.3   0.2   1   1  1.9e-177  1.3e-174  577.6   0.2     1   328     1   374     1   374 0.93 NZ_ABAM02000001.1_514 # 577174 # 578322 # 1 # ID=2_514;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABAM02000001.1:3993060-3993623|- -            188 58562at91347         -            328   7.6e-15   52.6   0.0   1   1   1.2e-17   8.4e-15   52.4   0.0   186   323    39   183    13   187 0.84 NZ_ABAM02000001.1_3712 # 3993060 # 3993623 # -1 # ID=2_3712;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABAM02000001.1:3080563-3082140|- -            526 58562at91347         -            328   1.2e-07   28.8   0.0   1   2   5.6e-10   4.1e-07   27.2   0.0   152   240     7    99     2   111 0.75 NZ_ABAM02000001.1_2868 # 3080563 # 3082140 # -1 # ID=2_2868;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABAM02000001.1:3080563-3082140|- -            526 58562at91347         -            328   1.2e-07   28.8   0.0   2   2      0.35   2.5e+02   -1.7   0.0   296   325   170   198   161   201 0.74 NZ_ABAM02000001.1_2868 # 3080563 # 3082140 # -1 # ID=2_2868;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABAM02000001.1:2280028-2281623|+ -            532 58562at91347         -            328   2.2e-07   28.0   0.1   1   1   6.7e-10   4.9e-07   26.9   0.1   181   319    36   182    19   188 0.72 NZ_ABAM02000001.1_2109 # 2280028 # 2281623 # 1 # ID=2_2109;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573
NZ_ABAM02000001.1:3473269-3474906|- -            546 58562at91347         -            328   4.5e-05   20.5   0.0   1   2   0.00023      0.17    8.7   0.0   205   235   357   387   331   403 0.74 NZ_ABAM02000001.1_3204 # 3473269 # 3474906 # -1 # ID=2_3204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABAM02000001.1:3473269-3474906|- -            546 58562at91347         -            328   4.5e-05   20.5   0.0   2   2   0.00013     0.097    9.5   0.0   278   326   485   534   461   536 0.87 NZ_ABAM02000001.1_3204 # 3473269 # 3474906 # -1 # ID=2_3204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABAM02000001.1:2613160-2613750|+ -            197 58562at91347         -            328    0.0015   15.5   0.1   1   2   7.9e-06    0.0057   13.5   0.0   154   234     2    84     1    93 0.71 NZ_ABAM02000001.1_2443 # 2613160 # 2613750 # 1 # ID=2_2443;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
NZ_ABAM02000001.1:2613160-2613750|+ -            197 58562at91347         -            328    0.0015   15.5   0.1   2   2      0.13        95   -0.3   0.0   298   325   169   194   164   196 0.66 NZ_ABAM02000001.1_2443 # 2613160 # 2613750 # 1 # ID=2_2443;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58562at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:58 2026
# [ok]
