#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000002.1:133464-133943|- -            160 78566at91347         -            144   2.8e-73  242.5   0.1   1   1   3.5e-76   3.2e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABFG01000002.1_125 # 133464 # 133943 # -1 # ID=49_125;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NZ_ABFG01000016.1:47748-48398|+   -            217 78566at91347         -            144     5e-05   21.3   0.0   1   3   5.8e-06    0.0052   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABFG01000016.1_40 # 47748 # 48398 # 1 # ID=35_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABFG01000016.1:47748-48398|+   -            217 78566at91347         -            144     5e-05   21.3   0.0   2   3     0.037        34    2.4   0.0    32    47    65    79    57    87 0.82 NZ_ABFG01000016.1_40 # 47748 # 48398 # 1 # ID=35_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABFG01000016.1:47748-48398|+   -            217 78566at91347         -            144     5e-05   21.3   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABFG01000016.1_40 # 47748 # 48398 # 1 # ID=35_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABFG01000006.1:86136-87179|-   -            348 78566at91347         -            144     0.026   12.5   0.0   1   1   5.2e-05     0.047   11.6   0.0    10    64   158   213   152   262 0.68 NZ_ABFG01000006.1_75 # 86136 # 87179 # -1 # ID=45_75;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535
NZ_ABFG01000007.1:236325-237758|+ -            478 78566at91347         -            144     0.045   11.7   0.0   1   2       3.2   2.8e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABFG01000007.1_230 # 236325 # 237758 # 1 # ID=44_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABFG01000007.1:236325-237758|+ -            478 78566at91347         -            144     0.045   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABFG01000007.1_230 # 236325 # 237758 # 1 # ID=44_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABFG01000006.1:176204-177436|- -            411 78566at91347         -            144     0.049   11.6   0.5   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABFG01000006.1_153 # 176204 # 177436 # -1 # ID=45_153;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFG01000006.1:176204-177436|- -            411 78566at91347         -            144     0.049   11.6   0.5   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABFG01000006.1_153 # 176204 # 177436 # -1 # ID=45_153;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFG01000006.1:176204-177436|- -            411 78566at91347         -            144     0.049   11.6   0.5   3   3       2.5   2.2e+03   -3.5   0.0    58    76   364   382   361   385 0.77 NZ_ABFG01000006.1_153 # 176204 # 177436 # -1 # ID=45_153;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.510
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:30 2026
# [ok]
