#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000031.1:30246-31289|-   -            348 29906at91347         -            311  2.7e-197  652.1   5.9   1   1  4.1e-200  3.2e-197  651.9   5.9     1   311     1   337     1   337 0.97 NZ_ABAO01000031.1_29 # 30246 # 31289 # -1 # ID=83_29;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.562
NZ_ABAO01000016.3:6945-8795|-     -            617 29906at91347         -            311   4.6e-13   47.0   1.3   1   2     9e-13     7e-10   36.5   0.2   105   217   151   266    21   280 0.88 NZ_ABAO01000016.3_10 # 6945 # 8795 # -1 # ID=98_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABAO01000016.3:6945-8795|-     -            617 29906at91347         -            311   4.6e-13   47.0   1.3   2   2   0.00079      0.62    7.2   0.1   198   270   498   570   489   577 0.85 NZ_ABAO01000016.3_10 # 6945 # 8795 # -1 # ID=98_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABAO01000003.1:221363-223042|- -            560 29906at91347         -            311   1.2e-10   39.0   0.0   1   2     0.069        54    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABAO01000003.1_211 # 221363 # 223042 # -1 # ID=111_211;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.525
NZ_ABAO01000003.1:221363-223042|- -            560 29906at91347         -            311   1.2e-10   39.0   0.0   2   2   1.9e-12   1.5e-09   35.5   0.0   101   177   112   188   104   221 0.83 NZ_ABAO01000003.1_211 # 221363 # 223042 # -1 # ID=111_211;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.525
NZ_ABAO01000001.3:57883-59799|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.3e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABAO01000001.3_56 # 57883 # 59799 # 1 # ID=113_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABAO01000001.3:57883-59799|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.6e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABAO01000001.3_56 # 57883 # 59799 # 1 # ID=113_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABAO01000005.1:116277-117629|+ -            451 29906at91347         -            311   1.3e-05   22.5   0.1   1   2   8.4e-08   6.6e-05   20.2   0.0   122   172   176   226   119   261 0.82 NZ_ABAO01000005.1_112 # 116277 # 117629 # 1 # ID=109_112;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABAO01000005.1:116277-117629|+ -            451 29906at91347         -            311   1.3e-05   22.5   0.1   2   2      0.16   1.2e+02   -0.4   0.0   241   261   376   396   340   443 0.78 NZ_ABAO01000005.1_112 # 116277 # 117629 # 1 # ID=109_112;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABAO01000009.1:40105-40944|-   -            280 29906at91347         -            311   0.00025   18.3   0.0   1   1     5e-07   0.00039   17.7   0.0   126   190   114   173    59   185 0.72 NZ_ABAO01000009.1_44 # 40105 # 40944 # -1 # ID=105_44;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.612
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/29906at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:35 2026
# [ok]
