#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000008.1:29557-31356|+   -            600 11342at91347         -            517  6.9e-278  920.5   0.0   1   1  1.4e-280    8e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABEW01000008.1_29 # 29557 # 31356 # 1 # ID=56_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEW01000011.1:16172-17995|+   -            608 11342at91347         -            517   4.9e-40  135.7   0.1   1   2   2.4e-41   1.4e-38  131.0   0.1     2   204     3   233     2   259 0.84 NZ_ABEW01000011.1_16 # 16172 # 17995 # 1 # ID=53_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEW01000011.1:16172-17995|+   -            608 11342at91347         -            517   4.9e-40  135.7   0.1   2   2      0.02        12    2.5   0.0   260   372   327   431   314   472 0.68 NZ_ABEW01000011.1_16 # 16172 # 17995 # 1 # ID=53_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEW01000004.1:487788-489902|+ -            705 11342at91347         -            517   4.7e-27   92.9   0.0   1   4   3.5e-23   2.1e-20   71.0   0.0     3   144     9   164     7   192 0.78 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 11342at91347         -            517   4.7e-27   92.9   0.0   2   4      0.31   1.9e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 11342at91347         -            517   4.7e-27   92.9   0.0   3   4   5.5e-06    0.0032   14.3   0.0   267   327   434   491   380   502 0.82 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 11342at91347         -            517   4.7e-27   92.9   0.0   4   4     0.019        11    2.6   0.0   351   410   626   685   604   699 0.81 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000003.1:331383-332972|- -            530 11342at91347         -            517   3.1e-24   83.6   0.0   1   2   3.2e-24   1.9e-21   74.4   0.0     4   144    13   164    10   184 0.85 NZ_ABEW01000003.1_289 # 331383 # 332972 # -1 # ID=61_289;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEW01000003.1:331383-332972|- -            530 11342at91347         -            517   3.1e-24   83.6   0.0   2   2   0.00082      0.48    7.1   0.0   292   325   436   469   365   491 0.70 NZ_ABEW01000003.1_289 # 331383 # 332972 # -1 # ID=61_289;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEW01000002.1:110421-113099|+ -            893 11342at91347         -            517   2.1e-18   64.4   0.1   1   1   2.5e-20   1.5e-17   61.6   0.1    51   208   425   599   394   611 0.79 NZ_ABEW01000002.1_106 # 110421 # 113099 # 1 # ID=62_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEW01000002.1:488203-489642|+ -            480 11342at91347         -            517   3.7e-11   40.5   0.1   1   1   1.2e-13   7.1e-11   39.5   0.1    38   138    79   183    25   189 0.77 NZ_ABEW01000002.1_454 # 488203 # 489642 # 1 # ID=62_454;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
