#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:140616-141932|- -            439 38133at91347         -            376  6.2e-180  596.2   0.0   1   1  1.6e-182  9.2e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABEW01000003.1_125 # 140616 # 141932 # -1 # ID=61_125;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000003.1:143011-144369|- -            453 38133at91347         -            376   1.7e-13   48.4   0.4   1   2   6.2e-09   3.7e-06   24.3   0.0    90   197   100   223    84   237 0.76 NZ_ABEW01000003.1_127 # 143011 # 144369 # -1 # ID=61_127;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABEW01000003.1:143011-144369|- -            453 38133at91347         -            376   1.7e-13   48.4   0.4   2   2   2.6e-08   1.5e-05   22.3   0.1   196   292   249   350   235   366 0.76 NZ_ABEW01000003.1_127 # 143011 # 144369 # -1 # ID=61_127;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABEW01000003.1:136714-138189|- -            492 38133at91347         -            376   2.1e-12   44.9   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    52   181    73   215    18   238 0.72 NZ_ABEW01000003.1_122 # 136714 # 138189 # -1 # ID=61_122;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEW01000003.1:136714-138189|- -            492 38133at91347         -            376   2.1e-12   44.9   0.0   2   2     1e-05    0.0062   13.7   0.0   224   264   290   330   257   337 0.88 NZ_ABEW01000003.1_122 # 136714 # 138189 # -1 # ID=61_122;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_ABEW01000003.1:144366-145853|- -            496 38133at91347         -            376   5.6e-10   36.9   1.7   1   3   8.5e-07    0.0005   17.3   0.2    88   130   107   149   102   153 0.92 NZ_ABEW01000003.1_128 # 144366 # 145853 # -1 # ID=61_128;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEW01000003.1:144366-145853|- -            496 38133at91347         -            376   5.6e-10   36.9   1.7   2   3   4.9e-07   0.00029   18.1   0.0   138   198   182   246   157   262 0.83 NZ_ABEW01000003.1_128 # 144366 # 145853 # -1 # ID=61_128;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEW01000003.1:144366-145853|- -            496 38133at91347         -            376   5.6e-10   36.9   1.7   3   3      0.79   4.6e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NZ_ABEW01000003.1_128 # 144366 # 145853 # -1 # ID=61_128;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABEW01000003.1:471796-473169|- -            458 38133at91347         -            376   0.00012   19.3   0.0   1   2     0.018        11    3.0   0.0    91   120   104   133    95   192 0.83 NZ_ABEW01000003.1_426 # 471796 # 473169 # -1 # ID=61_426;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABEW01000003.1:471796-473169|- -            458 38133at91347         -            376   0.00012   19.3   0.0   2   2     1e-05    0.0061   13.7   0.0   212   288   265   346   247   356 0.86 NZ_ABEW01000003.1_426 # 471796 # 473169 # -1 # ID=61_426;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABEW01000002.1:66296-67714|-   -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05      0.02   12.0   0.0     5    38   145   178   142   186 0.91 NZ_ABEW01000002.1_62 # 66296 # 67714 # -1 # ID=62_62;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
