#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1626569-1627612|+ -            348 29906at91347         -            311  2.6e-197  652.1   5.9   1   1  4.1e-200  3.1e-197  651.9   5.9     1   311     1   337     1   337 0.97 NZ_ABFH02000001.1_1465 # 1626569 # 1627612 # 1 # ID=5_1465;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.563
NZ_ABFH02000001.1:2458308-2460158|+ -            617 29906at91347         -            311   4.7e-13   46.9   1.4   1   2   8.3e-13   6.4e-10   36.6   0.2   105   217   151   266    21   281 0.87 NZ_ABFH02000001.1_2254 # 2458308 # 2460158 # 1 # ID=5_2254;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.592
NZ_ABFH02000001.1:2458308-2460158|+ -            617 29906at91347         -            311   4.7e-13   46.9   1.4   2   2   0.00079      0.61    7.2   0.1   198   270   498   570   489   577 0.85 NZ_ABFH02000001.1_2254 # 2458308 # 2460158 # 1 # ID=5_2254;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.592
NZ_ABFH02000002.1:1413174-1414853|+ -            560 29906at91347         -            311   1.2e-10   39.1   0.0   1   2     0.069        53    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABFH02000002.1_1410 # 1413174 # 1414853 # 1 # ID=4_1410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABFH02000002.1:1413174-1414853|+ -            560 29906at91347         -            311   1.2e-10   39.1   0.0   2   2   1.9e-12   1.5e-09   35.5   0.0   101   177   112   188   104   222 0.83 NZ_ABFH02000002.1_1410 # 1413174 # 1414853 # 1 # ID=4_1410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABFH02000001.1:279827-281743|-   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.3e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABFH02000001.1_245 # 279827 # 281743 # -1 # ID=5_245;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABFH02000001.1:279827-281743|-   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.5e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABFH02000001.1_245 # 279827 # 281743 # -1 # ID=5_245;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABFH02000001.1:2912348-2913700|- -            451 29906at91347         -            311   2.2e-05   21.7   0.0   1   2   8.4e-08   6.4e-05   20.2   0.0   122   172   176   226   119   261 0.82 NZ_ABFH02000001.1_2658 # 2912348 # 2913700 # -1 # ID=5_2658;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABFH02000001.1:2912348-2913700|- -            451 29906at91347         -            311   2.2e-05   21.7   0.0   2   2      0.46   3.5e+02   -1.9   0.0   242   261   377   396   362   440 0.67 NZ_ABFH02000001.1_2658 # 2912348 # 2913700 # -1 # ID=5_2658;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABFH02000001.1:2560741-2561580|+ -            280 29906at91347         -            311   0.00024   18.3   0.0   1   1     5e-07   0.00038   17.7   0.0   126   190   114   173    59   185 0.72 NZ_ABFH02000001.1_2332 # 2560741 # 2561580 # 1 # ID=5_2332;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:35 2026
# [ok]
