#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000023.1:30553-31596|-   -            348 29906at91347         -            311  2.5e-197  652.1   5.9   1   1  4.1e-200    3e-197  651.9   5.9     1   311     1   337     1   337 0.97 NZ_ABEI01000023.1_30 # 30553 # 31596 # -1 # ID=31_30;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.563
NZ_ABEI01000009.1:150743-152593|- -            617 29906at91347         -            311   1.1e-12   45.6   1.7   1   2   9.5e-13   6.9e-10   36.5   0.2   105   217   151   266    20   276 0.87 NZ_ABEI01000009.1_135 # 150743 # 152593 # -1 # ID=45_135;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.592
NZ_ABEI01000009.1:150743-152593|- -            617 29906at91347         -            311   1.1e-12   45.6   1.7   2   2    0.0018       1.3    6.0   0.1   202   270   502   570   491   577 0.83 NZ_ABEI01000009.1_135 # 150743 # 152593 # -1 # ID=45_135;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.592
NZ_ABEI01000007.1:224015-225694|- -            560 29906at91347         -            311   1.1e-10   39.1   0.0   1   2     0.069        51    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABEI01000007.1_213 # 224015 # 225694 # -1 # ID=47_213;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEI01000007.1:224015-225694|- -            560 29906at91347         -            311   1.1e-10   39.1   0.0   2   2   1.9e-12   1.4e-09   35.5   0.0   101   177   112   188   104   222 0.83 NZ_ABEI01000007.1_213 # 224015 # 225694 # -1 # ID=47_213;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEI01000003.1:58122-60038|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.2e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABEI01000003.1_56 # 58122 # 60038 # 1 # ID=51_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEI01000003.1:58122-60038|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.1e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABEI01000003.1_56 # 58122 # 60038 # 1 # ID=51_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEI01000001.1:125974-127326|+ -            451 29906at91347         -            311   1.2e-05   22.5   0.1   1   2   8.2e-08     6e-05   20.2   0.0   122   172   176   226   118   261 0.82 NZ_ABEI01000001.1_122 # 125974 # 127326 # 1 # ID=53_122;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEI01000001.1:125974-127326|+ -            451 29906at91347         -            311   1.2e-05   22.5   0.1   2   2      0.16   1.1e+02   -0.4   0.0   241   261   376   396   340   443 0.78 NZ_ABEI01000001.1_122 # 125974 # 127326 # 1 # ID=53_122;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEI01000009.1:38396-39235|-   -            280 29906at91347         -            311   0.00011   19.4   0.0   1   1   2.2e-07   0.00016   18.8   0.0   126   190   114   173    59   183 0.72 NZ_ABEI01000009.1_42 # 38396 # 39235 # -1 # ID=45_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.612
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:42 2026
# [ok]
