#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1131155-1132558|- -            468 52476at91347         -            371  4.3e-171  566.8   0.0   1   1  1.3e-170  5.4e-168  556.6   0.0     1   371    18   467    18   467 0.88 NZ_ABFH02000001.1_1015 # 1131155 # 1132558 # -1 # ID=5_1015;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABFH02000001.1:2485354-2486826|+ -            491 52476at91347         -            371   3.1e-36  123.1   0.2   1   2   3.9e-18   1.6e-15   54.9   0.0   187   273     5    92     2    98 0.94 NZ_ABFH02000001.1_2276 # 2485354 # 2486826 # 1 # ID=5_2276;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:2485354-2486826|+ -            491 52476at91347         -            371   3.1e-36  123.1   0.2   2   2   1.9e-21   7.8e-19   65.8   0.2   185   273   203   295   199   300 0.94 NZ_ABFH02000001.1_2276 # 2485354 # 2486826 # 1 # ID=5_2276;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:2413518-2414423|+ -            302 52476at91347         -            371   2.3e-12   44.5   0.1   1   1   8.3e-15   3.4e-12   43.9   0.1   187   308    11   139     8   174 0.81 NZ_ABFH02000001.1_2214 # 2413518 # 2414423 # 1 # ID=5_2214;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.519
NZ_ABFH02000002.1:1811946-1812821|+ -            292 52476at91347         -            371   1.3e-08   32.2   0.0   1   1   4.2e-11   1.8e-08   31.7   0.0   169   246    21    98    16   129 0.83 NZ_ABFH02000002.1_1782 # 1811946 # 1812821 # 1 # ID=4_1782;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NC_011214.1:3100-3984|-             -            295 52476at91347         -            371   2.1e-08   31.5   0.1   1   1   8.2e-11   3.4e-08   30.8   0.1   177   272    30   125     8   134 0.79 NC_011214.1_5 # 3100 # 3984 # -1 # ID=2_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.363
NZ_ABFH02000001.1:536031-537311|-   -            427 52476at91347         -            371   8.6e-06   22.9   0.3   1   2   8.3e-08   3.5e-05   20.9   0.1   176   281   189   295   172   305 0.79 NZ_ABFH02000001.1_493 # 536031 # 537311 # -1 # ID=5_493;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABFH02000001.1:536031-537311|-   -            427 52476at91347         -            371   8.6e-06   22.9   0.3   2   2     0.052        22    1.8   0.1   256   289   291   326   289   358 0.78 NZ_ABFH02000001.1_493 # 536031 # 537311 # -1 # ID=5_493;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABFH02000001.1:922726-923358|+   -            211 52476at91347         -            371   0.00014   18.9   0.0   1   2   8.6e-07   0.00036   17.5   0.0   184   219    26    62     3    77 0.77 NZ_ABFH02000001.1_826 # 922726 # 923358 # 1 # ID=5_826;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
NZ_ABFH02000001.1:922726-923358|+   -            211 52476at91347         -            371   0.00014   18.9   0.0   2   2      0.64   2.7e+02   -1.8   0.0   284   306   173   194   145   199 0.75 NZ_ABFH02000001.1_826 # 922726 # 923358 # 1 # ID=5_826;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
NZ_ABFH02000001.1:547576-548628|+   -            351 52476at91347         -            371    0.0065   13.4   0.1   1   1   3.4e-05     0.014   12.3   0.1   188   214   211   237   168   247 0.88 NZ_ABFH02000001.1_503 # 547576 # 548628 # 1 # ID=5_503;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.532
