#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1276528-1276959|+ -            144 86762at91347         -            108   4.1e-37  124.8   2.2   1   1   2.7e-37   2.1e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABFH02000001.1_1148 # 1276528 # 1276959 # 1 # ID=5_1148;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.500
NZ_ABFH02000001.1:2239909-2240436|- -            176 86762at91347         -            108     1e-05   23.8   0.0   1   2   9.8e-05     0.075   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABFH02000001.1_2045 # 2239909 # 2240436 # -1 # ID=5_2045;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.568
NZ_ABFH02000001.1:2239909-2240436|- -            176 86762at91347         -            108     1e-05   23.8   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABFH02000001.1_2045 # 2239909 # 2240436 # -1 # ID=5_2045;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.568
NZ_ABFH02000001.1:1489902-1490228|+ -            109 86762at91347         -            108   1.5e-05   23.3   0.0   1   2   7.6e-07   0.00058   18.1   0.0    28    70     3    45     1    64 0.88 NZ_ABFH02000001.1_1327 # 1489902 # 1490228 # 1 # ID=5_1327;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:1489902-1490228|+ -            109 86762at91347         -            108   1.5e-05   23.3   0.0   2   2     0.029        22    3.4   0.0    79    99    78    98    69   102 0.89 NZ_ABFH02000001.1_1327 # 1489902 # 1490228 # 1 # ID=5_1327;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000002.1:902922-903974|-   -            351 86762at91347         -            108    0.0032   15.8   0.0   1   2   2.6e-05      0.02   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABFH02000002.1_920 # 902922 # 903974 # -1 # ID=4_920;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFH02000002.1:902922-903974|-   -            351 86762at91347         -            108    0.0032   15.8   0.0   2   2      0.63   4.8e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABFH02000002.1_920 # 902922 # 903974 # -1 # ID=4_920;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFH02000002.1:313171-313485|+   -            105 86762at91347         -            108    0.0042   15.4   0.0   1   1   7.6e-06    0.0058   14.9   0.0    49    72    24    47    17    69 0.85 NZ_ABFH02000002.1_315 # 313171 # 313485 # 1 # ID=4_315;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.429
NZ_ABFH02000001.1:2464537-2465379|- -            281 86762at91347         -            108     0.014   13.7   0.0   1   4       1.7   1.3e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABFH02000001.1_2262 # 2464537 # 2465379 # -1 # ID=5_2262;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABFH02000001.1:2464537-2465379|- -            281 86762at91347         -            108     0.014   13.7   0.0   2   4   0.00031      0.24    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABFH02000001.1_2262 # 2464537 # 2465379 # -1 # ID=5_2262;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABFH02000001.1:2464537-2465379|- -            281 86762at91347         -            108     0.014   13.7   0.0   3   4      0.45   3.4e+02   -0.4   0.0    45    58   168   181   151   206 0.62 NZ_ABFH02000001.1_2262 # 2464537 # 2465379 # -1 # ID=5_2262;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABFH02000001.1:2464537-2465379|- -            281 86762at91347         -            108     0.014   13.7   0.0   4   4       2.3   1.7e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABFH02000001.1_2262 # 2464537 # 2465379 # -1 # ID=5_2262;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.595
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/data/00-reads/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:45 2026
# [ok]
