#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000009.1:2896-3909|+     -            338 17277at91347         -            348  5.5e-158  523.4   0.3   1   1  2.1e-160  7.2e-158  523.0   0.3    62   344     1   318     1   327 0.93 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000008.1:200671-202002|- -            444 17277at91347         -            348   7.3e-48  161.2   1.1   1   3   7.8e-26   2.7e-23   80.4   0.0    40   134     4   105     1   118 0.89 NZ_ABEH02000008.1_189 # 200671 # 202002 # -1 # ID=12_189;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEH02000008.1:200671-202002|- -            444 17277at91347         -            348   7.3e-48  161.2   1.1   2   3   2.5e-12   8.7e-10   36.0   0.1   143   219   248   311   226   316 0.83 NZ_ABEH02000008.1_189 # 200671 # 202002 # -1 # ID=12_189;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEH02000008.1:200671-202002|- -            444 17277at91347         -            348   7.3e-48  161.2   1.1   3   3   3.4e-14   1.2e-11   42.1   0.0   249   343   318   425   312   429 0.81 NZ_ABEH02000008.1_189 # 200671 # 202002 # -1 # ID=12_189;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEH02000007.1:210840-213116|+ -            759 17277at91347         -            348   7.5e-09   32.9   0.0   1   3   1.8e-07   6.4e-05   20.0   0.0    75   156   203   290   196   296 0.73 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 17277at91347         -            348   7.5e-09   32.9   0.0   2   3    0.0022      0.77    6.6   0.0    40   108   447   517   422   551 0.82 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 17277at91347         -            348   7.5e-09   32.9   0.0   3   3     0.045        16    2.2   0.0   244   321   631   710   612   718 0.73 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000003.1:482118-483698|- -            527 17277at91347         -            348   4.8e-07   27.0   0.0   1   1   2.2e-09   7.7e-07   26.3   0.0    80   159    68   141    20   162 0.79 NZ_ABEH02000003.1_453 # 482118 # 483698 # -1 # ID=17_453;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
NZ_ABEH02000006.1:139640-142213|+ -            858 17277at91347         -            348     9e-06   22.8   0.0   1   3    0.0079       2.8    4.7   0.0    77   102   197   222   185   281 0.87 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000006.1:139640-142213|+ -            858 17277at91347         -            348     9e-06   22.8   0.0   2   3   9.8e-06    0.0034   14.3   0.0    38   103   555   622   546   633 0.86 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000006.1:139640-142213|+ -            858 17277at91347         -            348     9e-06   22.8   0.0   3   3      0.68   2.4e+02   -1.6   0.0   249   275   749   775   743   822 0.81 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
