#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:469236-470384|+ -            383 58562at91347         -            328  7.5e-176  581.7   0.1   1   1  1.4e-177    1e-174  578.0   0.1     1   328     1   374     1   374 0.93 NZ_ABEH02000001.1_427 # 469236 # 470384 # 1 # ID=19_427;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABEH02000004.1:456807-457370|+ -            188 58562at91347         -            328   6.3e-15   52.8   0.0   1   1   9.9e-18     7e-15   52.6   0.0   186   324    39   184    13   187 0.85 NZ_ABEH02000004.1_406 # 456807 # 457370 # 1 # ID=16_406;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEH02000006.1:290891-292468|+ -            526 58562at91347         -            328   1.2e-07   28.8   0.0   1   2   5.6e-10   3.9e-07   27.2   0.0   152   240     7    99     2   111 0.75 NZ_ABEH02000006.1_254 # 290891 # 292468 # 1 # ID=14_254;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEH02000006.1:290891-292468|+ -            526 58562at91347         -            328   1.2e-07   28.8   0.0   2   2      0.35   2.4e+02   -1.7   0.0   296   325   170   198   161   201 0.74 NZ_ABEH02000006.1_254 # 290891 # 292468 # 1 # ID=14_254;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEH02000002.1:482200-483795|+ -            532 58562at91347         -            328   2.6e-07   27.8   0.1   1   1   7.8e-10   5.5e-07   26.7   0.1   181   319    36   182    19   188 0.72 NZ_ABEH02000002.1_466 # 482200 # 483795 # 1 # ID=18_466;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.572
NZ_ABEH02000003.1:117215-118852|- -            546 58562at91347         -            328   4.4e-05   20.4   0.0   1   2   0.00023      0.16    8.7   0.0   205   235   357   387   331   403 0.74 NZ_ABEH02000003.1_119 # 117215 # 118852 # -1 # ID=17_119;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.521
NZ_ABEH02000003.1:117215-118852|- -            546 58562at91347         -            328   4.4e-05   20.4   0.0   2   2   0.00013     0.094    9.5   0.0   278   326   485   534   461   536 0.87 NZ_ABEH02000003.1_119 # 117215 # 118852 # -1 # ID=17_119;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.521
NZ_ABEH02000005.1:73719-74309|+   -            197 58562at91347         -            328    0.0014   15.5   0.1   1   2   7.9e-06    0.0056   13.5   0.0   154   234     2    84     1    93 0.71 NZ_ABEH02000005.1_76 # 73719 # 74309 # 1 # ID=15_76;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABEH02000005.1:73719-74309|+   -            197 58562at91347         -            328    0.0014   15.5   0.1   2   2      0.13        92   -0.3   0.0   298   325   169   194   164   196 0.66 NZ_ABEH02000005.1_76 # 73719 # 74309 # 1 # ID=15_76;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.565
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm
# Target file:     reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58562at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:34 2026
# [ok]
