#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000001.3:189769-191256|+ -            496 30417at91347         -            419  4.5e-193  639.8   0.0   1   1  1.6e-195  1.2e-192  638.4   0.0     1   418     3   492     3   493 0.90 NZ_ABAO01000001.3_167 # 189769 # 191256 # 1 # ID=113_167;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABAO01000001.3:191253-192611|+ -            453 30417at91347         -            419   1.9e-11   41.5   0.0   1   1   8.5e-14   6.6e-11   39.7   0.0    12   298    24   336    21   350 0.74 NZ_ABAO01000001.3_168 # 191253 # 192611 # 1 # ID=113_168;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAO01000001.3:193690-195006|+ -            439 30417at91347         -            419   2.2e-11   41.3   4.6   1   1   5.9e-13   4.6e-10   36.9   4.6    81   284   106   306    97   355 0.75 NZ_ABAO01000001.3_170 # 193690 # 195006 # 1 # ID=113_170;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABAO01000001.3:197433-198908|+ -            492 30417at91347         -            419   1.3e-05   22.3   0.0   1   3   0.00055      0.43    7.4   0.0    82   100   121   139    81   150 0.69 NZ_ABAO01000001.3_173 # 197433 # 198908 # 1 # ID=113_173;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAO01000001.3:197433-198908|+ -            492 30417at91347         -            419   1.3e-05   22.3   0.0   2   3   3.8e-05      0.03   11.2   0.0   159   210   185   241   179   250 0.79 NZ_ABAO01000001.3_173 # 197433 # 198908 # 1 # ID=113_173;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAO01000001.3:197433-198908|+ -            492 30417at91347         -            419   1.3e-05   22.3   0.0   3   3      0.17   1.3e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NZ_ABAO01000001.3_173 # 197433 # 198908 # 1 # ID=113_173;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABAO01000020.1:20269-21537|-   -            423 30417at91347         -            419   0.00045   17.2   0.0   1   2     0.019        15    2.3   0.0    82   100    51    69    32    83 0.75 NZ_ABAO01000020.1_21 # 20269 # 21537 # -1 # ID=94_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000020.1:20269-21537|-   -            423 30417at91347         -            419   0.00045   17.2   0.0   2   2   3.4e-05     0.027   11.3   0.0   274   395   285   406   117   415 0.67 NZ_ABAO01000020.1_21 # 20269 # 21537 # -1 # ID=94_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAO01000006.1:25141-26520|+   -            460 30417at91347         -            419    0.0025   14.7   0.1   1   2    0.0074       5.8    3.7   0.1    82   104   105   127   100   152 0.77 NZ_ABAO01000006.1_23 # 25141 # 26520 # 1 # ID=108_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABAO01000006.1:25141-26520|+   -            460 30417at91347         -            419    0.0025   14.7   0.1   2   2   0.00019      0.15    8.9   0.0   230   311   267   348   180   359 0.81 NZ_ABAO01000006.1_23 # 25141 # 26520 # 1 # ID=108_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:12 2026
# [ok]
