#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000004.1:168244-168723|- -            160 78566at91347         -            144     3e-73  242.5   0.1   1   1   3.5e-76   3.3e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABEW01000004.1_156 # 168244 # 168723 # -1 # ID=60_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABEW01000005.1:452859-453509|- -            217 78566at91347         -            144   5.3e-05   21.3   0.0   1   3   5.8e-06    0.0054   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABEW01000005.1_449 # 452859 # 453509 # -1 # ID=59_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEW01000005.1:452859-453509|- -            217 78566at91347         -            144   5.3e-05   21.3   0.0   2   3     0.037        35    2.4   0.0    32    47    65    79    57    87 0.82 NZ_ABEW01000005.1_449 # 452859 # 453509 # -1 # ID=59_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEW01000005.1:452859-453509|- -            217 78566at91347         -            144   5.3e-05   21.3   0.0   3   3      0.22   2.1e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABEW01000005.1_449 # 452859 # 453509 # -1 # ID=59_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEW01000003.1:219742-220710|- -            323 78566at91347         -            144     0.027   12.5   0.0   1   1   4.5e-05     0.043   11.8   0.0    10    64   133   188   127   237 0.68 NZ_ABEW01000003.1_192 # 219742 # 220710 # -1 # ID=61_192;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABEW01000003.1:309819-311051|- -            411 78566at91347         -            144     0.041   11.9   0.6   1   3   0.00019      0.18    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000003.1:309819-311051|- -            411 78566at91347         -            144     0.041   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000003.1:309819-311051|- -            411 78566at91347         -            144     0.041   11.9   0.6   3   3         1   9.6e+02   -2.3   0.0    57    77   363   383   360   387 0.80 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000002.1:201019-202452|+ -            478 78566at91347         -            144     0.047   11.7   0.0   1   2       3.2     3e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABEW01000002.1_188 # 201019 # 202452 # 1 # ID=62_188;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NZ_ABEW01000002.1:201019-202452|+ -            478 78566at91347         -            144     0.047   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABEW01000002.1_188 # 201019 # 202452 # 1 # ID=62_188;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:26:49 2026
# [ok]
