#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:2409777-2411576|+ -            600 11342at91347         -            517  6.7e-278  920.5   0.0   1   1  1.7e-280  7.8e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABFH02000001.1_2211 # 2409777 # 2411576 # 1 # ID=5_2211;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABFH02000001.1:913403-915226|-   -            608 11342at91347         -            517   4.4e-40  135.9   0.1   1   2   2.7e-41   1.2e-38  131.1   0.1     2   204     3   233     2   259 0.84 NZ_ABFH02000001.1_818 # 913403 # 915226 # -1 # ID=5_818;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:913403-915226|-   -            608 11342at91347         -            517   4.4e-40  135.9   0.1   2   2     0.025        12    2.5   0.0   260   372   327   431   314   472 0.68 NZ_ABFH02000001.1_818 # 913403 # 915226 # -1 # ID=5_818;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:1569260-1571374|+ -            705 11342at91347         -            517   4.5e-27   92.9   0.0   1   4   4.3e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 11342at91347         -            517   4.5e-27   92.9   0.0   2   4      0.39   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 11342at91347         -            517   4.5e-27   92.9   0.0   3   4   6.8e-06    0.0031   14.3   0.0   267   327   434   491   380   502 0.82 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 11342at91347         -            517   4.5e-27   92.9   0.0   4   4     0.023        11    2.6   0.0   351   410   626   685   604   699 0.81 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:335302-336891|-   -            530 11342at91347         -            517     3e-24   83.6   0.0   1   2     4e-24   1.8e-21   74.4   0.0     4   144    13   164    10   184 0.85 NZ_ABFH02000001.1_296 # 335302 # 336891 # -1 # ID=5_296;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABFH02000001.1:335302-336891|-   -            530 11342at91347         -            517     3e-24   83.6   0.0   2   2     0.001      0.46    7.1   0.0   292   325   436   469   365   491 0.70 NZ_ABFH02000001.1_296 # 335302 # 336891 # -1 # ID=5_296;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABFH02000001.1:1712635-1715313|+ -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   3.1e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NZ_ABFH02000001.1_1550 # 1712635 # 1715313 # 1 # ID=5_1550;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFH02000001.1:1571446-1572630|+ -            395 11342at91347         -            517   8.9e-13   45.8   0.0   1   1   2.7e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NZ_ABFH02000001.1_1399 # 1571446 # 1572630 # 1 # ID=5_1399;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:781566-782750|-   -            395 11342at91347         -            517   8.9e-13   45.8   0.0   1   1   2.7e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NZ_ABFH02000001.1_697 # 781566 # 782750 # -1 # ID=5_697;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABFH02000001.1:2112544-2113983|+ -            480 11342at91347         -            517   3.6e-11   40.5   0.1   1   1   1.5e-13   6.9e-11   39.5   0.1    38   138    79   183    25   189 0.77 NZ_ABFH02000001.1_1911 # 2112544 # 2113983 # 1 # ID=5_1911;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABFH02000001.1:1302812-1304662|+ -            617 11342at91347         -            517   1.8e-07   28.3   0.0   1   1   8.4e-10   3.9e-07   27.2   0.0    11   164     7   158     2   172 0.71 NZ_ABFH02000001.1_1171 # 1302812 # 1304662 # 1 # ID=5_1171;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.573
NZ_ABFH02000001.1:2485354-2486826|+ -            491 11342at91347         -            517   0.00023   18.0   0.0   1   1   8.9e-07   0.00041   17.2   0.0    79   167   273   368   204   377 0.80 NZ_ABFH02000001.1_2276 # 2485354 # 2486826 # 1 # ID=5_2276;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:06 2026
# [ok]
