#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000001.1:398165-399433|- -            423 48197at91347         -            361  1.1e-170  565.2   0.0   1   1  5.7e-172  4.2e-169  560.1   0.0     1   360     7   413     7   414 0.90 NZ_ABEI01000001.1_362 # 398165 # 399433 # -1 # ID=53_362;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEI01000003.1:184070-185557|+ -            496 48197at91347         -            361    0.0036   14.2   0.5   1   3     0.072        53    0.5   0.0   251   319    27    97    20   109 0.79 NZ_ABEI01000003.1_164 # 184070 # 185557 # 1 # ID=51_164;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:184070-185557|+ -            496 48197at91347         -            361    0.0036   14.2   0.5   2   3    0.0012      0.89    6.3   0.4    43    61   110   128    93   140 0.87 NZ_ABEI01000003.1_164 # 184070 # 185557 # 1 # ID=51_164;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:184070-185557|+ -            496 48197at91347         -            361    0.0036   14.2   0.5   3   3     0.012       8.8    3.0   0.0   252   295   340   391   308   468 0.79 NZ_ABEI01000003.1_164 # 184070 # 185557 # 1 # ID=51_164;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:187991-189307|+ -            439 48197at91347         -            361    0.0067   13.3   0.5   1   2   0.00023      0.17    8.7   0.6    30    73    91   136    81   140 0.81 NZ_ABEI01000003.1_167 # 187991 # 189307 # 1 # ID=51_167;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:187991-189307|+ -            439 48197at91347         -            361    0.0067   13.3   0.5   2   2     0.021        15    2.3   0.0   119   195   143   217   138   241 0.80 NZ_ABEI01000003.1_167 # 187991 # 189307 # 1 # ID=51_167;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000003.1:191734-193209|+ -            492 48197at91347         -            361    0.0082   13.0   0.1   1   2   0.00092      0.67    6.7   0.0    43    69   120   146    96   150 0.79 NZ_ABEI01000003.1_170 # 191734 # 193209 # 1 # ID=51_170;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NZ_ABEI01000003.1:191734-193209|+ -            492 48197at91347         -            361    0.0082   13.0   0.1   2   2    0.0068         5    3.8   0.0   149   171   186   208   175   214 0.81 NZ_ABEI01000003.1_170 # 191734 # 193209 # 1 # ID=51_170;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NZ_ABEI01000003.1:62617-62961|+   -            115 48197at91347         -            361      0.01   12.7   0.1   1   1   1.4e-05      0.01   12.7   0.1    95   141    45    91     9    98 0.90 NZ_ABEI01000003.1_60 # 62617 # 62961 # 1 # ID=51_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_ABEI01000013.1:25041-26414|+   -            458 48197at91347         -            361     0.048   10.5   0.0   1   1   0.00012     0.088    9.6   0.0    41    72   102   133    96   137 0.89 NZ_ABEI01000013.1_23 # 25041 # 26414 # 1 # ID=41_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/48197at91347.hmm
# Target file:     reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/48197at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/48197at91347.hmm reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:57 2026
# [ok]
