#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:154167-155654|-   -            496 30417at91347         -            419    8e-193  638.9   0.0   1   1    3e-195  2.3e-192  637.5   0.0     1   418     3   492     3   493 0.90 NZ_ABFH02000001.1_137 # 154167 # 155654 # -1 # ID=5_137;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFH02000001.1:150417-151733|-   -            439 30417at91347         -            419   1.9e-11   41.4   4.3   1   1   5.2e-13   3.9e-10   37.1   4.3    81   284   106   306    97   353 0.75 NZ_ABFH02000001.1_134 # 150417 # 151733 # -1 # ID=5_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABFH02000001.1:152812-154170|-   -            453 30417at91347         -            419   3.3e-11   40.6   0.0   1   1   1.5e-13   1.2e-10   38.8   0.0    14   298    26   336    21   350 0.73 NZ_ABFH02000001.1_136 # 152812 # 154170 # -1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NZ_ABFH02000001.1:146515-147990|-   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   1   3   0.00055      0.42    7.4   0.0    82   100   121   139    81   150 0.69 NZ_ABFH02000001.1_131 # 146515 # 147990 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABFH02000001.1:146515-147990|-   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   2   3   3.8e-05     0.029   11.2   0.0   159   210   185   241   179   250 0.79 NZ_ABFH02000001.1_131 # 146515 # 147990 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABFH02000001.1:146515-147990|-   -            492 30417at91347         -            419   1.2e-05   22.3   0.0   3   3      0.17   1.3e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NZ_ABFH02000001.1_131 # 146515 # 147990 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABFH02000001.1:2654507-2655775|+ -            423 30417at91347         -            419   0.00042   17.2   0.0   1   2     0.019        14    2.3   0.0    82   100    51    69    32    83 0.75 NZ_ABFH02000001.1_2424 # 2654507 # 2655775 # 1 # ID=5_2424;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABFH02000001.1:2654507-2655775|+ -            423 30417at91347         -            419   0.00042   17.2   0.0   2   2   3.3e-05     0.025   11.4   0.0   274   395   285   406   117   415 0.66 NZ_ABFH02000001.1_2424 # 2654507 # 2655775 # 1 # ID=5_2424;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABFH02000001.1:485044-486423|-   -            460 30417at91347         -            419    0.0024   14.7   0.1   1   2    0.0074       5.6    3.7   0.1    82   104   105   127   100   152 0.77 NZ_ABFH02000001.1_440 # 485044 # 486423 # -1 # ID=5_440;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABFH02000001.1:485044-486423|-   -            460 30417at91347         -            419    0.0024   14.7   0.1   2   2   0.00019      0.15    8.9   0.0   230   311   267   348   180   359 0.81 NZ_ABFH02000001.1_440 # 485044 # 486423 # -1 # ID=5_440;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:35 2026
# [ok]
