#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:312191-313990|+   -            600 11342at91347         -            517  6.8e-278  920.5   0.0   1   1  1.7e-280  7.8e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_004631.1_276 # 312191 # 313990 # 1 # ID=1_276;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NC_004631.1:3711782-3713605|- -            608 11342at91347         -            517   4.3e-40  135.9   0.2   1   2   2.7e-41   1.2e-38  131.1   0.1     2   204     3   233     2   260 0.84 NC_004631.1_3595 # 3711782 # 3713605 # -1 # ID=1_3595;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:3711782-3713605|- -            608 11342at91347         -            517   4.3e-40  135.9   0.2   2   2     0.023        11    2.6   0.0   258   372   325   431   306   472 0.69 NC_004631.1_3595 # 3711782 # 3713605 # -1 # ID=1_3595;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:4212478-4214592|+ -            705 11342at91347         -            517   4.6e-27   92.9   0.0   1   4   4.3e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 11342at91347         -            517   4.6e-27   92.9   0.0   2   4      0.39   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 11342at91347         -            517   4.6e-27   92.9   0.0   3   4   6.8e-06    0.0032   14.3   0.0   267   327   434   491   380   502 0.82 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 11342at91347         -            517   4.6e-27   92.9   0.0   4   4     0.023        11    2.6   0.0   351   410   626   685   604   699 0.81 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4753377-4754966|+ -            530 11342at91347         -            517   3.1e-24   83.6   0.0   1   2     4e-24   1.9e-21   74.4   0.0     4   144    13   164    10   184 0.85 NC_004631.1_4596 # 4753377 # 4754966 # 1 # ID=1_4596;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_004631.1:4753377-4754966|+ -            530 11342at91347         -            517   3.1e-24   83.6   0.0   2   2     0.001      0.47    7.1   0.0   292   325   436   469   365   491 0.70 NC_004631.1_4596 # 4753377 # 4754966 # 1 # ID=1_4596;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_004631.1:3294916-3297594|- -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   3.1e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NC_004631.1_3198 # 3294916 # 3297594 # -1 # ID=1_3198;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:3575081-3576265|- -            395 11342at91347         -            517     9e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_004631.1_3466 # 3575081 # 3576265 # -1 # ID=1_3466;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_004631.1:4214664-4215848|+ -            395 11342at91347         -            517     9e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_004631.1_4057 # 4214664 # 4215848 # 1 # ID=1_4057;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:2908372-2909811|- -            480 11342at91347         -            517   3.6e-11   40.5   0.1   1   1   1.5e-13     7e-11   39.5   0.1    38   138    79   183    25   189 0.77 NC_004631.1_2824 # 2908372 # 2909811 # -1 # ID=1_2824;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:3960899-3962749|+ -            617 11342at91347         -            517   8.9e-08   29.3   0.0   1   1   4.3e-10     2e-07   28.1   0.0    11   164     7   158     2   172 0.72 NC_004631.1_3828 # 3960899 # 3962749 # 1 # ID=1_3828;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.569
NC_004631.1:387670-389142|+   -            491 11342at91347         -            517   0.00024   18.0   0.0   1   1   8.9e-07   0.00041   17.2   0.0    79   167   273   368   204   377 0.80 NC_004631.1_343 # 387670 # 389142 # 1 # ID=1_343;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:56 2026
# [ok]
