#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000065.1:10546-11004|- -            153 17649at91347         -            402   8.5e-79  263.4   0.1   1   1   1.6e-81   9.4e-79  263.2   0.1   265   399     1   144     1   150 0.94 NZ_ABAO01000065.1_10 # 10546 # 11004 # -1 # ID=49_10;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547
NZ_ABAO01000026.1:25702-27072|+ -            457 17649at91347         -            402     6e-36  122.3   0.6   1   1   2.1e-37   1.2e-34  117.9   0.6    84   332   157   409    79   439 0.87 NZ_ABAO01000026.1_29 # 25702 # 27072 # 1 # ID=88_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602
NZ_ABAO01000057.1:13910-15211|+ -            434 17649at91347         -            402     2e-35  120.6   0.2   1   1   4.4e-36   2.6e-33  113.6   0.2    59   330    90   385    56   412 0.79 NZ_ABAO01000057.1_21 # 13910 # 15211 # 1 # ID=57_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.512
NZ_ABAO01000021.1:14211-15506|- -            432 17649at91347         -            402   1.1e-34  118.1   0.1   1   2      0.22   1.3e+02   -0.7   0.0    44    85    63   103    44   132 0.73 NZ_ABAO01000021.1_17 # 14211 # 15506 # -1 # ID=93_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.543
NZ_ABAO01000021.1:14211-15506|- -            432 17649at91347         -            402   1.1e-34  118.1   0.1   2   2   6.8e-37     4e-34  116.3   0.0    86   330   136   382   117   420 0.86 NZ_ABAO01000021.1_17 # 14211 # 15506 # -1 # ID=93_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.543
NZ_ABAO01000051.1:1-273|-       -             91 17649at91347         -            402   9.8e-31  105.1   1.1   1   1   1.9e-33   1.1e-30  104.9   1.1     1    73     3    91     3    91 0.94 NZ_ABAO01000051.1_1 # 1 # 273 # -1 # ID=63_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABAO01000051.1:1214-2755|-   -            514 17649at91347         -            402   1.2e-18   65.3   3.4   1   2     5e-08   2.9e-05   21.2   0.3    42    84    73   121    61   140 0.68 NZ_ABAO01000051.1_3 # 1214 # 2755 # -1 # ID=63_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABAO01000051.1:1214-2755|-   -            514 17649at91347         -            402   1.2e-18   65.3   3.4   2   2   5.7e-15   3.4e-12   44.1   0.2    86   326   146   405   135   437 0.80 NZ_ABAO01000051.1_3 # 1214 # 2755 # -1 # ID=63_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABAO01000043.1:20266-21525|+ -            420 17649at91347         -            402   1.8e-08   31.8   0.0   1   1   4.6e-11   2.7e-08   31.2   0.0    90   312   159   378   152   405 0.87 NZ_ABAO01000043.1_18 # 20266 # 21525 # 1 # ID=71_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABAO01000072.1:3794-4705|-   -            304 17649at91347         -            402    0.0031   14.5   0.0   1   1   8.6e-06     0.005   13.8   0.0   277   333    34    90    21    95 0.92 NZ_ABAO01000072.1_5 # 3794 # 4705 # -1 # ID=42_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.578
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/17649at91347.hmm
# Target file:     reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/17649at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/17649at91347.hmm reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:10 2026
# [ok]
