#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1252739-1253218|- -            160 78566at91347         -            144   2.9e-73  242.5   0.1   1   1   3.5e-76   3.3e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABFH02000001.1_1126 # 1252739 # 1253218 # -1 # ID=5_1126;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABFH02000002.1:1429890-1430540|+ -            217 78566at91347         -            144   5.1e-05   21.3   0.0   1   3   5.8e-06    0.0053   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABFH02000002.1_1424 # 1429890 # 1430540 # 1 # ID=4_1424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544
NZ_ABFH02000002.1:1429890-1430540|+ -            217 78566at91347         -            144   5.1e-05   21.3   0.0   2   3     0.037        34    2.4   0.0    32    47    65    79    57    88 0.82 NZ_ABFH02000002.1_1424 # 1429890 # 1430540 # 1 # ID=4_1424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544
NZ_ABFH02000002.1:1429890-1430540|+ -            217 78566at91347         -            144   5.1e-05   21.3   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABFH02000002.1_1424 # 1429890 # 1430540 # 1 # ID=4_1424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544
NZ_ABFH02000001.1:229399-230367|-   -            323 78566at91347         -            144     0.026   12.5   0.0   1   1   4.5e-05     0.042   11.8   0.0    10    64   133   188   127   237 0.68 NZ_ABFH02000001.1_200 # 229399 # 230367 # -1 # ID=5_200;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:313728-314960|-   -            411 78566at91347         -            144      0.04   11.9   0.6   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:313728-314960|-   -            411 78566at91347         -            144      0.04   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:313728-314960|-   -            411 78566at91347         -            144      0.04   11.9   0.6   3   3         1   9.3e+02   -2.3   0.0    57    77   363   383   360   387 0.80 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:1797773-1799206|+ -            478 78566at91347         -            144     0.046   11.7   0.0   1   2       3.2   2.9e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABFH02000001.1_1627 # 1797773 # 1799206 # 1 # ID=5_1627;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573
NZ_ABFH02000001.1:1797773-1799206|+ -            478 78566at91347         -            144     0.046   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABFH02000001.1_1627 # 1797773 # 1799206 # 1 # ID=5_1627;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:08 2026
# [ok]
