#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:148975-150291|+   -            439 38133at91347         -            376  1.7e-179  594.7   0.0   1   1  4.3e-182  2.4e-179  594.2   0.0     1   376     1   438     1   438 0.90 NC_011149.1_127 # 148975 # 150291 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NC_011149.1:146538-147896|+   -            453 38133at91347         -            376   1.1e-13   49.0   0.3   1   1   4.7e-12   2.6e-09   34.6   0.3    90   292   100   350    85   366 0.68 NC_011149.1_125 # 146538 # 147896 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.566
NC_011149.1:152718-154193|+   -            492 38133at91347         -            376   2.3e-12   44.7   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    52   181    73   215    18   238 0.72 NC_011149.1_130 # 152718 # 154193 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NC_011149.1:152718-154193|+   -            492 38133at91347         -            376   2.3e-12   44.7   0.0   2   2   1.2e-05    0.0068   13.5   0.0   224   264   290   330   260   337 0.91 NC_011149.1_130 # 152718 # 154193 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NC_011149.1:145054-146541|+   -            496 38133at91347         -            376   5.7e-10   36.8   1.8   1   3   8.5e-07   0.00048   17.3   0.2    88   130   107   149   102   153 0.92 NC_011149.1_124 # 145054 # 146541 # 1 # ID=1_124;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011149.1:145054-146541|+   -            496 38133at91347         -            376   5.7e-10   36.8   1.8   2   3   4.9e-07   0.00027   18.1   0.0   138   198   182   246   157   262 0.83 NC_011149.1_124 # 145054 # 146541 # 1 # ID=1_124;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011149.1:145054-146541|+   -            496 38133at91347         -            376   5.7e-10   36.8   1.8   3   3      0.79   4.4e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NC_011149.1_124 # 145054 # 146541 # 1 # ID=1_124;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011149.1:4589003-4590382|+ -            460 38133at91347         -            376   0.00012   19.2   0.0   1   2     0.018        10    3.0   0.0    91   120   104   133    95   192 0.83 NC_011149.1_4255 # 4589003 # 4590382 # 1 # ID=1_4255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:4589003-4590382|+ -            460 38133at91347         -            376   0.00012   19.2   0.0   2   2     1e-05    0.0059   13.7   0.0   212   288   265   346   247   356 0.86 NC_011149.1_4255 # 4589003 # 4590382 # 1 # ID=1_4255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:3416204-3417622|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05     0.019   12.0   0.0     5    38   145   178   142   186 0.91 NC_011149.1_3193 # 3416204 # 3417622 # 1 # ID=1_3193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.565
NC_011149.1:3416204-3417622|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.5    5.0   0.0     4    32   285   313   282   332 0.82 NC_011149.1_3193 # 3416204 # 3417622 # 1 # ID=1_3193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.565
NC_011149.1:2550259-2552220|- -            654 38133at91347         -            376    0.0023   15.0   0.0   1   2   3.7e-05     0.021   11.9   0.0     5    38   326   359   322   399 0.89 NC_011149.1_2391 # 2550259 # 2552220 # -1 # ID=1_2391;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:2550259-2552220|- -            654 38133at91347         -            376    0.0023   15.0   0.0   2   2     0.086        48    0.8   0.0     5    31   467   493   463   512 0.81 NC_011149.1_2391 # 2550259 # 2552220 # -1 # ID=1_2391;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:2439033-2440301|- -            423 38133at91347         -            376     0.016   12.2   0.0   1   3   0.00086      0.48    7.4   0.0    91   121    50    80    23    85 0.81 NC_011149.1_2283 # 2439033 # 2440301 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:2439033-2440301|- -            423 38133at91347         -            376     0.016   12.2   0.0   2   3     0.031        18    2.2   0.0   133   175   140   183   131   234 0.83 NC_011149.1_2283 # 2439033 # 2440301 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NC_011149.1:2439033-2440301|- -            423 38133at91347         -            376     0.016   12.2   0.0   3   3       2.3   1.3e+03   -3.9   0.0   227   265   257   293   245   295 0.59 NC_011149.1_2283 # 2439033 # 2440301 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/38133at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:26 2026
# [ok]
