#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:276739-277527|+   -            263 53337at91347         -            235  2.3e-135  447.3   5.2   1   1  4.3e-138  2.8e-135  447.0   5.2     1   225     6   240     6   255 0.97 NC_011149.1_239 # 276739 # 277527 # 1 # ID=1_239;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.535
NC_011149.1:275149-276174|+   -            342 53337at91347         -            235   1.5e-14   51.8  17.5   1   2     0.038        24    2.1   0.1    14    38   104   128    96   134 0.65 NC_011149.1_237 # 275149 # 276174 # 1 # ID=1_237;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.520
NC_011149.1:275149-276174|+   -            342 53337at91347         -            235   1.5e-14   51.8  17.5   2   2   9.1e-17   5.9e-14   49.9  16.6    12   171   132   295   116   313 0.84 NC_011149.1_237 # 275149 # 276174 # 1 # ID=1_237;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.520
NC_011149.1:508947-509498|-   -            184 53337at91347         -            235   1.4e-05   22.6   1.8   1   1   3.6e-08   2.3e-05   21.8   1.7   102   183    97   178    90   181 0.79 NC_011149.1_455 # 508947 # 509498 # -1 # ID=1_455;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.496
NC_011149.1:259034-259858|-   -            275 53337at91347         -            235    0.0044   14.4   2.4   1   2   0.00029      0.19    9.0   2.3     2    95   110   203   104   206 0.74 NC_011149.1_224 # 259034 # 259858 # -1 # ID=1_224;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011149.1:259034-259858|-   -            275 53337at91347         -            235    0.0044   14.4   2.4   2   2   0.00042      0.27    8.5   0.2    12    55   174   217   166   227 0.88 NC_011149.1_224 # 259034 # 259858 # -1 # ID=1_224;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011149.1:3488496-3489050|+ -            185 53337at91347         -            235      0.01   13.1   3.6   1   1     4e-05     0.026   11.9   3.6    27   152    14   133    10   149 0.67 NC_011149.1_3256 # 3488496 # 3489050 # 1 # ID=1_3256;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.505
NC_011149.1:3813677-3814498|- -            274 53337at91347         -            235     0.069   10.4   2.5   1   1   0.00026      0.17    9.2   2.5   112   186   169   245   127   248 0.71 NC_011149.1_3559 # 3813677 # 3814498 # -1 # ID=1_3559;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011149.1:80832-81428|-     -            199 53337at91347         -            235     0.077   10.3   6.2   1   2    0.0024       1.6    6.0   0.1     2    35    12    44    11    51 0.84 NC_011149.1_69 # 80832 # 81428 # -1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_011149.1:80832-81428|-     -            199 53337at91347         -            235     0.077   10.3   6.2   2   2    0.0031         2    5.7   2.7   111   150    83   122    58   147 0.60 NC_011149.1_69 # 80832 # 81428 # -1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/53337at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/53337at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/53337at91347.hmm reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:12 2026
# [ok]
