#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:3184563-3186362|- -            600 11342at91347         -            517  6.3e-278  920.5   0.0   1   1  1.5e-280  7.3e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABAM02000001.1_2942 # 3184563 # 3186362 # -1 # ID=2_2942;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:4585155-4586978|+ -            608 11342at91347         -            517   4.7e-40  135.7   0.2   1   2   2.7e-41   1.3e-38  130.9   0.1     2   204     3   233     2   267 0.84 NZ_ABAM02000001.1_4224 # 4585155 # 4586978 # 1 # ID=2_4224;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAM02000001.1:4585155-4586978|+ -            608 11342at91347         -            517   4.7e-40  135.7   0.2   2   2     0.022        11    2.5   0.0   260   372   327   431   313   472 0.68 NZ_ABAM02000001.1_4224 # 4585155 # 4586978 # 1 # ID=2_4224;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAM02000001.1:3972858-3974972|- -            705 11342at91347         -            517   4.3e-27   92.9   0.0   1   4   3.9e-23   1.9e-20   71.0   0.0     3   144     9   164     7   192 0.78 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 11342at91347         -            517   4.3e-27   92.9   0.0   2   4      0.35   1.7e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 11342at91347         -            517   4.3e-27   92.9   0.0   3   4   6.1e-06     0.003   14.3   0.0   267   327   434   491   380   502 0.82 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 11342at91347         -            517   4.3e-27   92.9   0.0   4   4     0.021        10    2.6   0.0   351   410   626   685   604   699 0.81 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:457752-459341|+   -            530 11342at91347         -            517   2.8e-24   83.6   0.0   1   2   3.6e-24   1.7e-21   74.4   0.0     4   144    13   164    10   184 0.85 NZ_ABAM02000001.1_409 # 457752 # 459341 # 1 # ID=2_409;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAM02000001.1:457752-459341|+   -            530 11342at91347         -            517   2.8e-24   83.6   0.0   2   2   0.00092      0.44    7.1   0.0   292   325   436   469   365   491 0.70 NZ_ABAM02000001.1_409 # 457752 # 459341 # 1 # ID=2_409;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAM02000001.1:3826959-3829637|- -            893 11342at91347         -            517   1.9e-18   64.4   0.1   1   1   2.8e-20   1.3e-17   61.6   0.1    51   208   425   599   394   611 0.79 NZ_ABAM02000001.1_3533 # 3826959 # 3829637 # -1 # ID=2_3533;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABAM02000001.1:3971602-3972786|- -            395 11342at91347         -            517   8.5e-13   45.8   0.0   1   1   2.4e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NZ_ABAM02000001.1_3688 # 3971602 # 3972786 # -1 # ID=2_3688;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.540
