#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:2598517-2599785|- -            423 48197at91347         -            361  1.2e-170  565.3   0.0   1   1  4.6e-172  4.3e-169  560.1   0.0     1   360     7   413     7   414 0.90 NC_011205.1_2519 # 2598517 # 2599785 # -1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011205.1:139095-140582|+   -            496 48197at91347         -            361    0.0032   14.4   0.5   1   3      0.06        56    0.5   0.0   251   319    27    97    20   109 0.79 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:139095-140582|+   -            496 48197at91347         -            361    0.0032   14.4   0.5   2   3     0.001      0.95    6.3   0.4    43    61   110   128    93   140 0.87 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:139095-140582|+   -            496 48197at91347         -            361    0.0032   14.4   0.5   3   3    0.0087       8.1    3.2   0.0   252   295   340   391   308   468 0.77 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:143016-144332|+   -            439 48197at91347         -            361    0.0071   13.3   0.5   1   2   0.00019      0.18    8.7   0.6    30    73    91   136    81   140 0.81 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:143016-144332|+   -            439 48197at91347         -            361    0.0071   13.3   0.5   2   2     0.017        16    2.3   0.0   119   195   143   217   138   241 0.80 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:146759-148234|+   -            492 48197at91347         -            361     0.008   13.1   0.1   1   2   0.00077      0.72    6.7   0.0    43    69   120   146    96   150 0.79 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:146759-148234|+   -            492 48197at91347         -            361     0.008   13.1   0.1   2   2    0.0057       5.3    3.8   0.0   149   171   186   208   175   214 0.81 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:16090-16434|+     -            115 48197at91347         -            361     0.011   12.7   0.1   1   1   1.2e-05     0.011   12.7   0.1    95   141    45    91     9    98 0.90 NC_011205.1_15 # 16090 # 16434 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.406
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/48197at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/48197at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/48197at91347.hmm reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:27 2026
# [ok]
