# BUSCO version is: 6.0.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NZ_ABAO01000077.1	2	3988	+	2282.5	1123	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Fragmented	NZ_ABAO01000054.1	2	3121	+	1622.7	839	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NZ_ABAO01000006.1	88341	85486	-	1432.8	814	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NZ_ABAO01000003.1	210536	207954	-	1214.0	713	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NZ_ABAO01000028.3	54906	52309	-	1324.4	705	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NZ_ABAO01000025.1	51728	48183	-	1327.5	953	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NZ_ABAO01000001.3	315830	319312	+	1683.6	957	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NZ_ABAO01000001.3	222531	225194	+	1521.5	776	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NZ_ABAO01000045.1	10200	7474	-	1336.6	763	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NZ_ABAO01000001.3	123337	126564	+	1764.3	933	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NZ_ABAO01000001.3	204980	207685	+	1441.5	766	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NZ_ABAO01000003.1	4566	6920	+	1323.4	683	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NZ_ABAO01000008.1	112622	110424	-	927.9	607	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NZ_ABAO01000015.3	52543	49907	-	1403.1	743	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NZ_ABAO01000001.3	154461	152101	-	925.4	634	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	NZ_ABAO01000005.1	153525	155558	+	1002.6	554	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	NZ_ABAO01000015.3	57598	59883	+	1325.8	662	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	NZ_ABAO01000013.1	107157	104743	-	1231.1	610	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	NZ_ABAO01000001.3	100145	102979	+	1254.2	783	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	NZ_ABAO01000019.1	62055	64856	+	1216.0	721	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	NZ_ABAO01000004.3	123713	121671	-	1055.4	608	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	NZ_ABAO01000030.1	28449	30713	+	1080.1	614	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	NZ_ABAO01000012.1	114814	112823	-	1078.4	552	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	NZ_ABAO01000021.1	27814	30381	+	1273.1	687	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	NZ_ABAO01000002.1	10863	13541	+	1161.2	664	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	NZ_ABAO01000002.1	2	1750	+	959.9	464	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	NZ_ABAO01000001.3	267206	269728	+	1037.2	589	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	NZ_ABAO01000034.1	2149	2	-	1093.6	618	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Complete	NZ_ABAO01000045.1	13870	12068	-	1067.9	503	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	NZ_ABAO01000073.1	2007	19	-	757.1	523	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	NZ_ABAO01000010.1	2191	263	-	1024.1	563	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	NZ_ABAO01000019.1	7731	9398	+	829.5	470	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	NZ_ABAO01000038.1	1706	4093	+	887.0	643	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	NZ_ABAO01000054.1	22932	21343	-	735.3	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
9079at91347	Complete	NZ_ABAO01000001.3	330462	328744	-	792.5	487	https://v10-1.orthodb.org/?query=9079at91347	Proline--tRNA ligase
9375at91347	Complete	NZ_ABAO01000009.1	91940	90363	-	782.6	437	https://v10-1.orthodb.org/?query=9375at91347	GMP synthase
9490at91347	Complete	NZ_ABAO01000025.1	2458	821	-	844.6	448	https://v10-1.orthodb.org/?query=9490at91347	CTP synthase
9913at91347	Complete	NZ_ABAO01000060.1	9147	10970	+	968.4	518	https://v10-1.orthodb.org/?query=9913at91347	Transcription factor, GTP-binding domain
10523at91347	Complete	NZ_ABAO01000053.1	3214	4962	+	978.6	509	https://v10-1.orthodb.org/?query=10523at91347	ABC transporter type 1, transmembrane domain
10905at91347	Complete	NZ_ABAO01000029.1	52181	50706	-	710.3	419	https://v10-1.orthodb.org/?query=10905at91347	glucose-6-phosphate dehydrogenase
11158at91347	Complete	NZ_ABAO01000002.1	85816	83834	-	1110.6	546	https://v10-1.orthodb.org/?query=11158at91347	RNA polymerase sigma-70
11276at91347	Complete	NZ_ABAO01000002.1	15739	17904	+	1120.1	588	https://v10-1.orthodb.org/?query=11276at91347	Polyribonucleotide nucleotidyltransferase
11342at91347	Complete	NZ_ABAO01000016.3	57320	55521	-	920.5	517	https://v10-1.orthodb.org/?query=11342at91347	Elongation factor 4
11564at91347	Complete	NZ_ABAO01000028.3	36863	38797	+	881.1	534	https://v10-1.orthodb.org/?query=11564at91347	Exoribonuclease 2
12067at91347	Missing
12072at91347	Complete	NZ_ABAO01000002.1	19077	20966	+	836.6	455	https://v10-1.orthodb.org/?query=12072at91347	ATP-dependent RNA helicase DeaD
12374at91347	Complete	NZ_ABAO01000012.1	94126	92264	-	971.7	523	https://v10-1.orthodb.org/?query=12374at91347	1-deoxy-D-xylulose-5-phosphate synthase
12745at91347	Complete	NZ_ABAO01000003.1	39933	41861	+	806.4	500	https://v10-1.orthodb.org/?query=12745at91347	DNA polymerase III subunit gamma/tau
12922at91347	Complete	NZ_ABAO01000045.1	5082	3241	-	768.2	497	https://v10-1.orthodb.org/?query=12922at91347	NADH-plastoquinone oxidoreductase, chain 5
13022at91347	Complete	NZ_ABAO01000005.1	48047	49477	+	614.8	381	https://v10-1.orthodb.org/?query=13022at91347	Exodeoxyribonuclease I
13051at91347	Complete	NZ_ABAO01000048.1	21234	19588	-	1007.3	495	https://v10-1.orthodb.org/?query=13051at91347	GroEL-like apical domain superfamily
13068at91347	Complete	NZ_ABAO01000001.3	308661	311075	+	861.5	632	https://v10-1.orthodb.org/?query=13068at91347	Outer membrane protein assembly factor BamA
13089at91347	Complete	NZ_ABAO01000001.3	180028	178457	-	805.5	442	https://v10-1.orthodb.org/?query=13089at91347	2-isopropylmalate synthase
13521at91347	Complete	NZ_ABAO01000044.1	1288	2850	+	742.7	414	https://v10-1.orthodb.org/?query=13521at91347	anthranilate synthase component I
13589at91347	Complete	NZ_ABAO01000051.1	8568	6679	-	967.0	522	https://v10-1.orthodb.org/?query=13589at91347	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
13669at91347	Complete	NZ_ABAO01000009.1	120487	119015	-	508.7	358	https://v10-1.orthodb.org/?query=13669at91347	GTPase Der
14646at91347	Complete	NZ_ABAO01000043.1	6669	8519	+	1012.0	523	https://v10-1.orthodb.org/?query=14646at91347	Dihydroxy-acid dehydratase
15307at91347	Complete	NZ_ABAO01000010.1	93537	94907	+	751.2	404	https://v10-1.orthodb.org/?query=15307at91347	Adenylosuccinate lyase
15629at91347	Complete	NZ_ABAO01000025.1	58158	54787	-	1262.6	911	https://v10-1.orthodb.org/?query=15629at91347	exonuclease V subunit gamma
15960at91347	Complete	NZ_ABAO01000065.1	7299	5470	-	853.4	495	https://v10-1.orthodb.org/?query=15960at91347	Glutamine--fructose-6-phosphate aminotransferase 
16772at91347	Complete	NZ_ABAO01000051.1	2755	1214	-	864.0	433	https://v10-1.orthodb.org/?query=16772at91347	ATP synthase subunit alpha
16784at91347	Complete	NZ_ABAO01000014.1	101401	99845	-	717.7	408	https://v10-1.orthodb.org/?query=16784at91347	Glutamate--cysteine ligase
16910at91347	Missing
17229at91347	Complete	NZ_ABAO01000033.1	7666	6404	-	586.0	347	https://v10-1.orthodb.org/?query=17229at91347	Diaminopimelate decarboxylase
17277at91347	Complete	NZ_ABAO01000003.1	3109	4380	+	628.2	344	https://v10-1.orthodb.org/?query=17277at91347	Zinc finger, ClpX C4-type
17608at91347	Complete	NZ_ABAO01000013.1	110912	109512	-	711.6	386	https://v10-1.orthodb.org/?query=17608at91347	Chromosomal replication initiator protein DnaA
17649at91347	Missing
17778at91347	Complete	NZ_ABAO01000008.1	148482	149858	+	810.1	419	https://v10-1.orthodb.org/?query=17778at91347	Argininosuccinate lyase
17858at91347	Complete	NZ_ABAO01000007.1	40271	41920	+	863.8	473	https://v10-1.orthodb.org/?query=17858at91347	Glucose-6-phosphate isomerase
18389at91347	Complete	NZ_ABAO01000045.1	24798	26942	+	830.0	546	https://v10-1.orthodb.org/?query=18389at91347	Phosphate acetyltransferase
18497at91347	Complete	NZ_ABAO01000044.1	15606	17066	+	777.6	436	https://v10-1.orthodb.org/?query=18497at91347	Cardiolipin synthase A
18548at91347	Complete	NZ_ABAO01000009.1	123703	122429	-	599.6	363	https://v10-1.orthodb.org/?query=18548at91347	Histidine--tRNA ligase
18659at91347	Complete	NZ_ABAO01000043.1	20266	21525	+	851.4	389	https://v10-1.orthodb.org/?query=18659at91347	Transcription termination factor Rho
18707at91347	Complete	NZ_ABAO01000002.1	9336	10838	+	676.6	394	https://v10-1.orthodb.org/?query=18707at91347	Transcription termination/antitermination protein NusA
19149at91347	Complete	NZ_ABAO01000012.1	78455	79582	+	677.6	341	https://v10-1.orthodb.org/?query=19149at91347	Queuine tRNA-ribosyltransferase
19201at91347	Complete	NZ_ABAO01000001.3	197433	198908	+	690.6	405	https://v10-1.orthodb.org/?query=19201at91347	UDP-N-acetylmuramate--L-alanine ligase
19461at91347	Complete	NZ_ABAO01000003.1	98161	99546	+	649.4	392	https://v10-1.orthodb.org/?query=19461at91347	Cysteine--tRNA ligase
