#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:664889-665677|+ -            263 53337at91347         -            235  3.5e-135  446.6   5.6   1   1  5.9e-138  4.1e-135  446.4   5.6     1   225     6   240     6   255 0.97 NZ_ABEH02000001.1_589 # 664889 # 665677 # 1 # ID=19_589;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEH02000001.1:663299-664324|+ -            342 53337at91347         -            235   1.4e-14   51.8  17.5   1   2     0.033        23    2.1   0.1    14    38   104   128    96   134 0.65 NZ_ABEH02000001.1_587 # 663299 # 664324 # 1 # ID=19_587;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.518
NZ_ABEH02000001.1:663299-664324|+ -            342 53337at91347         -            235   1.4e-14   51.8  17.5   2   2   7.8e-17   5.5e-14   49.9  16.6    12   171   132   295   116   313 0.84 NZ_ABEH02000001.1_587 # 663299 # 664324 # 1 # ID=19_587;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.518
NZ_ABEH02000009.1:25956-26507|-   -            184 53337at91347         -            235   1.3e-05   22.6   1.8   1   1   3.1e-08   2.2e-05   21.8   1.7   102   183    97   178    90   181 0.79 NZ_ABEH02000009.1_25 # 25956 # 26507 # -1 # ID=11_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.496
NZ_ABEH02000001.1:647163-647987|- -            275 53337at91347         -            235    0.0041   14.4   2.4   1   2   0.00025      0.18    9.0   2.3     2    95   110   203   104   206 0.74 NZ_ABEH02000001.1_574 # 647163 # 647987 # -1 # ID=19_574;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEH02000001.1:647163-647987|- -            275 53337at91347         -            235    0.0041   14.4   2.4   2   2   0.00036      0.25    8.5   0.2    12    55   174   217   166   227 0.88 NZ_ABEH02000001.1_574 # 647163 # 647987 # -1 # ID=19_574;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEH02000001.1:474376-474972|- -            199 53337at91347         -            235     0.039   11.2   6.4   1   2    0.0011       0.8    6.9   0.1     2    35    12    44    11    48 0.84 NZ_ABEH02000001.1_430 # 474376 # 474972 # -1 # ID=19_430;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABEH02000001.1:474376-474972|- -            199 53337at91347         -            235     0.039   11.2   6.4   2   2    0.0025       1.8    5.7   3.0   111   150    83   122    56   146 0.56 NZ_ABEH02000001.1_430 # 474376 # 474972 # -1 # ID=19_430;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABEH02000004.1:201685-202506|+ -            274 53337at91347         -            235     0.065   10.4   2.5   1   1   0.00022      0.16    9.2   2.5   112   186   169   245   127   248 0.71 NZ_ABEH02000004.1_192 # 201685 # 202506 # 1 # ID=16_192;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/53337at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/53337at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/53337at91347.hmm reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:28 2026
# [ok]
