#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000011.1:157120-157599|+ -            160 78566at91347         -            144   2.8e-73  242.5   0.1   1   1   3.5e-76   3.1e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABEI01000011.1_132 # 157120 # 157599 # 1 # ID=43_132;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABEI01000007.1:208328-208978|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   1   3   5.8e-06    0.0051   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABEI01000007.1_199 # 208328 # 208978 # -1 # ID=47_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NZ_ABEI01000007.1:208328-208978|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   2   3     0.037        33    2.4   0.0    32    47    65    79    57    87 0.82 NZ_ABEI01000007.1_199 # 208328 # 208978 # -1 # ID=47_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NZ_ABEI01000007.1:208328-208978|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   3   3      0.22   1.9e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABEI01000007.1_199 # 208328 # 208978 # -1 # ID=47_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NZ_ABEI01000003.1:109495-110463|+ -            323 78566at91347         -            144     0.025   12.5   0.0   1   1   4.5e-05      0.04   11.8   0.0    10    64   133   188   127   237 0.68 NZ_ABEI01000003.1_101 # 109495 # 110463 # 1 # ID=51_101;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABEI01000008.1:89227-90660|-   -            478 78566at91347         -            144     0.044   11.7   0.0   1   2       3.2   2.8e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABEI01000008.1_89 # 89227 # 90660 # -1 # ID=46_89;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NZ_ABEI01000008.1:89227-90660|-   -            478 78566at91347         -            144     0.044   11.7   0.0   2   2   0.00013      0.11   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABEI01000008.1_89 # 89227 # 90660 # -1 # ID=46_89;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NZ_ABEI01000003.1:24905-26137|+   -            411 78566at91347         -            144     0.048   11.6   0.5   1   3   0.00019      0.16    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABEI01000003.1_25 # 24905 # 26137 # 1 # ID=51_25;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.507
NZ_ABEI01000003.1:24905-26137|+   -            411 78566at91347         -            144     0.048   11.6   0.5   2   3       1.1   9.7e+02   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABEI01000003.1_25 # 24905 # 26137 # 1 # ID=51_25;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.507
NZ_ABEI01000003.1:24905-26137|+   -            411 78566at91347         -            144     0.048   11.6   0.5   3   3       2.5   2.2e+03   -3.5   0.0    58    76   364   382   361   385 0.77 NZ_ABEI01000003.1_25 # 24905 # 26137 # 1 # ID=51_25;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.507
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:44 2026
# [ok]
