#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000011.1:133582-134013|- -            144 86762at91347         -            108   3.9e-37  124.8   2.2   1   1   2.7e-37     2e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABEI01000011.1_111 # 133582 # 134013 # -1 # ID=43_111;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.502
NZ_ABEI01000020.1:48136-48663|+   -            176 86762at91347         -            108   8.1e-06   24.0   0.0   1   2   8.3e-05     0.061   11.6   0.0    32    65     6    38     1    42 0.80 NZ_ABEI01000020.1_43 # 48136 # 48663 # 1 # ID=34_43;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.561
NZ_ABEI01000020.1:48136-48663|+   -            176 86762at91347         -            108   8.1e-06   24.0   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABEI01000020.1_43 # 48136 # 48663 # 1 # ID=34_43;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.561
NZ_ABEI01000012.1:85464-85790|-   -            109 86762at91347         -            108   1.3e-05   23.4   0.0   1   2   7.4e-07   0.00054   18.2   0.0    28    70     3    45     1    65 0.87 NZ_ABEI01000012.1_76 # 85464 # 85790 # -1 # ID=42_76;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABEI01000012.1:85464-85790|-   -            109 86762at91347         -            108   1.3e-05   23.4   0.0   2   2     0.027        20    3.5   0.0    79    99    78    98    70   104 0.89 NZ_ABEI01000012.1_76 # 85464 # 85790 # -1 # ID=42_76;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABEI01000025.1:18691-19743|+   -            351 86762at91347         -            108     0.003   15.8   0.0   1   2   2.6e-05     0.019   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABEI01000025.1_22 # 18691 # 19743 # 1 # ID=29_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.508
NZ_ABEI01000025.1:18691-19743|+   -            351 86762at91347         -            108     0.003   15.8   0.0   2   2      0.63   4.6e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABEI01000025.1_22 # 18691 # 19743 # 1 # ID=29_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.508
NZ_ABEI01000002.1:290636-290950|- -            105 86762at91347         -            108    0.0041   15.4   0.0   1   1   7.8e-06    0.0057   14.9   0.0    49    72    24    47    18    69 0.85 NZ_ABEI01000002.1_277 # 290636 # 290950 # -1 # ID=52_277;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.438
NZ_ABEI01000009.1:145522-146364|+ -            281 86762at91347         -            108     0.013   13.8   0.1   1   4       1.7   1.2e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABEI01000009.1_127 # 145522 # 146364 # 1 # ID=45_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEI01000009.1:145522-146364|+ -            281 86762at91347         -            108     0.013   13.8   0.1   2   4   0.00031      0.23    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABEI01000009.1_127 # 145522 # 146364 # 1 # ID=45_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEI01000009.1:145522-146364|+ -            281 86762at91347         -            108     0.013   13.8   0.1   3   4      0.41     3e+02   -0.3   0.0    44    58   167   181   150   206 0.62 NZ_ABEI01000009.1_127 # 145522 # 146364 # 1 # ID=45_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABEI01000009.1:145522-146364|+ -            281 86762at91347         -            108     0.013   13.8   0.1   4   4       2.3   1.6e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABEI01000009.1_127 # 145522 # 146364 # 1 # ID=45_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/data/00-reads/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:44 2026
# [ok]
