#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:1843557-1845017|+ -            487 18497at91347         -            436  6.5e-235  777.6   0.2   1   1  1.5e-237  1.4e-234  776.5   0.2     1   436     1   486     1   486 0.94 NC_016856.1_1746 # 1843557 # 1845017 # 1 # ID=1_1746;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
NC_016856.1:878164-879405|-   -            414 18497at91347         -            436   6.1e-42  141.7   0.0   1   1   7.9e-44   7.4e-41  138.1   0.0   103   407     7   334     3   361 0.80 NC_016856.1_794 # 878164 # 879405 # -1 # ID=1_794;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NC_016856.1:1191653-1193137|+ -            495 18497at91347         -            436   4.1e-17   59.9   0.0   1   2   6.5e-09   6.1e-06   23.1   0.0   123   255    62   207    22   237 0.77 NC_016856.1_1091 # 1191653 # 1193137 # 1 # ID=1_1091;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.536
NC_016856.1:1191653-1193137|+ -            495 18497at91347         -            436   4.1e-17   59.9   0.0   2   2   1.4e-11   1.3e-08   31.9   0.0   273   412   280   436   276   452 0.79 NC_016856.1_1091 # 1191653 # 1193137 # 1 # ID=1_1091;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.536
NC_016856.1:2846489-2847844|+ -            452 18497at91347         -            436   3.4e-05   20.6   0.6   1   4      0.53     5e+02   -3.0   0.0   282   307    37    62    29    88 0.65 NC_016856.1_2698 # 2846489 # 2847844 # 1 # ID=1_2698;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NC_016856.1:2846489-2847844|+ -            452 18497at91347         -            436   3.4e-05   20.6   0.6   2   4       1.2   1.2e+03   -4.2   0.0   199   213   138   152   135   162 0.64 NC_016856.1_2698 # 2846489 # 2847844 # 1 # ID=1_2698;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NC_016856.1:2846489-2847844|+ -            452 18497at91347         -            436   3.4e-05   20.6   0.6   3   4   4.9e-05     0.046   10.3   0.0   279   330   250   301   239   308 0.89 NC_016856.1_2698 # 2846489 # 2847844 # 1 # ID=1_2698;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NC_016856.1:2846489-2847844|+ -            452 18497at91347         -            436   3.4e-05   20.6   0.6   4   4   0.00033      0.31    7.6   0.0   343   400   337   394   315   412 0.84 NC_016856.1_2698 # 2846489 # 2847844 # 1 # ID=1_2698;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NC_016856.1:4744796-4748311|+ -           1172 18497at91347         -            436    0.0017   15.0   0.0   1   1     3e-06    0.0028   14.3   0.0   106   218  1015  1133   984  1163 0.80 NC_016856.1_4427 # 4744796 # 4748311 # 1 # ID=1_4427;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.473
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/18497at91347.hmm
# Target file:     reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/18497at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/18497at91347.hmm reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:24 2026
# [ok]
