#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:212572-213720|- -            383 58562at91347         -            328  4.4e-176  582.6   0.2   1   1  7.6e-178    6e-175  578.9   0.2     1   328     1   374     1   374 0.93 NZ_ABEW01000003.1_185 # 212572 # 213720 # -1 # ID=61_185;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABEW01000004.1:469136-469699|+ -            188 58562at91347         -            328   7.5e-14   49.4   0.0   1   1   1.1e-16   8.4e-14   49.2   0.0   186   325    39   185    13   187 0.84 NZ_ABEW01000004.1_409 # 469136 # 469699 # 1 # ID=60_409;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABEW01000008.1:133272-134849|+ -            526 58562at91347         -            328   1.4e-07   28.8   0.0   1   2   5.6e-10   4.4e-07   27.2   0.0   152   240     7    99     2   111 0.75 NZ_ABEW01000008.1_103 # 133272 # 134849 # 1 # ID=56_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
NZ_ABEW01000008.1:133272-134849|+ -            526 58562at91347         -            328   1.4e-07   28.8   0.0   2   2      0.35   2.7e+02   -1.7   0.0   296   325   170   198   161   201 0.74 NZ_ABEW01000008.1_103 # 133272 # 134849 # 1 # ID=56_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
NZ_ABEW01000001.1:273996-275591|- -            532 58562at91347         -            328   2.9e-07   27.8   0.1   1   1   8.2e-10   6.4e-07   26.6   0.1   181   319    36   182    19   188 0.72 NZ_ABEW01000001.1_280 # 273996 # 275591 # -1 # ID=63_280;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.571
NZ_ABEW01000002.1:463628-465265|+ -            546 58562at91347         -            328   4.9e-05   20.5   0.0   1   2   0.00023      0.18    8.7   0.0   205   235   357   387   331   403 0.74 NZ_ABEW01000002.1_434 # 463628 # 465265 # 1 # ID=62_434;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABEW01000002.1:463628-465265|+ -            546 58562at91347         -            328   4.9e-05   20.5   0.0   2   2   0.00013      0.11    9.5   0.0   278   326   485   534   461   536 0.87 NZ_ABEW01000002.1_434 # 463628 # 465265 # 1 # ID=62_434;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NZ_ABEW01000006.1:376757-377347|- -            197 58562at91347         -            328    0.0053   13.7   0.1   1   2   2.6e-05      0.02   11.8   0.0   155   234     3    84     1    93 0.64 NZ_ABEW01000006.1_337 # 376757 # 377347 # -1 # ID=58_337;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
NZ_ABEW01000006.1:376757-377347|- -            197 58562at91347         -            328    0.0053   13.7   0.1   2   2      0.13     1e+02   -0.3   0.0   298   325   169   194   164   196 0.66 NZ_ABEW01000006.1_337 # 376757 # 377347 # -1 # ID=58_337;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58562at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58562at91347.hmm reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:14 2026
# [ok]
